key,value,State,FieldName
DARK - NO ROADWAY LIGHTING,Dark - No Street Lights,NV,Lighting
"DARK, NOT LIGHTED",Dark - No Street Lights,NV,Lighting
Dark - No Roadway Lighting,Dark - No Street Lights,NV,Lighting
"Dark, Not Lighted",Dark - No Street Lights,NV,Lighting
DARK - CONT ROADWAY LIGHTING,Dark - Street Lights,NV,Lighting
DARK - SPOT ROADWAY LIGHTING,Dark - Street Lights,NV,Lighting
"DARK, LIGHTED",Dark - Street Lights,NV,Lighting
Dark - Cont Roadway Lighting,Dark - Street Lights,NV,Lighting
Dark - Spot Roadway Lighting,Dark - Street Lights,NV,Lighting
"Dark, Lighted",Dark - Street Lights,NV,Lighting
DARK - UNKNOWN ROADWAY LIGHTING,Dark - No Street Lights,NV,Lighting
"DARK, UNK LIGHTED",Dark - No Street Lights,NV,Lighting
Dark - Unknown Roadway Lighting,Dark - No Street Lights,NV,Lighting
"Dark, Unk Lighted",Dark - Street Lights,NV,Lighting
DAYLIGHT,Daylight,NV,Lighting
Daylight,Daylight,NV,Lighting
DUSK,Dusk - Dawn,NV,Lighting
DAWN,Dusk - Dawn,NV,Lighting
Dusk,Dusk - Dawn,NV,Lighting
Dawn,Dusk - Dawn,NV,Lighting
OTHER,Unknown,NV,Lighting
Other,Unknown,NV,Lighting
UNKNOWN,Unknown,NV,Lighting
Unknown,Unknown,NV,Lighting
