,APN
0,131-420-00
1,132-621-04
2,1319-19-720-040
3,016-142-024
4,035-172-010
5,033-502-014
6,080-102-015
7,023-554-002
8,111-220-021
9,023-511-014
10,093-620-077
11,1318-15-822-008
12,016-101-086
13,130-192-04
14,1418-03-401-005
15,1318-10-316-021
16,031-236-010
17,031-273-003
18,094-235-006
19,031-094-002
20,094-190-011
21,098-232-008
22,131-226-07
23,094-053-006
24,028-340-020
25,034-161-010
26,112-190-048
27,083-085-010
28,027-521-003
29,131-300-00
30,112-120-076
31,115-040-080
32,1319-19-212-051
33,018-200-015
34,083-340-011
35,016-512-006
36,025-592-014
37,083-320-008
38,097-192-009
39,032-141-004
40,027-085-003
41,091-186-001
42,023-623-015
43,124-032-30
44,122-510-28
45,030-541-007
46,083-032-040
47,033-232-014
48,022-111-021
49,1318-23-213-024
50,098-166-003
51,098-032-009
52,124-061-06
53,097-210-006
54,127-072-16
55,031-171-011
56,032-171-001
57,034-121-006
58,032-278-027
59,130-201-14
60,015-265-011
61,029-081-002
62,023-664-001
63,081-102-032
64,023-452-015
65,125-564-20
66,028-272-003
67,028-100-012
68,112-220-034
69,031-151-010
70,131-140-12
71,023-784-009
72,032-275-006
73,034-821-004
74,093-130-044
75,090-212-024
76,126-294-65
77,122-213-10
78,081-141-036
79,094-430-031
80,034-754-010
81,034-432-010
82,1418-34-211-025
83,025-462-018
84,122-132-13
85,034-613-010
86,018-191-014
87,1318-09-810-047
88,023-632-001
89,117-090-025
90,1418-10-511-018
91,1319-18-312-009
92,033-494-017
93,081-085-006
94,027-152-024
95,090-113-031
96,028-301-049
97,034-641-002
98,126-295-04
99,025-726-009
100,111-190-039
101,125-353-04
102,023-655-009
103,026-271-026
104,129-640-01
105,132-560-03
106,1319-19-410-002
107,098-293-004
108,084-032-015
109,126-081-04
110,035-273-021
111,112-100-003
112,112-140-023
113,022-222-004
114,080-173-010
115,025-351-007
116,131-201-43
117,018-200-005
118,026-076-018
119,034-713-019
120,033-871-004
121,031-078-001
122,032-282-011
123,117-180-057
124,029-041-042
125,111-110-043
126,112-120-079
127,1319-30-721-013
128,022-171-032
129,116-040-015
130,111-200-001
131,081-064-021
132,016-442-001
133,023-755-013
134,029-381-033
135,1319-30-532-004
136,034-782-002
137,115-050-037
138,025-552-002
139,122-142-17
140,033-351-014
141,034-713-023
142,093-414-025
143,026-097-002
144,023-751-023
145,083-085-042
146,023-591-006
147,015-420-014
148,097-242-017
149,132-560-09
150,026-046-001
151,084-092-031
152,026-131-002
153,031-214-019
154,094-535-005
155,116-120-005
156,128-032-19
157,025-551-015
158,083-062-046
159,014-262-011
160,1418-11-311-002
161,033-401-005
162,032-351-001
163,131-250-29
164,026-243-009
165,032-353-018
166,111-130-021
167,130-205-10
168,080-061-011
169,125-181-51
170,1318-26-601-008
171,022-321-018
172,031-163-012
173,122-125-02
174,090-065-025
175,081-052-003
176,116-020-029
177,016-462-003
178,032-490-002
179,092-152-027
180,032-278-036
181,028-090-009
182,021-190-006
183,022-281-001
184,030-370-017
185,085-020-022
186,125-541-27
187,022-191-003
188,122-052-18
189,093-141-003
190,033-524-008
191,034-083-004
192,027-152-013
193,116-100-016
194,126-522-05
195,127-131-17
196,1318-23-810-076
197,016-382-003
198,033-273-020
199,080-152-014
200,093-092-004
201,085-222-009
202,126-152-07
203,031-122-004
204,034-152-015
205,028-152-011
206,1318-23-810-035
207,032-411-051
208,098-163-008
209,094-101-002
210,094-070-010
211,033-402-022
212,025-261-007
213,085-350-017
214,036-472-002
215,093-072-045
216,131-070-37
217,031-174-018
218,126-291-12
219,025-413-003
220,127-074-29
221,125-523-01
222,085-010-013
223,126-500-05
224,093-360-005
225,090-065-034
226,1318-10-310-076
227,124-400-13
228,131-213-13
229,093-160-040
230,124-082-52
231,1318-26-501-004
232,081-103-026
233,123-161-07
234,027-113-025
235,033-301-002
236,090-222-051
237,111-180-030
238,027-075-018
239,125-243-19
240,034-692-004
241,081-103-007
242,093-560-010
243,115-040-039
244,126-290-00
245,014-273-003
246,035-090-001
247,085-400-030
248,031-132-003
249,1319-19-202-004
250,117-100-035
251,1318-10-416-028
252,033-254-013
253,080-181-006
254,090-234-002
255,033-631-017
256,026-243-001
257,027-521-004
258,090-063-011
259,091-200-017
260,098-105-007
261,085-111-005
262,084-042-016
263,015-252-005
264,131-170-10
265,097-112-005
266,092-085-012
267,016-553-007
268,080-132-006
269,035-293-015
270,1418-10-810-018
271,023-512-011
272,112-140-021
273,033-303-001
274,116-050-017
275,097-111-012
276,131-022-10
277,083-360-022
278,033-442-003
279,023-821-062
280,084-154-007
281,125-553-02
282,027-730-001
283,031-370-002
284,031-235-002
285,016-063-015
286,090-174-028
287,016-203-003
288,028-141-033
289,093-520-023
290,125-531-25
291,117-100-066
292,083-490-008
293,132-030-09
294,031-351-009
295,028-201-003
296,129-190-02
297,111-070-031
298,034-161-047
299,031-201-001
300,031-196-010
301,091-162-006
302,034-712-018
303,1318-22-002-086
304,1318-10-410-005
305,033-201-010
306,093-500-017
307,028-090-072
308,025-891-015
309,034-152-005
310,025-702-018
311,032-173-002
312,1418-27-210-016
313,083-380-022
314,1319-30-644-021
315,036-391-003
316,034-792-008
317,032-201-019
318,033-651-007
319,117-072-004
320,094-123-001
321,093-415-009
322,029-170-003
323,131-290-07
324,018-020-009
325,116-060-026
326,027-313-016
327,094-252-021
328,032-050-060
329,034-682-008
330,131-012-06
331,023-201-058
332,033-876-009
333,015-101-002
334,1418-10-710-040
335,016-191-018
336,025-202-006
337,131-226-14
338,1318-23-315-004
339,111-190-015
340,115-020-014
341,128-060-14
342,117-100-029
343,034-801-008
344,033-742-015
345,034-664-005
346,033-791-001
347,097-050-045
348,026-280-002
349,016-382-019
350,033-791-002
351,025-061-024
352,026-132-012
353,127-362-31
354,125-502-01
355,033-813-005
356,025-214-008
357,023-491-006
358,020-120-005
359,122-060-17
360,025-632-006
361,083-380-023
362,112-172-022
363,085-084-007
364,025-393-018
365,1418-10-710-048
366,035-246-007
367,025-375-010
368,021-270-002
369,033-392-002
370,027-431-019
371,132-490-07
372,093-260-007
373,093-500-013
374,033-362-025
375,027-290-009
376,1318-22-311-015
377,084-172-006
378,125-223-28
379,032-203-003
380,027-144-008
381,094-340-040
382,093-290-012
383,098-272-016
384,016-091-064
385,023-663-004
386,112-010-012
387,112-200-001
388,111-180-017
389,033-623-014
390,034-193-005
391,111-270-030
392,090-232-020
393,127-440-02
394,028-201-012
395,092-234-019
396,033-855-026
397,093-600-002
398,125-770-01
399,1318-03-111-044
400,016-284-001
401,116-040-010
402,022-241-016
403,014-031-016
404,031-213-005
405,026-095-014
406,031-322-006
407,127-074-07
408,025-891-020
409,083-380-004
410,029-161-009
411,130-082-36
412,132-201-03
413,031-143-003
414,094-102-008
415,083-010-050
416,025-831-020
417,098-300-011
418,034-532-018
419,093-220-053
420,031-077-013
421,027-343-006
422,095-490-050
423,090-113-034
424,1318-10-310-005
425,031-152-015
426,015-161-017
427,023-802-010
428,028-051-007
429,1318-27-001-004
430,028-190-018
431,131-202-02
432,1318-23-314-016
433,033-304-002
434,025-641-005
435,130-230-17
436,094-290-021
437,1318-23-311-005
438,084-043-013
439,132-420-03
440,022-343-015
441,025-010-069
442,117-190-052
443,035-131-002
444,022-251-043
445,083-104-003
446,112-180-077
447,091-230-019
448,085-081-001
449,033-842-006
450,080-101-006
451,083-350-021
452,124-340-17
453,1319-30-643-009
454,030-390-020
455,1318-15-102-002
456,122-082-15
