DEV_Year,TAZ,APN
2023,9,2
2023,15,2
2023,19,1
2023,26,1
2023,38,1
2023,39,2
2023,40,2
2023,42,4
2023,43,1
2023,47,1
2023,49,1
2023,54,1
2023,58,3
2023,66,2
2023,67,1
2023,70,1
2023,75,3
2023,76,1
2023,77,1
2023,79,1
2023,82,1
2023,92,1
2023,95,2
2023,96,1
2023,97,1
2023,100,2
2023,124,1
2023,130,3
2023,144,2
2023,146,1
2023,149,1
2023,154,1
2023,157,1
2023,160,2
2023,166,3
2023,174,2
2023,178,1
2023,181,1
2023,186,2
2023,188,1
2023,189,2
2023,190,2
2023,192,1
2023,202,1
2023,206,1
2023,209,1
2023,210,13
2023,211,2
2023,221,2
2023,225,1
2023,231,1
2023,242,1
2023,266,1
2023,267,2
2023,274,1
2023,276,1
2023,279,1
2023,283,1
2023,291,1
2023,294,1
2023,295,1
2024,0,1
2024,9,3
2024,11,1
2024,13,3
2024,14,1
2024,15,1
2024,19,1
2024,23,1
2024,34,1
2024,38,1
2024,39,1
2024,40,1
2024,41,1
2024,42,1
2024,46,1
2024,47,1
2024,48,1
2024,49,1
2024,50,1
2024,54,1
2024,57,1
2024,58,3
2024,59,2
2024,60,1
2024,65,1
2024,67,1
2024,75,2
2024,85,1
2024,86,1
2024,95,1
2024,100,2
2024,120,1
2024,125,1
2024,129,3
2024,130,2
2024,131,1
2024,134,1
2024,137,1
2024,139,1
2024,141,2
2024,154,1
2024,155,1
2024,157,1
2024,166,1
2024,176,1
2024,179,1
2024,181,1
2024,183,2
2024,184,1
2024,188,2
2024,189,1
2024,190,2
2024,191,1
2024,192,1
2024,209,1
2024,210,13
2024,211,1
2024,212,2
2024,213,2
2024,216,1
2024,224,1
2024,229,1
2024,231,1
2024,265,1
2024,274,1
2024,276,1
2024,278,1
2024,279,1
2024,287,1
2024,297,1
2025,0,1
2025,9,2
2025,11,2
2025,15,3
2025,23,3
2025,25,1
2025,26,2
2025,28,1
2025,38,1
2025,40,2
2025,42,2
2025,43,2
2025,46,2
2025,47,1
2025,48,2
2025,51,1
2025,54,1
2025,58,2
2025,67,1
2025,75,1
2025,76,3
2025,78,1
2025,79,2
2025,91,1
2025,92,2
2025,95,1
2025,97,1
2025,100,3
2025,124,1
2025,129,1
2025,130,1
2025,134,1
2025,137,1
2025,139,4
2025,148,1
2025,149,1
2025,151,1
2025,153,1
2025,155,1
2025,157,5
2025,166,1
2025,167,1
2025,174,1
2025,176,1
2025,178,1
2025,179,1
2025,182,1
2025,183,1
2025,186,1
2025,188,2
2025,190,2
2025,192,1
2025,209,2
2025,210,6
2025,214,1
2025,221,1
2025,223,1
2025,240,2
2025,274,3
2025,278,1
2025,281,1
2025,282,1
2025,296,1
2026,0,2
2026,11,1
2026,14,1
2026,24,1
2026,25,1
2026,30,1
2026,35,1
2026,38,1
2026,39,1
2026,41,2
2026,42,2
2026,43,1
2026,44,1
2026,45,1
2026,47,2
2026,48,1
2026,52,1
2026,56,1
2026,57,1
2026,58,4
2026,59,2
2026,60,2
2026,62,1
2026,75,1
2026,79,2
2026,91,1
2026,97,1
2026,100,2
2026,102,1
2026,108,1
2026,115,1
2026,124,1
2026,125,1
2026,134,1
2026,138,1
2026,139,2
2026,149,2
2026,151,1
2026,157,1
2026,166,4
2026,167,1
2026,173,1
2026,174,2
2026,179,1
2026,183,1
2026,184,1
2026,186,3
2026,189,4
2026,190,2
2026,192,1
2026,200,1
2026,209,5
2026,210,8
2026,213,1
2026,221,2
2026,235,1
2026,240,1
2026,259,1
2026,266,1
2026,270,1
2026,273,1
2026,280,2
2026,287,1
2026,295,1
2027,0,2
2027,11,1
2027,12,1
2027,19,3
2027,26,2
2027,35,2
2027,37,1
2027,38,1
2027,39,1
2027,41,1
2027,42,1
2027,43,1
2027,45,1
2027,47,1
2027,48,3
2027,49,1
2027,51,1
2027,54,3
2027,56,1
2027,57,1
2027,58,2
2027,59,2
2027,62,1
2027,65,1
2027,67,1
2027,68,1
2027,69,1
2027,75,2
2027,76,1
2027,78,1
2027,79,1
2027,95,2
2027,97,3
2027,100,1
2027,109,1
2027,122,1
2027,124,1
2027,130,6
2027,139,3
2027,148,1
2027,154,1
2027,155,1
2027,157,6
2027,167,1
2027,173,1
2027,174,1
2027,181,1
2027,190,4
2027,209,1
2027,210,12
2027,211,1
2027,219,2
2027,224,1
2027,231,1
2027,267,1
2027,279,1
2027,295,2
2028,9,1
2028,10,1
2028,11,1
2028,14,1
2028,15,1
2028,21,2
2028,23,1
2028,24,1
2028,26,2
2028,34,1
2028,41,1
2028,42,5
2028,43,2
2028,46,1
2028,47,2
2028,49,2
2028,51,1
2028,54,1
2028,58,2
2028,60,1
2028,62,1
2028,65,3
2028,67,1
2028,68,1
2028,71,1
2028,79,1
2028,82,1
2028,86,1
2028,95,1
2028,97,1
2028,107,1
2028,120,1
2028,124,1
2028,130,4
2028,139,3
2028,141,2
2028,148,2
2028,149,1
2028,153,1
2028,157,1
2028,162,1
2028,168,1
2028,173,1
