FORECASTED_RESIDENTIAL_UNITS,Jurisdiction,Unit_Pool,Future_Units,Future_Units_Adjusted,Yearly_Development_Rate,Difference
0.0,,,,,,
150.0,TRPA,ADU,150.0,150.0,5.357142857142857,0.0
732.0,,,,,,
109.0,CSLT,Bonus Unit,109.0,109.0,3.892857142857143,0.0
309.0,CSLT,General,404.0,309.0,14.428571428571429,0.0
49.0,DG,Bonus Unit,67.0,67.0,2.392857142857143,18.0
47.0,DG,General,162.0,162.0,5.785714285714286,115.0
317.0,EL,General,317.0,317.0,11.321428571428571,0.0
41.0,PL,Bonus Unit,41.0,41.0,1.4642857142857142,0.0
424.0,PL,General,615.0,615.0,21.964285714285715,191.0
983.0,TRPA,Bonus Unit,1111.0,1111.0,39.67857142857143,128.0
378.0,TRPA,General,1100.0,378.0,39.285714285714285,0.0
85.0,WA,Bonus Unit,120.0,120.0,4.285714285714286,35.0
56.0,WA,General,189.0,185.0,6.75,129.0
