count,date,timeInterval,movement,lane,approach,movementType,dayOfTheWeek,class
1,"2024-05-01","12:10 AM - 12:14 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
1,"2024-06-26","12:15 AM - 12:19 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","12:25 AM - 12:29 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","12:25 AM - 12:29 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","12:30 AM - 12:34 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","12:35 AM - 12:39 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
1,"2024-07-03","01:40 AM - 01:44 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
2,"2024-08-21","02:55 AM - 02:59 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","03:10 AM - 03:14 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","03:30 AM - 03:34 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","03:40 AM - 03:44 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
1,"2024-08-28","04:00 AM - 04:04 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
1,"2024-08-28","04:05 AM - 04:09 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","04:15 AM - 04:19 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","04:15 AM - 04:19 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","04:25 AM - 04:29 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","04:25 AM - 04:29 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
1,"2024-08-28","04:25 AM - 04:29 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","04:30 AM - 04:34 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","04:55 AM - 04:59 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","05:00 AM - 05:04 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","05:05 AM - 05:09 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
2,"2024-05-01","05:05 AM - 05:09 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","05:20 AM - 05:24 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","05:25 AM - 05:29 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","single_unit_truck"
3,"2024-05-01","05:25 AM - 05:29 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
3,"2024-05-01","05:25 AM - 05:29 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
3,"2024-05-01","05:30 AM - 05:34 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
1,"2024-09-04","05:30 AM - 05:34 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
5,"2024-05-01","05:30 AM - 05:34 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
2,"2024-05-01","05:35 AM - 05:39 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
9,"2024-05-01","05:35 AM - 05:39 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
9,"2024-05-01","05:35 AM - 05:39 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
2,"2024-05-01","05:40 AM - 05:44 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
9,"2024-05-01","05:40 AM - 05:44 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
2,"2024-05-01","05:40 AM - 05:44 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","articulated_truck"
6,"2024-05-01","05:40 AM - 05:44 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
2,"2024-05-01","05:45 AM - 05:49 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
10,"2024-05-01","05:45 AM - 05:49 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
2,"2024-05-01","05:45 AM - 05:49 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
2,"2024-05-01","05:50 AM - 05:54 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
9,"2024-05-01","05:50 AM - 05:54 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
3,"2024-05-01","05:50 AM - 05:54 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
3,"2024-05-01","05:55 AM - 05:59 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
17,"2024-05-01","05:55 AM - 05:59 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
2,"2024-05-01","05:55 AM - 05:59 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","single_unit_truck"
4,"2024-05-01","05:55 AM - 05:59 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","05:55 AM - 05:59 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","articulated_truck"
3,"2024-05-01","06:00 AM - 06:04 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
9,"2024-05-01","06:00 AM - 06:04 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","06:00 AM - 06:04 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","articulated_truck"
7,"2024-05-01","06:00 AM - 06:04 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","06:00 AM - 06:04 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","single_unit_truck"
3,"2024-05-01","06:05 AM - 06:09 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
7,"2024-05-01","06:05 AM - 06:09 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","06:05 AM - 06:09 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","bus"
6,"2024-05-01","06:05 AM - 06:09 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
7,"2024-05-01","06:10 AM - 06:14 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
11,"2024-05-01","06:10 AM - 06:14 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","06:10 AM - 06:14 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","articulated_truck"
5,"2024-05-01","06:10 AM - 06:14 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
1,"2024-05-01","06:10 AM - 06:14 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","bus"
7,"2024-05-01","06:15 AM - 06:19 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
19,"2024-05-01","06:15 AM - 06:19 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","passenger_vehicle"
2,"2024-05-01","06:15 AM - 06:19 AM","Lane 2 - NB, TH","2","NB","TH","Wednesday","articulated_truck"
8,"2024-05-01","06:15 AM - 06:19 AM","Lane 1 - SB, TH","1","SB","TH","Wednesday","passenger_vehicle"
5,"2024-05-01","06:20 AM - 06:24 AM","Lane 1 - NB, TH","1","NB","TH","Wednesday","passenger_vehicle"
