,Date,LocationName,counts
0,2025-03-13,Hwy 267 at Brockway Summit ,1665.0
1,2025-03-13,Hwy 28 at Hwy 267 Kings Beach ,788.0
2,2025-03-13,Hwy 50 at Hwy 89   ,1040.0
3,2025-03-13,Hwy 50 at Meyers (roundabout),1569.0
4,2025-03-13,Hwy 50 at Pioneer Trail (Meyers),1129.0
5,2025-03-13,Hwy 89 at Hwy 28 ,6.0
6,2025-03-13,Hwy 89 at Rampart,220.0
7,2025-03-14,Hwy 267 at Brockway Summit ,7214.0
8,2025-03-14,Hwy 28 at Hwy 267 Kings Beach ,2973.0
9,2025-03-14,Hwy 50 at Hwy 89   ,6712.0
10,2025-03-14,Hwy 50 at Meyers (roundabout),7836.0
11,2025-03-14,Hwy 50 at Pioneer Trail (Meyers),4988.0
12,2025-03-14,Hwy 89 at Hwy 28 ,660.0
13,2025-03-14,Hwy 89 at Rampart,3.0
14,2025-03-15,Hwy 267 at Brockway Summit ,8558.0
15,2025-03-15,Hwy 28 at Hwy 267 Kings Beach ,4133.0
16,2025-03-15,Hwy 50 at Hwy 89   ,9145.0
17,2025-03-15,Hwy 50 at Meyers (roundabout),10780.0
18,2025-03-15,Hwy 50 at Pioneer Trail (Meyers),13460.0
19,2025-03-15,Hwy 89 at Hwy 28 ,835.0
20,2025-03-15,Hwy 89 at Rampart,2229.0
21,2025-03-16,Hwy 267 at Brockway Summit ,7832.0
22,2025-03-16,Hwy 28 at Hwy 267 Kings Beach ,3442.0
23,2025-03-16,Hwy 50 at Hwy 89   ,9628.0
24,2025-03-16,Hwy 50 at Meyers (roundabout),11198.0
25,2025-03-16,Hwy 50 at Pioneer Trail (Meyers),14658.0
26,2025-03-16,Hwy 89 at Hwy 28 ,951.0
27,2025-03-16,Hwy 89 at Rampart,1522.0
28,2025-03-17,Hwy 267 at Brockway Summit ,5560.0
29,2025-03-17,Hwy 28 at Hwy 267 Kings Beach ,2462.0
30,2025-03-17,Hwy 50 at Hwy 89   ,1894.0
31,2025-03-17,Hwy 50 at Meyers (roundabout),3991.0
32,2025-03-17,Hwy 50 at Pioneer Trail (Meyers),3396.0
33,2025-03-17,Hwy 89 at Hwy 28 ,384.0
34,2025-03-17,Hwy 89 at Rampart,1810.0
35,2025-03-18,Hwy 267 at Brockway Summit ,7807.0
36,2025-03-18,Hwy 28 at Hwy 267 Kings Beach ,2058.0
37,2025-03-18,Hwy 50 at Hwy 89   ,9601.0
38,2025-03-18,Hwy 50 at Meyers (roundabout),4318.0
39,2025-03-18,Hwy 50 at Pioneer Trail (Meyers),9089.0
40,2025-03-18,Hwy 89 at Hwy 28 ,810.0
41,2025-03-18,Hwy 89 at Rampart,1868.0
42,2025-03-19,Hwy 267 at Brockway Summit ,7374.0
43,2025-03-19,Hwy 28 at Hwy 267 Kings Beach ,4526.0
44,2025-03-19,Hwy 50 at Hwy 89   ,11588.0
45,2025-03-19,Hwy 50 at Meyers (roundabout),8995.0
46,2025-03-19,Hwy 50 at Pioneer Trail (Meyers),11491.0
47,2025-03-19,Hwy 89 at Hwy 28 ,1792.0
48,2025-03-19,Hwy 89 at Rampart,1332.0
49,2025-03-20,Hwy 267 at Brockway Summit ,8409.0
50,2025-03-20,Hwy 28 at Hwy 267 Kings Beach ,4643.0
51,2025-03-20,Hwy 50 at Hwy 89   ,11735.0
52,2025-03-20,Hwy 50 at Meyers (roundabout),10403.0
53,2025-03-20,Hwy 50 at Pioneer Trail (Meyers),9874.0
54,2025-03-20,Hwy 89 at Hwy 28 ,2509.0
55,2025-03-20,Hwy 89 at Rampart,1371.0
56,2025-03-21,Hwy 267 at Brockway Summit ,9624.0
57,2025-03-21,Hwy 28 at Hwy 267 Kings Beach ,5907.0
58,2025-03-21,Hwy 50 at Hwy 89   ,12709.0
59,2025-03-21,Hwy 50 at Meyers (roundabout),12266.0
60,2025-03-21,Hwy 50 at Pioneer Trail (Meyers),8732.0
61,2025-03-21,Hwy 89 at Hwy 28 ,2599.0
62,2025-03-21,Hwy 89 at Rampart,1552.0
63,2025-03-22,Hwy 267 at Brockway Summit ,8178.0
64,2025-03-22,Hwy 28 at Hwy 267 Kings Beach ,5137.0
65,2025-03-22,Hwy 50 at Hwy 89   ,11319.0
66,2025-03-22,Hwy 50 at Meyers (roundabout),14554.0
67,2025-03-22,Hwy 50 at Pioneer Trail (Meyers),4131.0
68,2025-03-22,Hwy 89 at Hwy 28 ,2507.0
69,2025-03-22,Hwy 89 at Rampart,1481.0
70,2025-03-23,Hwy 267 at Brockway Summit ,4843.0
71,2025-03-23,Hwy 28 at Hwy 267 Kings Beach ,2030.0
72,2025-03-23,Hwy 50 at Hwy 89   ,11686.0
73,2025-03-23,Hwy 50 at Meyers (roundabout),13957.0
74,2025-03-23,Hwy 50 at Pioneer Trail (Meyers),5046.0
75,2025-03-23,Hwy 89 at Hwy 28 ,2200.0
76,2025-03-23,Hwy 89 at Rampart,1624.0
77,2025-03-24,Hwy 267 at Brockway Summit ,7806.0
