speedinterval,approach,count,LocationId,LocationName
00-04 mph,EB,3207.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,NB,44.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,WB,612.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,EB,11558.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,NB,880.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
05-09 mph,WB,3466.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,EB,24178.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,NB,19171.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
10-14 mph,WB,19909.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,EB,40310.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,NB,28703.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
15-19 mph,WB,41746.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,EB,32263.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,NB,6838.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
20-24 mph,WB,18219.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,EB,11546.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,NB,2291.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
25+ mph,WB,8051.0,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
00-04 mph,SB,23466.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
05-09 mph,SB,38709.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
10-14 mph,SB,54534.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
15-19 mph,SB,15785.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
20-24 mph,SB,1178.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
25+ mph,SB,85.0,6786b2b80736acf4a56c5ee5,Hwy 28 at Hwy 267 Kings Beach 
00-04 mph,NB,246.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
05-09 mph,NB,631.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
10-14 mph,NB,1711.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
15-19 mph,NB,1862.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
20-24 mph,NB,4292.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
25+ mph,NB,16688.0,6786b2e40736acf4a56cd061,Hwy 89 at Hwy 28 
