count,date,timeInterval,approach,class,LocationId,LocationName
2.0,2025-06-15,06:00 PM - 06:04 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
3.0,2025-06-15,06:05 PM - 06:09 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-15,06:10 PM - 06:14 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
3.0,2025-06-15,06:25 PM - 06:29 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-15,06:50 PM - 06:54 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-15,07:15 PM - 07:19 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
2.0,2025-06-16,11:35 AM - 11:39 AM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-16,04:10 PM - 04:14 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
3.0,2025-06-17,08:00 AM - 08:04 AM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
2.0,2025-06-17,09:40 AM - 09:44 AM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,09:40 AM - 09:44 AM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
2.0,2025-06-17,09:45 AM - 09:49 AM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,09:45 AM - 09:49 AM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,09:50 AM - 09:54 AM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,09:55 AM - 09:59 AM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
3.0,2025-06-17,10:00 AM - 10:04 AM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,10:20 AM - 10:24 AM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
2.0,2025-06-17,12:25 PM - 12:29 PM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,02:45 PM - 02:49 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,03:15 PM - 03:19 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,04:50 PM - 04:54 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,05:00 PM - 05:04 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,06:25 PM - 06:29 PM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,07:05 PM - 07:09 PM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-17,07:05 PM - 07:09 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,09:30 AM - 09:34 AM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,10:35 AM - 10:39 AM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
3.0,2025-06-18,11:50 AM - 11:54 AM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,02:00 PM - 02:04 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
2.0,2025-06-18,02:05 PM - 02:09 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,02:20 PM - 02:24 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,02:50 PM - 02:54 PM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,03:30 PM - 03:34 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,03:35 PM - 03:39 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,03:55 PM - 03:59 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,04:15 PM - 04:19 PM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,04:15 PM - 04:19 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,04:20 PM - 04:24 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
2.0,2025-06-18,04:35 PM - 04:39 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
2.0,2025-06-18,07:50 PM - 07:54 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,09:15 PM - 09:19 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-18,09:25 PM - 09:29 PM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-19,09:30 AM - 09:34 AM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-19,09:50 AM - 09:54 AM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
2.0,2025-06-19,09:50 AM - 09:54 AM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-19,10:25 AM - 10:29 AM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-19,12:30 PM - 12:34 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
1.0,2025-06-19,02:15 PM - 02:19 PM,WB,bicycle,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
3.0,2025-06-19,02:35 PM - 02:39 PM,WB,pedestrian,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout)
