count,date,timeInterval,class,headingDirection,LocationId,LocationName,movement,approach
1.0,2025-07-04,03:15 PM - 03:29 PM,bicycle,Unknown,662a21668158988de375fe1b,US50 @ Cave Rock,,
1.0,2025-06-27,07:15 PM - 07:29 PM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-27,08:00 PM - 08:14 PM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
3.0,2025-06-28,10:45 AM - 10:59 AM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
2.0,2025-06-28,11:45 AM - 11:59 AM,pedestrian,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-28,11:45 AM - 11:59 AM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
3.0,2025-06-28,12:15 PM - 12:29 PM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
2.0,2025-06-28,12:45 PM - 12:59 PM,pedestrian,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-28,02:00 PM - 02:14 PM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-28,04:30 PM - 04:44 PM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-28,05:45 PM - 05:59 PM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-28,08:00 PM - 08:14 PM,pedestrian,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-28,08:15 PM - 08:29 PM,pedestrian,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-29,10:30 AM - 10:44 AM,pedestrian,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
2.0,2025-06-29,10:45 AM - 10:59 AM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-29,11:00 AM - 11:14 AM,pedestrian,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
4.0,2025-06-29,11:00 AM - 11:14 AM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-29,11:30 AM - 11:44 AM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-29,11:45 AM - 11:59 AM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-29,03:15 PM - 03:29 PM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-29,03:45 PM - 03:59 PM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
1.0,2025-06-29,06:30 PM - 06:44 PM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
3.0,2025-06-29,08:15 PM - 08:29 PM,pedestrian,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
8.0,2025-06-30,09:30 AM - 09:44 AM,pedestrian,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
3.0,2025-06-30,09:30 AM - 09:44 AM,bicycle,Unknown,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),CROSSING,WB
