index,recordDate,recordTime,district,locationName,nearbyPlace,longitude,latitude,elevation,direction,county,route,routeSuffix,postmilePrefix,postmile,alignment,milepost,inService,messageDate,messageTime,display,displayTime,phase1Font,phase1Line1,phase1Line2,phase1Line3,phase2Font,phase2Line1,phase2Line2,phase2Line3
1229,3/24/2026,9:28:22,3,001 - Placerville,Placerville,-120.767877,38.730662,2171,East,El Dorado,US-50,,,19.85,,48.37,TRUE,3/9/2026,7:55:59,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1228,3/24/2026,9:28:22,3,002 - El Dorado Hills,El Dorado Hills,-121.078824,38.650045,639,East,El Dorado,US-50,,,0.44,,29.25,TRUE,3/24/2026,8:12:30,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1240,3/24/2026,9:28:22,3,003 - Gilardi Rd,Newcastle,-121.14684,38.851713,626,East,Placer,I-80,,,12.04,,113.54,TRUE,3/23/2026,1:56:34,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1238,3/24/2026,9:28:22,3,004 - Truckee,Truckee,-120.212591,39.323323,5892,West,Nevada,I-80,,,13.92,,184.5,TRUE,3/23/2026,8:49:29,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1268,3/24/2026,9:28:22,4,005 - Dixon,Dixon,-121.833445,38.465283,65,East,Solano,I-80,,,37.45,,64.93,TRUE,3/9/2026,7:15:38,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1241,3/24/2026,9:28:22,3,006 - Bell Rd,Auburn,-121.040795,38.95057,1637,East,Placer,I-80,,R,21.58,,123.08,TRUE,3/23/2026,16:15:06,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1231,3/24/2026,9:28:22,3,007 - Twin Bridges,Strawberry,-120.13715,38.807658,5935,East,El Dorado,US-50,,,58.88,,87.1,TRUE,3/24/2026,8:05:07,1 Page (Normal),3,Not Reported,CAUTION,WATCH FOR,SWEEPING CREW,Not Reported,,,
1256,3/24/2026,9:28:22,3,008 - 48th Street,Sacramento,-121.448271,38.557878,26,West,Sacramento,US-50,,R,1.42,,7.05,FALSE,12/28/2023,6:34:32,Blank,5,Not Reported,,,,Not Reported,,,
1272,3/24/2026,9:28:22,3,009 - Olive Dr,Davis,-121.726085,38.545878,32,West,Yolo,I-80,,,0.9,,73.08,TRUE,3/9/2026,7:55:59,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1232,3/24/2026,9:28:22,3,010 - Meyers,South Lake Tahoe,-120.022953,38.85087,6345,West,El Dorado,US-50,,,70.58,,98.75,TRUE,3/24/2026,8:05:28,1 Page (Normal),3,Not Reported,CAUTION,WATCH FOR,SWEEPING CREW,Not Reported,,,
1248,3/24/2026,9:28:22,3,011 - Rainbow,Soda Springs,-120.490908,39.311639,5935,East,Placer,I-80,,R,66.78,,168.12,TRUE,3/23/2026,13:51:15,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1246,3/24/2026,9:28:22,3,012 - Blue Canyon,Emigrant Gap,-120.706042,39.282676,5305,East,Placer,I-80,,,53.22,L,154.68,TRUE,3/13/2026,19:29:57,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1236,3/24/2026,9:28:22,3,013 - Vista Point,Donner Lake,-120.26924,39.328996,6332,West,Nevada,I-80,,R,10.26,,181.36,TRUE,3/23/2026,8:59:24,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1265,3/24/2026,9:28:22,3,014 - Madison Ave (WB),Sacramento,-121.353295,38.667953,127,West,Sacramento,I-80,,,13.07,,96.59,TRUE,3/20/2026,3:12:10,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1266,3/24/2026,9:28:22,3,015 - Elk Grove Blvd,Elk Grove,-121.39187,38.416426,42,North,Sacramento,SR-99,,,13.29,,287.76,TRUE,3/24/2026,9:28:21,1 Page (Normal),3,Not Reported,MINUTES TO:,FLORIN 9,US 50 15,Not Reported,,,
1261,3/24/2026,9:28:22,3,016 - El Camino Ave,Sacramento,-121.426034,38.612153,42,South,Sacramento,SR-51,,,4.81,,4.82,TRUE,3/18/2026,18:36:00,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1264,3/24/2026,9:28:22,3,017 - Madison Ave (EB),Sacramento,-121.352312,38.667947,124,East,Sacramento,I-80,,,13.11,,96.6,FALSE,1/20/2026,11:32:34,Blank,5,Not Reported,,,,Not Reported,,,
1230,3/24/2026,9:28:22,3,018 - Sly Park,Pollock Pines,-120.590455,38.756783,3874,East,El Dorado,US-50,,R,30.43,,58.96,TRUE,3/9/2026,7:56:00,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1273,3/24/2026,9:28:22,3,019 - Chiles,Davis,-121.664313,38.559149,22,East,Yolo,I-80,,,4.37,,77.38,TRUE,3/24/2026,3:57:06,1 Page (Normal),3,Not Reported,CAUTION,LANES BLOCKED,AHEAD,Not Reported,,,
1254,3/24/2026,9:28:22,3,020 - W El Camino Ave,Sacramento,-121.510865,38.611336,9,South,Sacramento,I-5,,,25.71,,521.01,TRUE,3/19/2026,14:44:59,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1255,3/24/2026,9:28:22,3,021 - 8th Street,Sacramento,-121.502042,38.566429,26,West,Sacramento,US-50,,L,0.84,,4,TRUE,3/10/2026,16:51:21,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1257,3/24/2026,9:28:22,3,022 - 18th Street,Sacramento,-121.489502,38.562576,29,East,Sacramento,US-50,,L,1.57,,4.73,FALSE,1/31/2024,22:03:50,Blank,5,Not Reported,,,,Not Reported,,,
1258,3/24/2026,9:28:22,3,023 - Howe Ave,Sacramento,-121.398837,38.555958,39,East,Sacramento,US-50,,R,4.26,,9.9,FALSE,2/1/2024,6:52:11,Blank,5,Not Reported,,,,Not Reported,,,
1259,3/24/2026,9:28:22,3,024 - Scott Rd,Folsom,-121.127339,38.642925,354,West,Sacramento,US-50,,,20.82,,26.48,TRUE,3/9/2026,7:55:59,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1267,3/24/2026,9:28:22,3,025 - M. L. K.,Sacramento,-121.464819,38.520039,22,North,Sacramento,SR-99,,,21.57,,296.05,TRUE,3/20/2026,3:27:52,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1252,3/24/2026,9:28:22,3,026 - 35th Ave,Sacramento,-121.521494,38.521069,26,North,Sacramento,I-5,,,19,,514.28,TRUE,3/23/2026,8:16:52,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1249,3/24/2026,9:28:22,3,027 - Kingvale,Soda Springs,-120.439408,39.315835,6128,West,Placer,I-80,,,69.59,,171.01,TRUE,3/21/2026,22:43:29,Blank,Not Reported,Not Reported,,,,Not Reported,,,
1242,3/24/2026,9:28:22,3,028 - Gold Run (EB),Gold Run,-120.863267,39.172441,3267,East,Placer,I-80,,,41.03,,142.5,TRUE,3/22/2026,10:44:04,Blank,Not Reported,Not Reported,,,,Not Reported,,,
