POSTMILE,TRAFFIC_ID,DISTRICT,ROUTE,COUNTY,DESCRIPTION,lat,long,site_name,Station_Number,Street_Name,County_1,measure,source,SHAPE
,,,,NA,NA,39.3270928,-119.87542,.1 mi E of New Sky Tavern Ski Area,310369,SR431,Washoe,AADT,NDOT traffic volume counters,"{'x': -13344470.713033048, 'y': 4768633.700177366, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2327739,-119.9329258,.1 mi N of SR-28 (Tahoe Bl),310381,Lakeshore Bl,Washoe,AADT,NDOT traffic volume counters,"{'x': -13350872.229486914, 'y': 4755069.496273661, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2511019,-119.9705619,.1 mi S of SR-431 (Mt Rose Hw),310373,SR28,Washoe,AADT,NDOT traffic volume counters,"{'x': -13355061.860830983, 'y': 4757703.8563387, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2633614,-119.9452303,.1 mi W of Country Club Dr,310728,Village Bl,Washoe,AADT,NDOT traffic volume counters,"{'x': -13352241.960082559, 'y': 4759466.350022983, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.0962264,-119.9109564,.1 mi W of SR-28 at mp 12,50036,US50,Douglas,AADT,NDOT traffic volume counters,"{'x': -13348426.606993211, 'y': 4735464.566540243, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2340367,-119.9309689,.2 mi N of the E end of Lakeshore Bl,310380,SR28,Washoe,AADT,NDOT traffic volume counters,"{'x': -13350654.388317142, 'y': 4755250.981618396, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.1027642,-119.9135361,.2 mi N of US-50,50035,SR28,Douglas,AADT,NDOT traffic volume counters,"{'x': -13348713.777818207, 'y': 4736402.37062544, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2495228,-119.9511933,.25 mi N of Southwood Bl,310379,SR28,Washoe,AADT,NDOT traffic volume counters,"{'x': -13352905.758153304, 'y': 4757476.858690328, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,38.9923386,-119.9486519,.3 mi E of SR-760,50038,US50,Douglas,AADT,NDOT traffic volume counters,"{'x': -13352622.850779776, 'y': 4720574.202118367, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,38.9717644,-119.9350822,.4 mi E of SR-207 (Kingsbury Grade),50040,US50,Douglas,AADT,NDOT traffic volume counters,"{'x': -13351112.278697224, 'y': 4717627.871896638, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
