"","taz","total_residential_units","census_occ_rate","total_occ_units","occ_units_low_inc","occ_units_med_inc","occ_units_high_inc","persons_per_occ_unit","total_persons","emp_total"
"1",129,122,0.1636725,19.968045,4,10,6,2.350173903,47,5
"2",130,946,0.1636725,154.834185,32,79,44,2.350173903,364,22
"3",131,91,0.1636725,14.8941975,3,8,4,2.350173903,35,NA
"4",128,3,0.1636725,0.4910175,0,0,0,2.350173903,1,80
"5",125,63,0.0327345,2.0622735,0,1,1,3.082695639,6,NA
"6",127,0,NA,NA,NA,NA,NA,NA,NA,NA
"7",126,0,NA,NA,NA,NA,NA,NA,NA,NA
"8",124,274,0.0327345,8.969253,0,4,5,3.082695639,28,22
"9",123,0,NA,NA,NA,NA,NA,NA,NA,NA
"10",122,295,0.0327345,9.6566775,0,4,5,3.082695639,30,NA
"11",121,14,0.0327345,0.458283,0,0,0,3.082695639,1,NA
"12",120,15,0.0327345,0.4910175,0,0,0,3.082695639,2,NA
"13",119,0,NA,NA,NA,NA,NA,NA,NA,NA
"14",118,1,0.0327345,0.0327345,0,0,0,3.082695639,0,NA
"15",117,22,0.0327345,0.720159,0,0,0,3.082695639,2,NA
"16",116,0,NA,NA,NA,NA,NA,NA,NA,NA
"17",9,326,0.305522,99.600172,59,41,0,1.587130428,158,596
"18",10,2,0.305522,0.611044,0,0,0,1.587130428,1,1133
"19",11,284,0.305522,86.768248,51,35,0,1.587130428,138,425
"20",115,42,0.0327345,1.374849,0,1,1,3.082695639,4,NA
"21",16,3,0.370991,1.112973,0,1,0,2.299304338,3,NA
"22",13,452,0.370991,167.687932,53,99,16,2.299304338,386,211
"23",12,1100,0.3819025,420.09275,203,139,77,2.879217379,1210,170
"24",18,311,0.720159,223.969449,75,83,66,2.421391294,542,638
"25",15,281,0.370991,104.248471,33,61,10,2.299304338,240,103
"26",114,136,0.0327345,4.451892,0,2,2,3.082695639,14,NA
"27",24,361,0.698336,252.099296,55,162,36,3.326869551,839,162
"28",19,101,0.5564865,56.2051365,19,22,15,1.841478253,104,330
"29",112,0,NA,NA,NA,NA,NA,NA,NA,NA
"30",17,0,NA,NA,NA,NA,NA,NA,NA,583
"31",20,34,0.5564865,18.920541,6,7,5,1.841478253,35,376
"32",14,305,0.414637,126.464285,70,49,7,2.329826077,295,42
"33",37,377,0.5346635,201.5681395,130,63,8,2.024608687,408,20
"34",21,405,0.5564865,225.3770325,77,89,60,1.841478253,415,12
"35",22,0,NA,NA,NA,NA,NA,NA,NA,NA
"36",23,537,0.720159,386.725383,130,143,114,2.421391294,936,21
"37",104,0,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,675,0.501929,338.802075,141,173,25,2.685913032,910,217
"39",25,226,0.741982,167.687932,66,66,35,2.869043466,481,7
"40",26,254,0.741982,188.463428,74,74,40,2.869043466,541,63
"41",44,275,0.327345,90.019875,26,25,39,2.74695651,247,113
"42",103,31,0.065469,2.029539,0,1,1,1.719391297,3,299
"43",53,358,0.327345,117.18951,34,33,50,2.74695651,322,79
"44",39,547,0.5128405,280.5237535,60,137,84,2.126347817,596,129
"45",27,0,NA,NA,NA,NA,NA,NA,NA,211
"46",45,717,0.327345,234.706365,68,66,101,2.74695651,645,4
"47",40,148,0.567398,83.974904,52,15,18,2.156869556,181,80
"48",35,127,0.5564865,70.6737855,24,28,19,1.841478253,130,NA
"49",105,0,NA,NA,NA,NA,NA,NA,NA,NA
"50",106,0,NA,NA,NA,NA,NA,NA,NA,NA
"51",113,0,NA,NA,NA,NA,NA,NA,NA,NA
"52",107,44,0.0327345,1.440318,0,1,1,3.082695639,4,NA
"53",41,372,0.567398,211.072056,130,37,45,2.156869556,455,139
"54",63,0,NA,NA,NA,NA,NA,NA,NA,NA
"55",30,0,NA,NA,NA,NA,NA,NA,NA,8
"56",28,0,NA,NA,NA,NA,NA,NA,NA,174
"57",29,0,NA,NA,NA,NA,NA,NA,NA,NA
"58",34,373,0.741982,276.759286,109,109,58,2.869043466,794,NA
"59",31,0,NA,NA,NA,NA,NA,NA,NA,383
"60",48,513,0.589221,302.270373,91,71,141,2.553652163,772,86
"61",42,958,0.458283,439.035114,139,259,41,3.031826074,1331,153
