"","TAZ","emp_other","emp_rec","emp_retail","emp_srvc","emp_gaming"
"1",9,72.6666666666667,55.5,13.3333333333333,454.333333333333,NA
"2",10,157,23,119.166666666667,833.666666666667,NA
"3",11,90,4.5,74,256.166666666667,NA
"4",12,23.3333333333333,7.33333333333333,NA,139,NA
"5",13,40.3333333333333,3,80.6666666666667,87.3333333333333,NA
"6",14,18,NA,NA,24,NA
"7",15,102.666666666667,NA,NA,NA,NA
"8",17,NA,449.666666666667,6.66666666666667,126.333333333333,NA
"9",18,71.3333333333333,157,52.3333333333333,357,NA
"10",19,62.8333333333333,57.3333333333333,30.3333333333333,179.666666666667,NA
"11",20,236,16,NA,123.666666666667,NA
"12",21,3,NA,NA,8.66666666666667,NA
"13",23,19,NA,NA,1.66666666666667,NA
"14",24,57.6666666666667,5.66666666666667,12,87,NA
"15",25,2.66666666666667,NA,NA,4,NA
"16",26,63.3333333333333,NA,NA,NA,NA
"17",27,211,NA,NA,NA,NA
"18",28,108.666666666667,NA,65.3333333333333,NA,NA
"19",30,8,NA,NA,NA,NA
"20",31,383,NA,NA,NA,NA
"21",33,4.66666666666667,NA,NA,NA,NA
"22",37,6,NA,NA,14,NA
"23",38,53,12.6666666666667,7.33333333333333,144.166666666667,NA
"24",39,103.666666666667,NA,3,22,NA
"25",40,16.3333333333333,5.66666666666667,15.3333333333333,43,NA
"26",41,54.6666666666667,NA,25.6666666666667,58.6666666666667,NA
"27",42,63.3333333333333,1,26.3333333333333,62.3333333333333,NA
"28",43,64,4,13.5,92.6666666666667,NA
"29",44,67.3333333333333,43.8333333333333,1,1,NA
"30",45,4.33333333333333,NA,NA,NA,NA
"31",46,9,9.66666666666667,NA,12.5,NA
"32",47,101,NA,NA,2.66666666666667,NA
"33",48,30.6666666666667,NA,29.3333333333333,25.6666666666667,NA
"34",49,176.666666666667,NA,4.66666666666667,77.3333333333333,NA
"35",50,339.666666666667,4,145.333333333333,30.3333333333333,NA
"36",51,2,NA,1,NA,NA
"37",52,11.3333333333333,NA,NA,NA,NA
"38",53,78.3333333333333,NA,1,NA,NA
"39",54,30.6666666666667,NA,NA,10.6666666666667,NA
