"","TAZ","hotelmotel","casino","resort"
"1",188,0.4805,NA,0.4805
"2",187,0.4805,NA,0.4805
"3",186,0.774,NA,0.774
"4",184,0.594,NA,0.594
"5",183,0.594,NA,0.594
"6",192,0.4805,NA,0.4805
"7",185,0.594,NA,0.594
"8",190,0.4805,NA,0.4805
"9",181,0.594,NA,0.594
"10",180,0.774,NA,0.774
"11",182,0.594,NA,0.594
"12",178,0.774,NA,0.774
"13",176,0.774,NA,0.774
"14",189,0.4805,NA,0.4805
"15",191,0.4805,NA,0.4805
"16",177,0.774,NA,0.774
"17",174,0.774,NA,0.774
"18",171,0.674666666666667,NA,0.674666666666667
"19",169,0.774,NA,0.774
"20",170,0.674666666666667,NA,0.674666666666667
"21",167,0.674666666666667,NA,0.674666666666667
"22",166,0.674666666666667,NA,0.674666666666667
"23",172,0.674666666666667,NA,0.674666666666667
"24",163,0.674666666666667,NA,0.674666666666667
"25",165,0.674666666666667,NA,0.674666666666667
"26",161,0.674666666666667,NA,0.674666666666667
"27",162,0.674666666666667,NA,0.674666666666667
"28",160,0.674666666666667,NA,0.674666666666667
"29",164,0.674666666666667,NA,0.674666666666667
"30",159,0.674666666666667,NA,0.674666666666667
"31",158,0.674666666666667,NA,0.674666666666667
"32",155,0.674666666666667,NA,0.674666666666667
"33",156,0.674666666666667,NA,0.674666666666667
"34",154,0.674666666666667,NA,0.674666666666667
"35",153,0.674666666666667,NA,0.674666666666667
"36",148,0.6306,NA,0.6306
"37",152,0.674666666666667,NA,0.674666666666667
"38",151,0.674666666666667,NA,0.674666666666667
"39",149,0.6306,NA,0.6306
"40",145,0.6306,NA,0.6306
"41",150,0.6306,NA,0.6306
"42",142,0.6306,NA,0.6306
"43",141,0.6306,NA,0.6306
"44",140,0.6306,NA,0.6306
"45",139,0.6306,NA,0.6306
"46",138,0.6306,NA,0.6306
"47",137,0.6306,NA,0.6306
"48",136,0.6306,NA,0.6306
"49",134,0.6306,NA,0.6306
"50",133,0.6306,NA,0.6306
"51",147,0.6306,NA,0.6306
"52",179,0.774,NA,0.774
"53",175,0.774,NA,0.774
"54",173,0.674666666666667,NA,0.674666666666667
"55",168,0.674666666666667,NA,0.674666666666667
"56",157,0.674666666666667,NA,0.674666666666667
"57",146,0.6306,NA,0.6306
"58",143,0.6306,NA,0.6306
"59",135,0.6306,NA,0.6306
"60",144,0.6306,NA,0.6306
"61",286,0.809,0.809,0.809
"62",285,0.809,0.809,0.809
"63",269,0.809,0.809,0.809
"64",287,0.809,0.809,0.809
"65",291,0.809,0.809,0.809
"66",268,0.809,0.809,0.809
"67",292,0.809,0.809,0.809
"68",270,0.809,0.809,0.809
"69",274,0.809,0.809,0.809
"70",293,0.809,0.809,0.809
"71",283,0.809,0.809,0.809
"72",273,0.809,0.809,0.809
"73",282,0.809,0.809,0.809
"74",284,0.809,0.809,0.809
"75",266,0.809,0.809,0.809
"76",290,0.809,0.809,0.809
"77",271,0.809,0.809,0.809
"78",272,0.809,0.809,0.809
"79",281,0.809,0.809,0.809
"80",280,0.809,0.809,0.809
"81",289,0.809,0.809,0.809
"82",277,0.809,0.809,0.809
"83",294,0.809,0.809,0.809
"84",278,0.809,0.809,0.809
"85",288,0.809,0.809,0.809
"86",267,0.809,0.809,0.809
"87",279,0.809,0.809,0.809
"88",265,0.809,0.809,0.809
"89",262,0.809,0.809,0.809
"90",276,0.809,0.809,0.809
"91",275,0.809,0.809,0.809
"92",264,0.809,0.809,0.809
"93",261,0.809,0.809,0.809
"94",263,0.809,0.809,0.809
"95",260,0.809,0.809,0.809
"96",295,0.809,0.809,0.809
"97",259,0.809,0.809,0.809
"98",297,0.809,0.809,0.809
"99",257,0.809,0.809,0.809
"100",256,0.809,0.809,0.809
"101",255,0.809,0.809,0.809
"102",253,0.809,0.809,0.809
"103",254,0.809,0.809,0.809
"104",252,0.809,0.809,0.809
"105",296,0.809,0.809,0.809
"106",258,0.809,0.809,0.809
"107",243,0.726025,NA,NA
"108",244,0.726025,NA,NA
"109",242,0.726025,NA,NA
"110",241,0.726025,NA,NA
"111",239,0.726025,NA,NA
"112",238,0.726025,NA,NA
"113",237,0.726025,NA,NA
"114",234,0.726025,NA,NA
"115",228,0.726025,NA,NA
"116",230,0.726025,NA,NA
"117",227,0.726025,NA,NA
"118",225,0.726025,NA,NA
"119",226,0.726025,NA,NA
"120",224,0.726025,NA,NA
"121",220,0.726025,NA,NA
"122",223,0.726025,NA,NA
"123",219,0.726025,NA,NA
"124",222,0.726025,NA,NA
"125",214,0.726025,NA,NA
"126",215,0.726025,NA,NA
"127",217,0.726025,NA,NA
"128",218,0.726025,NA,NA
"129",221,0.726025,NA,NA
"130",213,0.726025,NA,NA
"131",211,0.726025,NA,NA
"132",210,NA,NA,0.726025
"133",201,0.726025,NA,NA
"134",206,0.726025,NA,NA
"135",205,NA,0.8497,NA
"136",208,0.726025,NA,NA
"137",212,0.726025,NA,NA
"138",204,0.726025,NA,NA
"139",203,0.726025,NA,NA
"140",200,NA,0.8497,NA
"141",202,NA,0.8497,NA
"142",207,0.726025,NA,NA
"143",235,0.726025,NA,NA
"144",236,0.726025,NA,NA
"145",240,0.726025,NA,NA
"146",233,0.726025,NA,NA
"147",232,0.726025,NA,NA
"148",229,0.726025,NA,NA
"149",216,0.726025,NA,NA
"150",209,0.726025,NA,NA
"151",231,0.726025,NA,NA
"152",9,0.553056970605996,NA,0.501460173012988
"153",10,0.70944049571715,NA,0.456220993356283
"154",11,0.378037891435525,NA,NA
"155",12,0.564919400018072,NA,NA
"156",13,0.263017987818932,NA,NA
"157",15,0.0322278225806452,NA,NA
"158",18,0.225768689196109,NA,0.721989247311828
"159",19,0.827403062886934,NA,0.736324310962798
"160",24,0.442758282054259,NA,NA
"161",25,0.642399804496579,NA,NA
"162",37,0.0585410557184751,NA,NA
"163",41,0.125971210544572,NA,NA
"164",46,0.618709677419355,NA,NA
"165",48,0.691548236709527,NA,NA
"166",49,0.217130987292278,NA,NA
"167",50,0.100627240143369,NA,NA
"168",59,0.177087813620072,NA,NA
"169",60,0.746541218637993,NA,NA
