,taz,hotelmotel,resort,casino,campground,percentHouseSeasonal,beach
17,9,1164,266,0,0,0.792721818,924
18,10,0,1299,0,0,0.184512401,0
19,11,147,531,0,0,0.690019889,0
23,12,259,0,0,0,0.63964802,0
22,13,398,0,0,0,0.660834563,0
32,14,0,0,0,0,0.193706408,0
25,15,160,0,0,0,0.266197974,0
21,16,0,0,0,0,0.70749543,0
30,17,0,0,0,0,0,0
24,18,200,50,0,0,0.526586153,1633
28,19,0,360,0,0,0.806349248,414
31,20,0,0,0,0,0.87755102,2809
34,21,0,0,0,185,0.632593482,0
35,22,0,0,0,0,0,994
36,23,0,0,0,0,0.516129447,0
27,24,193,0,0,0,0.584029002,0
39,25,31,0,0,0,0.744765095,0
40,26,0,0,0,0,0.593984833,0
45,27,0,0,0,0,0,0
56,28,0,0,0,0,0,0
57,29,0,0,0,0,0,0
55,30,0,0,0,0,0,378
59,31,0,0,0,0,0,0
68,32,0,0,0,0,0,0
65,33,0,0,0,0,0.497222263,0
58,34,0,0,0,0,0.495077625,0
48,35,0,0,0,0,0.30943189,0
63,36,0,0,0,0,0,0
33,37,10,22,0,0,0.54999799,2652
38,38,15,0,0,0,0.828751086,0
44,39,26,0,0,0,0.7861043,0
47,40,0,0,0,0,0.594440834,0
53,41,62,0,0,0,0.466366055,0
61,42,28,0,0,0,0.541158596,0
69,43,32,0,0,0,0.607696978,0
41,44,0,0,0,0,0.522829785,444
46,45,0,0,0,0,0.664584243,0
64,46,31,0,0,0,0.846149741,0
67,47,0,0,0,0,0.844811912,0
60,48,143,0,0,0,0.650330494,0
70,49,38,0,0,0,0.733179873,0
76,50,38,0,0,0,0.535353535,0
66,51,0,0,0,0,0.885738039,0
62,52,0,0,0,0,0.878318431,0
43,53,0,0,0,0,0.720253984,0
71,54,16,0,0,0,0.635055252,0
84,55,0,0,0,0,0,0
78,56,0,0,0,0,0.760351562,0
81,57,0,0,0,0,0.869158879,0
82,58,0,0,0,0,0.776807292,0
87,59,14,0,0,0,0.861870159,0
86,60,79,0,0,96,0.730496454,0
73,61,23,0,0,0,0.730496454,0
77,62,0,0,0,0,0.563143921,0
54,63,0,0,0,0,0,0
96,64,0,0,0,0,0.945273632,72
90,65,0,0,0,0,0.688889336,0
80,66,0,0,0,0,0.64263433,0
75,67,0,0,0,0,0.551111243,0
85,68,0,0,0,0,0.715467573,0
74,69,0,0,0,0,0.278730389,0
79,70,0,0,0,0,0.634543216,0
93,71,0,0,0,0,0.23333358,0
102,72,0,0,0,0,0,0
117,73,0,0,0,0,0,0
105,74,0,0,0,0,0.945273632,163
108,75,0,0,0,0,0.733950803,0
103,76,0,0,0,0,0.562944321,5783
101,77,0,0,0,0,0.616263098,0
100,78,0,0,0,0,0.548992449,0
99,79,0,0,0,0,0.562626853,0
72,80,0,0,0,439,0.730496454,0
92,81,0,0,0,0,0,0
94,82,0,0,0,0,0.506507532,0
95,83,0,0,0,0,0.852903323,2006
111,84,0,0,0,0,0.945273632,0
112,85,0,0,0,0,0.772654618,0
113,86,0,0,0,0,0.817042364,0
116,87,0,0,0,15,0.857843222,1163
120,88,0,0,0,0,0.817042364,0
122,89,0,0,0,0,1,755
121,90,0,0,0,0,0.749475245,0
118,91,0,0,0,0,0.899179062,0
119,92,0,0,0,0,0.845019054,4253
115,93,0,0,0,0,0,0
114,94,0,0,0,0,0.817413361,0
107,95,0,0,0,0,0.729584542,0
110,96,0,0,0,0,0.810218978,138
109,97,0,0,0,0,0.622720688,0
106,98,0,0,0,0,0,4852
104,99,0,0,0,0,0,696
97,100,0,0,0,0,0.806207597,1370
89,101,0,0,0,0,0,1346
88,102,0,0,0,0,0.676192252,0
42,103,0,71,0,0,0.82741041,4491
37,104,0,0,0,300,0,3496
49,105,0,0,0,0,0,0
50,106,0,0,0,211,0,0
52,107,0,0,0,0,0.967647059,0
83,108,0,0,0,0,0.934752716,239
91,109,0,0,0,0,1,0
98,110,0,0,0,0,1,135
263,111,0,0,0,0,0.888120727,185
29,112,0,0,0,0,0,2428
51,113,0,0,0,26,0,2262
26,114,0,0,0,0,0.967647059,0
20,115,0,0,0,0,0.893801179,2285
16,116,0,0,0,119,0,2971
15,117,0,0,0,13,0.967647059,0
14,118,0,0,0,151,0.967647059,1542
13,119,0,0,0,0,0,0
12,120,0,0,0,0,0.898724238,0
11,121,0,0,0,0,0.893801179,0
10,122,0,0,0,0,0.901060605,1345
9,123,0,0,0,0,0,0
8,124,0,0,0,0,0.843133204,0
5,125,0,22,0,42,0.885596082,1600
7,126,0,0,0,0,0,17
6,127,0,0,0,0,0,0
4,128,0,0,0,175,0.880444856,1731
1,129,0,0,0,0,0.792237196,0
2,130,0,0,0,0,0.762896805,0
3,131,19,0,0,0,0.64393201,0
264,132,0,0,0,0,0.989352682,3716
215,133,30,0,0,0,0.902761081,0
214,134,0,0,0,0,0.762801964,0
278,135,0,0,0,0,0.979472141,2581
213,136,0,0,0,0,0.712020069,0
212,137,0,0,0,0,0.782511313,0
211,138,0,0,0,0,0.979472141,0
210,139,33,0,0,0,0.744642367,2807
209,140,0,0,0,0,0.979472141,0
208,141,9,0,0,0,0.722567139,0
207,142,0,0,0,0,0.754052362,0
277,143,0,0,0,10,0.813635715,2990
282,144,0,0,0,0,0.767554205,0
205,145,0,0,0,0,0,0
276,146,0,0,0,0,0,0
262,147,0,0,0,0,0.861533653,0
201,148,0,0,0,0,0.619473376,0
204,149,45,0,0,0,0.637307907,422
206,150,0,0,0,84,0,0
203,151,0,0,0,0,0.635700119,0
202,152,0,165,0,0,0.67876579,0
200,153,0,0,0,0,0.660000054,0
199,154,0,0,0,0,0.48398735,5177
197,155,46,0,0,0,0.074027697,8223
198,156,0,0,0,0,0,560
275,157,93,0,0,0,0.634915653,6376
196,158,0,0,0,0,0.935185185,179
195,159,24,0,0,26,0,5236
193,160,0,0,0,0,0.714440473,0
191,161,0,0,0,0,0.827795866,0
192,162,0,0,0,0,0.935185185,4319
189,163,0,0,0,0,0,0
194,164,0,0,0,0,0.543361233,0
190,165,0,0,0,20,0,5135
187,166,0,0,0,0,0.591259369,0
186,167,0,0,0,0,0.601871153,0
274,168,0,0,0,0,0.514651593,0
184,169,0,0,0,0,0.951934349,0
185,170,0,0,0,0,0.72914796,0
183,171,0,0,0,0,0.746399399,0
188,172,0,0,0,0,0,0
273,173,21,0,0,0,0.579995687,5198
182,174,0,0,0,0,0.687539833,0
272,175,0,0,0,0,0.544749846,0
178,176,10,0,0,0,0.663094111,0
181,177,0,0,0,0,0.602804637,4637
177,178,0,0,0,0,0.594053377,0
271,179,0,0,0,0,0.337959811,0
175,180,0,0,0,0,0.476238599,0
174,181,233,51,0,0,0.542904133,5449
176,182,55,0,0,0,0.617942092,9984
170,183,0,0,0,0,0.697958678,0
169,184,0,0,0,0,0.628456214,0
172,185,0,0,0,0,0,307
168,186,0,0,0,0,0.474968084,336
167,187,0,0,0,0,0,4304
166,188,0,0,0,0,0.568685273,0
