Beach,Month,Year,Visitation_Total
64-Acres Park & Bell's Landing,August,2022,
Baldwin Beach,August,2022,
Camp Richardson Resort Beach,August,2022,
Carnelian West Beach,August,2022,
Chambers Landing Beach,August,2022,
Chimney Beach,August,2022,
D.L. Bliss State Park,August,2022,
El Dorado/Commons Beach,August,2022,
Elizabeth Williams Park,August,2022,
Emerald Bay Beach,August,2022,
Hidden Beach,August,2022,
Kaspian Beach,August,2022,
Kings Beach State Recreation Area,August,2022,
Kiva Beach,August,2022,
Lake Forest Beach,August,2022,
Lakeside Beach,August,2022,
Meeks Bay Resort Beach,August,2022,
Moon Dunes Beach,August,2022,
Nevada Beach,August,2022,
North Tahoe Beach,August,2022,
Patton Landing,August,2022,
Pope Beach,August,2022,
Regan Beach,August,2022,
Round Hill Pines,August,2022,
Sand Harbor State Park,August,2022,
Sandy Beach,August,2022,
Secline Beach,August,2022,
Secret Harbor,August,2022,
Skunk Harbor,August,2022,
Speedboat Beach,August,2022,
Sugar Pine Point State Park,August,2022,
Sylandia Beach,August,2022,
Tahoe City Commons Beach,August,2022,
Tahoe Vista Recreation Area,August,2022,
Connolley Beach,August,2022,
Cove East Beach,August,2022,
William Kent Shoreline,August,2022,
Whale Beach,August,2022,
Cave Rock State Park,August,2022,
Zephyr Cove Resort Beach,August,2022,
Edgewood,August,2022,
Ski Run Beach,August,2022,
