Campground,Month,Year,Land_Owner,Total_Sites,Sites_Sold,Visitation_Total,
Lake Forest Campground,August,2022,TCPUD,21,210,241,
Zephyr Cove RV Campground,August,2022,USFS/Private,140,"3,618","9,588",
Nevada Beach Campground,August,2022,USFS,52,"1,943","2,311",
Tahoe Valley Campground,August,2022,Private,400,,,
Fallen Leaf Campground,August,2022,USFS,196,"8,348","11,892",
Camp Richardson Campground,August,2022,USFS/Private,330,,,
Camp Shelley,August,2022,USFS/Private,25,,,
Eagle Point Campground,August,2022,CA SP,96,,"13,410",
Bayview Campground,August,2022,USFS,0,0,0,
D.L. Bliss Lower Pines Campground,August,2022,CA SP,165,,"6,948",
Meeks Bay Campground,August,2022,USFS,40,"1,633","2,747",
General Creek Campground,August,2022,CA SP,175,,"20,471",
Kaspian Campground,August,2022,USFS,9,337,564,
William Kent Campground,August,2022,USFS,79,"2,992","4,503",
Tahoe State Recreation Area,August,2022,CA SP,23,,"3,206",
Campground By The Lake,August,2022,CSLT,178,,,
Emerald Bay Boat Camp,August,2022,USFS,20,,,
Luther Pass Campground,August,2022,USFS,15,,,
