Jurdisdiction,Zone_Name,Zone_ID,Area_Name,Timeframe,Temporal_Scale,Report_RoomsAvailable,Report_RoomsRented,RoomType,Report_OccRate,TRPA_TAUs,TRPA_OccRate,Notes
El Dorado County,Rest of El Dorado County,Rest of El Dorado County,Unincorporated El Dorado County,2022-06-01,Monthly,0,0,VHR,0.619514767932489,0.000000000000000,0.000000000000000,"Using SLT VHR rate as occupancy rate, ED only reports TOT revenue"
El Dorado County,Rest of El Dorado County,Rest of El Dorado County,Unincorporated El Dorado County,2022-08-01,Monthly,0,0,VHR,0.566308243727599,0.000000000000000,0.000000000000000,"Using SLT VHR rate as occupancy rate, ED only reports TOT revenue"
El Dorado County,Rest of El Dorado County,Rest of El Dorado County,Unincorporated El Dorado County,2022-09-01,Monthly,0,0,VHR,0.428994708994709,0.000000000000000,0.000000000000000,"Using SLT VHR rate as occupancy rate, ED only reports TOT revenue"
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone1,Zone 1,2022-06-01,Monthly,105270,42783,HotelMotel,0.406412083214591,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone2,Zone 2,2022-06-01,Monthly,39690,12890,HotelMotel,0.324766943814563,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone3,Zone 3,2022-06-01,Monthly,15960,6213,HotelMotel,0.389285714285714,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone4,Zone 4,2022-06-01,Monthly,11670,1834,HotelMotel,0.157155098543273,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone5,Zone 5,2022-06-01,Monthly,7290,1737,HotelMotel,0.238271604938272,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_ALL,Entire City,2022-06-01,Monthly,9480,5873,VHR,0.619514767932489,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone1,Zone 1,2022-08-01,Monthly,108779,45095,HotelMotel,0.414556118368435,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone2,Zone 2,2022-08-01,Monthly,36177,14241,HotelMotel,0.393647897835641,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone3,Zone 3,2022-08-01,Monthly,16492,7261,HotelMotel,0.440274072277468,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone4,Zone 4,2022-08-01,Monthly,12307,1941,HotelMotel,0.157715121475583,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone5,Zone 5,2022-08-01,Monthly,7533,1551,HotelMotel,0.205894066109120,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_ALL,Entire City,2022-08-01,Monthly,9765,5530,VHR,0.566308243727599,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone1,Zone 1,2022-09-01,Monthly,106020,38366,HotelMotel,0.361875117902283,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone2,Zone 2,2022-09-01,Monthly,35010,12350,HotelMotel,0.352756355327049,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone3,Zone 3,2022-09-01,Monthly,15960,5231,HotelMotel,0.327756892230576,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone4,Zone 4,2022-09-01,Monthly,11910,1971,HotelMotel,0.165491183879093,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone5,Zone 5,2022-09-01,Monthly,7290,1257,HotelMotel,0.172427983539095,0.000000000000000,0.000000000000000,
South Lake Tahoe,City of South Lake Tahoe,CSLT_ALL,Entire City,2022-09-01,Monthly,9450,4054,VHR,0.428994708994709,0.000000000000000,0.000000000000000,
