taz,hotelmotel,resort,casino,campground,percentHouseSeasonal
129,0,0,0,0.0,0.6711579936957363
130,0,0,0,0.0,0.4930689246429253
131,0,0,0,0.0,0.6711579936957363
128,0,0,0,106.75,0.2502610524656499
125,0,0,0,29.2,0.38975763136895586
127,0,0,0,0.0,0.3483225199150547
126,0,0,0,0.0,0.4752600177376442
124,0,0,0,0.0,0.47526001773764415
123,0,0,0,0.0,nan
122,1469,82,0,0.0,0.400358763121429
121,732,559,0,0.0,0.4278273888871804
120,319,364,0,0.0,0.4316549842807687
119,259,0,0,0.0,0.43067462072637974
118,464,0,0,39.6,nan
117,0,0,0,0.0,0.327151027753333
116,160,0,0,74.96,0.34027394854576953
9,0,0,0,0.0,0.410886772659773
10,0,0,0,0.0,0.30882845920663304
11,200,50,0,0.0,0.4316549842807687
115,65,261,0,0.0,nan
16,0,0,0,0.0,nan
13,0,0,0,0.0,nan
12,0,0,0,0.0,nan
18,0,0,0,0.0,nan
15,193,0,0,0.0,0.400358763121429
114,29,0,0,0.0,0.35326228152112077
24,0,0,0,0.0,0.410886772659773
19,0,0,0,0.0,nan
112,0,0,0,0.0,0.2764740046258228
17,0,0,0,0.0,0.3396279652979908
20,0,0,0,112.14,0.42637959617730065
14,0,0,0,0.0,0.3334865284081116
37,0,0,0,0.0,0.3334865284081116
21,0,0,0,0.0,0.37198477356681536
22,0,0,0,0.0,0.14527361381767712
23,0,0,0,0.0,0.6970020994431911
104,0,0,0,290.4,0.6552008716243641
38,32,0,0,0.0,0.37251985469264365
25,15,0,0,0.0,0.3193645121490891
26,26,0,0,0.0,0.4404172676019405
44,0,0,0,0.0,0.2730040614169502
103,76,0,0,0.0,0.1293517406962785
53,56,0,0,0.0,0.4126024371474057
39,23,0,0,0.0,0.3655550790046668
27,0,0,0,0.0,0.6968810039642731
45,0,0,0,0.0,0.49549978736308303
40,31,0,0,0.0,nan
35,0,0,0,0.0,0.11391593540890332
105,143,0,0,0.0,0.11391593540890331
106,39,0,0,154.84,0.07920311733965998
113,56,0,0,19.75,0.1584986871912222
107,0,0,0,0.0,0.035949268197409665
41,0,0,0,0.0,0.035949268197409665
63,0,0,0,0.0,0.035949268197409665
30,27,0,0,0.0,nan
28,0,0,0,0.0,0.3152439024390244
29,0,0,0,0.0,0.24671167791947987
34,0,0,0,0.0,0.24671167791947987
31,0,0,0,0.0,0.3669639987142398
48,24,0,0,0.0,0.3669639987142398
42,103,0,0,0.0,0.3669639987142398
52,23,0,0,0.0,0.36696399871423974
36,0,0,0,0.0,0.3669639987142398
46,0,0,0,0.0,nan
33,0,0,0,0.0,nan
51,0,0,0,0.0,nan
47,0,0,0,0.0,0.4615238607054745
32,0,0,0,0.0,0.32527291899952215
43,0,0,0,0.0,0.3152439024390244
49,0,0,0,0.0,0.31346061518785534
54,0,0,0,0.0,0.3308516717542344
80,0,0,0,192.0,0.035949268197409665
61,0,0,0,0.0,nan
69,0,0,0,0.0,0.19872246569849042
67,0,0,0,0.0,0.19872246569849042
50,0,0,0,0.0,0.6122006385647081
62,0,0,0,0.0,0.3886096843053698
56,0,0,0,0.0,0.3152439024390244
70,0,0,0,0.0,0.3152439024390244
66,0,0,0,0.0,0.3152439024390244
57,0,0,0,0.0,0.5214657070147226
58,0,0,0,0.0,0.5214657070147226
108,0,0,0,0.0,0.5214657070147226
55,0,0,0,0.0,0.5214657070147226
68,0,0,0,0.0,0.5214657070147226
60,0,0,0,0.0,0.22629261853690733
59,0,0,0,0.0,0.3189850428747247
111,0,0,0,0.0,0.1992778519233057
102,0,0,0,0.0,0.19927785192330566
101,0,0,0,0.0,nan
65,0,0,0,0.0,0.4291062125897377
109,0,0,0,0.0,0.35831066611091106
81,0,0,0,0.0,nan
71,0,0,0,0.0,0.4209191028080494
82,0,0,0,0.0,0.850850850850851
83,0,0,0,0.0,nan
64,0,0,0,0.0,nan
100,0,0,0,0.0,nan
110,0,0,0,0.0,0.8787816386627
79,0,0,0,0.0,0.859562897486583
78,0,0,0,0.0,0.850850850850851
77,0,0,0,0.0,0.850850850850851
72,0,0,0,0.0,0.8631480832583193
76,71,0,0,0.0,nan
99,0,0,0,0.0,nan
74,0,0,0,0.0,0.8823625088949882
98,0,0,0,0.0,0.8823625088949882
95,0,0,0,0.0,nan
75,0,0,0,0.0,0.8823625088949882
97,0,0,0,0.0,0.8823625088949882
96,0,0,0,0.0,nan
132,0,0,0,0.0,0.8823625088949882
84,0,0,0,0.0,0.8823625088949882
85,0,0,0,0.0,0.8823625088949882
86,0,0,0,0.0,nan
94,0,0,0,0.0,0.8823625088949882
93,0,0,0,0.0,0.8823625088949882
87,0,0,0,7.199999999999999,nan
73,0,0,0,0.0,nan
91,0,0,0,0.0,0.623089555779532
92,0,0,0,0.0,0.623089555779532
88,0,0,0,0.0,0.623089555779532
90,0,0,0,0.0,0.6250071167883183
89,0,0,0,0.0,0.850850850850851
243,0,0,0,0.0,0.713214923192491
244,22,0,0,0.0,0.713214923192491
240,0,0,0,0.0,0.713214923192491
242,0,0,0,0.0,0.713214923192491
241,0,0,0,0.0,0.7132149231924909
239,0,0,0,0.0,nan
238,0,0,0,0.0,0.6976608038496365
237,19,0,0,0.0,0.713214923192491
233,0,0,0,0.0,0.5959607927617407
234,39,0,0,0.0,0.596911342475548
232,0,0,0,0.0,0.681721500274128
228,0,0,0,0.0,0.6824608167182002
229,0,0,0,0.0,nan
230,0,0,0,0.0,nan
227,0,0,0,0.0,0.6824608167182002
225,38,0,0,0.0,0.49784804928131415
226,0,0,0,83.9512254,0.4987427799797159
224,9,0,0,0.0,nan
216,0,0,0,0.0,0.4448867601132298
220,0,0,0,0.0,0.37493251533742333
223,0,0,0,0.0,0.41325869861678205
219,0,0,0,0.0,0.5311854163994242
222,0,0,0,0.0,0.5263025132412367
214,0,0,0,0.0,0.5311854163994242
215,0,0,0,0.0,0.43648668848306005
217,45,0,0,0.0,0.37493251533742333
218,0,0,0,45.76,0.37493251533742333
221,0,0,0,0.0,0.3887338378372379
213,165,0,0,0.0,0.37493251533742333
211,0,0,0,0.0,0.41399574060292355
210,0,0,0,0.0,0.4368287443858622
201,46,0,0,0.0,nan
206,0,0,0,0.0,0.4780301386934597
205,86,0,0,0.0,0.5585745091363068
209,0,0,0,0.0,0.5467059540350366
208,24,0,0,0.0,0.5402489467971962
212,0,0,0,0.0,0.5441235595957669
204,0,0,0,0.0,0.5441235595957669
203,0,0,0,0.0,nan
200,0,0,0,0.0,0.5441235595957669
202,0,0,0,0.0,0.45113285243007156
207,0,0,0,0.0,0.49711354370360705
250,0,0,0,0.0,0.473755352536651
251,0,0,0,0.0,0.5007919990054899
247,0,0,0,0.0,0.5007919990054899
249,0,0,0,0.0,0.4897280440689977
245,0,0,0,0.0,0.47373280071016416
248,0,0,0,0.0,0.4609771984173841
246,0,0,0,0.0,0.4433813006117187
188,21,0,0,0.0,0.44338130061171876
187,0,0,0,0.0,0.4647487566810243
179,0,0,0,0.0,nan
186,8,0,0,0.0,0.47373280071016416
184,0,0,0,0.0,nan
183,0,0,0,0.0,0.43623918433933406
192,0,0,0,0.0,0.3539864825224621
185,0,0,0,0.0,0.2487554025764115
190,265,61,0,0.0,0.2338792232884356
181,24,31,0,0.0,0.2338792232884356
180,0,0,0,0.0,nan
175,0,0,0,0.0,nan
182,0,0,0,0.0,nan
178,0,0,0,0.0,0.09805418784064879
176,0,0,0,0.0,nan
189,0,0,0,0.0,nan
191,107,71,0,0.0,0.0
177,69,0,0,0.0,nan
174,0,0,0,0.0,0.09805418784064879
171,0,0,0,0.0,0.23929527207850135
169,0,0,0,0.0,0.23929527207850138
173,0,0,0,0.0,0.2306771720233103
168,0,0,0,0.0,0.09805418784064879
170,0,0,0,0.0,0.09805418784064879
167,0,0,0,0.0,0.09805418784064879
166,0,0,0,0.0,0.18757318489280886
172,0,0,0,0.0,0.23929527207850135
163,9,0,1279,0.0,0.0
165,0,154,0,4.473,0.3627682267858868
161,0,0,950,0.0,0.36276822678588677
162,0,0,0,0.0,0.2912563330377308
160,64,0,0,0.0,0.3627682267858868
164,0,0,0,0.0,0.3627682267858868
159,74,0,0,7.4750000000000005,0.36095366179085875
157,0,0,0,0.0,0.28966717984332735
158,0,0,0,0.0,0.28966717984332735
155,106,0,0,0.0,nan
156,669,0,0,0.0,nan
154,50,0,0,0.0,nan
153,0,0,0,0.0,0.3533045838021679
148,0,0,0,0.0,0.3533045838021679
152,0,0,0,0.0,0.3533045838021679
151,0,0,0,0.0,0.3533045838021679
146,0,0,0,0.0,0.3533045838021679
149,0,0,0,0.0,0.3533045838021679
145,0,0,0,0.0,0.3533045838021679
150,110,0,0,45.029999999999994,0.3533045838021679
143,0,0,0,5.22,0.3533045838021679
142,0,0,0,0.0,nan
141,0,0,0,0.0,nan
140,0,0,0,0.0,0.3533045838021679
139,32,0,0,0.0,0.3533045838021679
138,5,0,0,0.0,0.3533045838021679
137,0,0,0,0.0,0.3533045838021679
136,0,0,0,0.0,nan
135,0,0,0,0.0,0.0
134,0,0,0,0.0,nan
133,0,0,0,0.0,nan
286,0,0,0,0.0,nan
285,0,0,0,0.0,nan
269,0,0,0,0.0,nan
287,0,0,0,0.0,nan
291,0,0,0,0.0,nan
268,0,0,0,0.0,nan
292,0,0,0,0.0,0.2650268530923998
270,0,0,0,0.0,0.39700237142433675
274,0,0,0,0.0,0.2838804985683908
293,6,0,0,0.0,0.39700237142433675
283,0,0,0,0.0,0.3970023714243368
273,0,0,0,0.0,0.38779974657517874
282,0,0,0,0.0,nan
284,0,0,0,0.0,0.38834842480347853
266,0,0,0,0.0,0.38779974657517874
