taz,hotelmotel,resort,casino,campground,house,seasonal
129,0.0,0.0,0.0,43.5,0.2845786963434022,0.623089555779532
130,0.0,0.0,0.0,43.5,0.2845786963434022,0.623089555779532
131,0.0,0.0,0.0,43.5,0.2815661301302725,0.6250071167883183
128,0.0,0.0,0.0,43.5,0.2845786963434022,0.623089555779532
125,0.0,0.0,0.0,43.5,0.030192131747483992,0.8823625088949882
127,0.0,0.0,0.0,43.5,0.0,0.0
126,0.0,0.0,0.0,43.5,0.0,0.0
124,0.0,0.0,0.0,43.5,0.03019213174748399,0.8823625088949882
123,0.0,0.0,0.0,43.5,0.0,0.0
122,0.387592054,0.387592054,0.0,43.5,0.03019213174748399,0.8823625088949882
121,0.584034774,0.387592054,0.0,43.5,0.030192131747483992,0.8823625088949882
120,0.387592054,0.369245995,0.0,43.5,0.03019213174748399,0.8823625088949882
119,0.347694323,0.0,0.0,43.5,0.0,0.0
118,0.3538324354615385,0.0,0.0,43.5,0.03019213174748399,0.8823625088949882
117,0.0,0.0,0.0,43.5,0.03019213174748399,0.8823625088949882
116,0.347694323,0.0,0.0,43.5,0.0,0.0
9,0.0,0.0,0.0,43.5,0.24378698224852072,0.6711579936957363
10,0.0,0.0,0.0,43.5,0.49109225730452605,0.4930689246429253
11,0.369245995,0.369245995,0.0,43.5,0.24378698224852072,0.6711579936957363
115,0.347694323,0.369245995,0.0,43.5,0.03019213174748399,0.8823625088949882
16,0.0,0.0,0.0,43.5,0.5158227848101266,0.47526001773764415
13,0.0,0.0,0.0,43.5,0.5783459306960739,0.38975763136895586
12,0.0,0.0,0.0,43.5,0.5750353006668291,0.2502610524656499
18,0.0,0.0,0.0,43.5,0.5510791366906475,0.400358763121429
15,0.347694323,0.0,0.0,43.5,0.5158227848101266,0.4752600177376442
114,0.347694323,0.0,0.0,43.5,0.03019213174748399,0.8823625088949882
24,0.0,0.0,0.0,43.5,0.6024555879505317,0.34027394854576953
19,0.0,0.0,0.0,43.5,0.5406959800588336,0.4278273888871804
112,0.0,0.0,0.0,43.5,0.0,0.0
17,0.0,0.0,0.0,43.5,0.0,0.0
20,0.0,0.0,0.0,43.5,0.5392491467576792,0.4316549842807687
14,0.0,0.0,0.0,43.5,0.5369771456097626,0.3483225199150547
37,0.0,0.0,0.0,43.5,0.6375956736003695,0.2764740046258228
21,0.0,0.0,0.0,43.5,0.5396197247555794,0.43067462072637974
22,0.0,0.0,0.0,43.5,0.0,0.0
23,0.0,0.0,0.0,43.5,0.6053252530540636,0.327151027753333
104,0.0,0.0,0.0,43.5,0.0,0.0
38,0.369245995,0.0,0.0,43.5,0.5587432786509116,0.3396279652979908
25,0.369245995,0.0,0.0,43.5,0.44815465729349735,0.410886772659773
26,0.369245995,0.0,0.0,43.5,0.6264486962089267,0.30882845920663304
44,0.0,0.0,0.0,43.5,0.2780979827089337,0.6970020994431911
103,0.16099033899999998,0.0,0.0,43.5,0.13063063063063063,0.850850850850851
53,0.16099033899999998,0.0,0.0,43.5,0.27807682843153364,0.6968810039642731
39,0.16099033899999998,0.0,0.0,43.5,0.48952031679418423,0.42637959617730065
27,0.0,0.0,0.0,43.5,0.5392491467576792,0.4316549842807687
45,0.0,0.0,0.0,43.5,0.27079568887563416,0.6552008716243641
40,0.2037853455,0.0,0.0,43.5,0.6568047337278107,0.3334865284081116
35,0.0,0.0,0.0,43.5,0.44815465729349735,0.410886772659773
105,0.16099033899999998,0.0,0.0,43.5,0.0,0.0
106,0.2037853455,0.0,0.0,43.5,0.0,0.0
113,0.16099033899999998,0.0,0.0,43.5,0.0,0.0
107,0.0,0.0,0.0,43.5,0.04160559752965975,0.8787816386627
41,0.0,0.0,0.0,43.5,0.6568047337278107,0.3334865284081116
63,0.0,0.0,0.0,43.5,0.0,0.0
30,0.2037853455,0.0,0.0,43.5,0.0,0.0
28,0.0,0.0,0.0,43.5,0.0,0.0
29,0.0,0.0,0.0,43.5,0.0,0.0
34,0.0,0.0,0.0,43.5,0.5653064472217748,0.35326228152112077
31,0.0,0.0,0.0,43.5,0.0,0.0
48,0.2037853455,0.0,0.0,43.5,0.5538793103448276,0.4404172676019405
42,0.2037853455,0.0,0.0,43.5,0.6087949416837599,0.37198477356681536
52,0.16099033899999998,0.0,0.0,43.5,0.618994332066651,0.3655550790046668
36,0.0,0.0,0.0,43.5,0.0,0.0
46,0.0,0.0,0.0,43.5,0.6098719295954766,0.37251985469264365
33,0.0,0.0,0.0,43.5,0.5510791366906475,0.400358763121429
51,0.0,0.0,0.0,43.5,0.5573471911905522,0.4126024371474057
47,0.0,0.0,0.0,43.5,0.6350173284194693,0.3193645121490891
32,0.0,0.0,0.0,43.5,0.0,0.0
43,0.0,0.0,0.0,43.5,0.7499435426513538,0.14527361381767712
49,0.0,0.0,0.0,43.5,0.6668286428287887,0.2730040614169502
54,0.0,0.0,0.0,43.5,0.49634428368217626,0.49549978736308303
80,0.0,0.0,0.0,43.5,0.7386018237082067,0.035949268197409665
61,0.0,0.0,0.0,43.5,0.7386018237082067,0.035949268197409665
69,0.0,0.0,0.0,43.5,0.49385245901639346,0.3669639987142398
67,0.0,0.0,0.0,43.5,0.49385245901639346,0.3669639987142398
50,0.0,0.0,0.0,43.5,0.7955182072829132,0.1293517406962785
62,0.0,0.0,0.0,43.5,0.7386018237082067,0.035949268197409665
56,0.0,0.0,0.0,43.5,0.8813559322033897,0.11391593540890332
70,0.0,0.0,0.0,43.5,0.49385245901639346,0.36696399871423974
66,0.0,0.0,0.0,43.5,0.5317829457364341,0.24671167791947987
57,0.0,0.0,0.0,43.5,0.8813559322033898,0.11391593540890331
58,0.0,0.0,0.0,43.5,0.8322869753070772,0.07920311733965998
108,0.0,0.0,0.0,43.5,0.10286233976293714,0.859562897486583
55,0.0,0.0,0.0,43.5,0.0,0.0
68,0.0,0.0,0.0,43.5,0.49385245901639346,0.3669639987142398
60,0.0,0.0,0.0,43.5,0.7386018237082067,0.035949268197409665
59,0.0,0.0,0.0,43.5,0.7715502750373581,0.1584986871912222
111,0.0,0.0,0.0,43.5,0.09143511887135389,0.8631480832583193
102,0.0,0.0,0.0,43.5,0.5059101654846335,0.4209191028080494
101,0.0,0.0,0.0,43.5,0.0,0.0
65,0.0,0.0,0.0,43.5,0.5317829457364341,0.24671167791947987
109,0.0,0.0,0.0,43.5,0.13063063063063063,0.850850850850851
81,0.0,0.0,0.0,43.5,0.0,0.0
71,0.0,0.0,0.0,43.5,0.49385245901639346,0.3669639987142398
82,0.0,0.0,0.0,43.5,0.7407407407407407,0.19872246569849042
83,0.0,0.0,0.0,43.5,0.7407407407407407,0.19872246569849042
64,0.0,0.0,0.0,43.5,0.6189024390243902,0.3152439024390244
100,0.0,0.0,0.0,43.5,0.5603588176167439,0.35831066611091106
110,0.0,0.0,0.0,43.5,0.13063063063063063,0.850850850850851
79,0.0,0.0,0.0,43.5,0.5151652171682188,0.3308516717542344
78,0.0,0.0,0.0,43.5,0.5251121334760064,0.31346061518785534
77,0.0,0.0,0.0,43.5,0.6189024390243902,0.3152439024390244
72,0.0,0.0,0.0,43.5,0.0,0.0
76,0.19506772113433157,0.0,0.0,43.5,0.510674418801065,0.32527291899952215
99,0.0,0.0,0.0,43.5,0.5039713429049184,0.4291062125897377
74,0.0,0.0,0.0,43.5,0.0,0.0
98,0.0,0.0,0.0,43.5,0.0,0.0
95,0.0,0.0,0.0,43.5,0.5961709061307253,0.3189850428747247
75,0.0,0.0,0.0,43.5,0.42316656108122963,0.4615238607054745
97,0.0,0.0,0.0,43.5,0.7462406015037594,0.19927785192330566
96,0.0,0.0,0.0,43.5,0.7462406015037594,0.1992778519233057
132,0.0,0.0,0.0,43.5,0.13063063063063063,0.850850850850851
84,0.0,0.0,0.0,43.5,0.30179028132992325,0.6122006385647081
85,0.0,0.0,0.0,43.5,0.540557082417522,0.3886096843053698
86,0.0,0.0,0.0,43.5,0.6189024390243902,0.3152439024390244
94,0.0,0.0,0.0,43.5,0.6699266503667481,0.22629261853690733
93,0.0,0.0,0.0,43.5,0.42840236686390537,0.5214657070147226
87,0.0,0.0,0.0,43.5,0.6189024390243902,0.3152439024390244
