Campground,Month,Year,Land_Owner,Total_Sites,Sites_Sold,Visitation_Total,Occupancy_Rate,Observed_Estimate,Data_Source
Lake Forest Campground,August,2022,TCPUD,21,210,241,,,
Zephyr Cove RV Campground,August,2022,USFS/Private,140,"3,618","9,588",,,
Nevada Beach Campground,August,2022,USFS,52,"1,943","2,311",,,
Tahoe Valley Campground,August,2022,Private,400,,,,,
Fallen Leaf Campground,August,2022,USFS,196,"8,348","11,892",,,
Camp Richardson Campground,August,2022,USFS/Private,330,,,,,
Camp Shelley,August,2022,USFS/Private,25,,,,,
Eagle Point Campground,August,2022,CA SP,96,,"13,410",,,
Bayview Campground,August,2022,USFS,0,0,0,,,
D.L. Bliss Lower Pines Campground,August,2022,CA SP,165,,"6,948",,,
Meeks Bay Campground,August,2022,USFS,40,"1,633","2,747",,,
General Creek Campground,August,2022,CA SP,175,,"20,471",,,
Kaspian Campground,August,2022,USFS,9,337,564,,,
William Kent Campground,August,2022,USFS,79,"2,992","4,503",,,
Tahoe State Recreation Area,August,2022,CA SP,23,,"3,206",,,
Campground By The Lake,August,2022,CSLT,178,,,,,
Emerald Bay Boat Camp,August,2022,USFS,20,,,,,
Luther Pass Campground,August,2022,USFS,15,,,,,
Lake Forest Campground,August,2018,TCPUD,20,,,0.65,estimate,
Zephyr Cove RV Campground,August,2018,USFS/Private,150,,,0.88,estimate,
Nevada Beach Campground,August,2018,USFS,58,,,0.88,observed,
Tahoe Valley Campground,August,2018,Private,439,,,0.48,estimate,
Fallen Leaf Campground,August,2018,USFS,211,,,0.79,observed,
Camp Richardson Campground,August,2018,USFS/Private,300,,,0.88,estimate,
Camp Shelley,August,2018,USFS/Private,26,,,0.79,estimate,
Eagle Point Campground,August,2018,CA SP,97,,,0.66,observed,
Bayview Campground,August,2018,USFS,13,,,0.48,observed,
D.L. Bliss Lower Pines Campground,August,2018,CA SP,151,,,0.48,observed,
Meeks Bay Campground,August,2018,USFS,42,,,0.73,observed,
General Creek Campground,August,2018,CA SP,175,,,0.61,estimate,
Kaspian Campground,August,2018,USFS,10,,,0.58,observed,
William Kent Campground,August,2018,USFS,84,,,0.57,observed,
Tahoe State Recreation Area,August,2018,CA SP,26,,,0.65,observed,
Campground By The Lake,August,2018,CSLT,185,,,0.7,estimate,
Emerald Bay Boat Camp,August,2018,USFS,22,,,0.58,observed,
Luther Pass Campground,August,2018,USFS,15,,,0.48,estimate,
