Jurdisdiction,Zone_Name,Zone_ID,Area_Name,Timeframe,Temporal_Scale,Report_RoomsAvailable,Report_RoomsRented,RoomType,Report_OccRate,TRPA_TAUs,TRPA_OccRate,Notes
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-06-01,Monthly,0,11499,HotelMotel,0,0,0,Rooms available not provided
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-08-01,Monthly,0,12854,HotelMotel,0,0,0,Rooms available not provided
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-09-01,Monthly,0,11094,HotelMotel,0,0,0,Rooms available not provided
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-06-01,Monthly,0,12099,VHR,0,0,0,"Combination of """"timeshare"""" and """"vacation rental"""""
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-08-01,Monthly,0,12611,VHR,0,0,0,"Combination of """"timeshare"""" and """"vacation rental"""""
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-09-01,Monthly,0,9571,VHR,0,0,0,"Combination of """"timeshare"""" and """"vacation rental"""""
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,Q2 2022,Quarterly,0,1597,VHR,0,0,0,Homeowner rentals only
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,Q3 2022,Quarterly,0,2909,VHR,0,0,0,Homeowner rentals only
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone1,Zone 1,2022-06-01,Monthly,105270,42783,HotelMotel,0.406412083,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone2,Zone 2,2022-06-01,Monthly,39690,12890,HotelMotel,0.324766944,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone3,Zone 3,2022-06-01,Monthly,15960,6213,HotelMotel,0.389285714,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone4,Zone 4,2022-06-01,Monthly,11670,1834,HotelMotel,0.157155099,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone5,Zone 5,2022-06-01,Monthly,7290,1737,HotelMotel,0.238271605,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_ALL,Entire City,2022-06-01,Monthly,9480,5873,VHR,0.619514768,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone1,Zone 1,2022-08-01,Monthly,108779,45095,HotelMotel,0.414556118,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone2,Zone 2,2022-08-01,Monthly,36177,14241,HotelMotel,0.393647898,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone3,Zone 3,2022-08-01,Monthly,16492,7261,HotelMotel,0.440274072,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone4,Zone 4,2022-08-01,Monthly,12307,1941,HotelMotel,0.157715121,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone5,Zone 5,2022-08-01,Monthly,7533,1551,HotelMotel,0.205894066,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_ALL,Entire City,2022-08-01,Monthly,9765,5530,VHR,0.566308244,0,0,
South Lake Tahoe,City of South Lake Tahoe,CSLT_Zone1,Zone 1,2022-09-01,Monthly,106020,38366,HotelMotel,0.361875118,0,0,
