APN,TAU_Type,Name,Units
1318-27-002-002,Casino,Harvey's Casino,740
1318-27-002-005,Casino,Harrah's Casino,512
1318-27-001-009,Casino,Golden Nugget Casino,539
1318-27-001-021,Casino,Bally's Casino,438
123-031-01,Casino,Cal Neva Casino,186
123-042-01,HotelMotel,Crystal Bay Motel,19
123-052-04,Casino,Tahoe Biltmore Hotel Casino,95
123-042-15,Casino,Crystal Bay Casino,10
127-280-02,Casino,Hyatt Resort,48
127-010-09,Casino,Hyatt Resort,416
029-480-004,Resort,Marriot Timber Lodge,449
027-090-025,Resort,Beach Retreat,261
027-690-004,Resort,Hilton Resort,364
029-441-018,Resort,Forest Suites Resort,110
029-602-013,Resort,The Landing Resort,82
027-020-017,Resort,Tahoe Lakeshore Lodge ,50
117-140-006,HotelMotel,Edgelake Beach Club,31
090-072-009,Resort,Ferrari's Crown Resort,71
117-072-003,HotelMotel,Tahoe Sands Resorts,26
117-071-012,HotelMotel,Tahoe Sands Resorts,14
117-071-005,HotelMotel,Tahoe Sands Resorts,13
117-072-004,HotelMotel,Tahoe Sands Resorts,8
029-053-013,Resort,Bluelake Inn,62
1318-27-001-016,Resort,Edgewood,154
1319-30-720-001,Resort,The Ridge Tahoe,604
029-190-032,Resort,Lake Tahoe Resort Hotel,400
029-490-004,Resort,Marriott-Grand Residence Tahoe,332
095-481-011,Resort,Granlibakken Resort,165
027-170-002,Resort,Hotel Azure,65
131-200-00,Resort,Club Tahoe Resort,93
032-130-008,Resort,Camp Richardson,71
127-510-01,Resort,Hyatt High Sierra,60
029-052-019,Resort,Big Pines Mountain House,57
029-052-018,Resort,Gondola Residence Lodge,34
117-072-013,Resort,Mourelatos Lakeshore Resort,32
1318-10-000-002,Resort,Zephyr Cove Resort,32
026-043-015,Resort,Beachcomber Inn,22
016-041-010,Resort,Meeks Bay Resort,22
117-240-022,Resort,Tonopalo Residence Club,19
029-052-003,Resort,Big Pines Mountain House,17
029-053-008,Resort,Bluelake Inn,6
127-030-38,HotelMotel,,16
1418-10-802-006,HotelMotel,,6
1318-26-101-006,HotelMotel,,64
1319-30-710-000,HotelMotel,,18
1319-30-639-000,HotelMotel,,23
1319-19-801-002,HotelMotel,,50
029-610-003,HotelMotel,,22
029-041-002,HotelMotel,,20
029-051-020,HotelMotel,,57
029-610-025,HotelMotel,,39
029-041-047,HotelMotel,,23
029-051-008,HotelMotel,,24
029-041-060,HotelMotel,,38
029-051-010,HotelMotel,,21
029-041-052,HotelMotel,,37
029-610-018,HotelMotel,,12
029-052-002,HotelMotel,,12
029-610-024,HotelMotel,,100
029-052-013,HotelMotel,,19
029-052-009,HotelMotel,,30
029-041-030,HotelMotel,,62
029-081-017,HotelMotel,,22
029-083-020,HotelMotel,,58
029-095-007,HotelMotel,,24
