APN,SRO_Units,Name_Address
029-052-013,4,Mellow Mountain Hostel 4081 Cedar Ave.
029-052-009,31,Stateline Lodge 913 Friday Ave.
029-041-047,23,The Shamrock 4122 Pine Blvd.
026-084-006,15,Tahoe Pines Motel 920 Alameda Ave.
029-352-010,20,Elizabeth Lodge 3918 Pioneer Trail
031-085-021,26,Sierra Pines 1040 Martin Ave.
031-254-031,14,Gerken’s Property 895 Rubicon Trail
023-211-022,20,El Nido Motel 2215 Lake Tahoe Blvd.
029-610-018,12,Tahoe Country Inn 4085 Pine Blvd.
023-211-041,18,Matterhorn Inn 2187 Lake Tahoe Blvd.
023-132-004,11,The Mountain Resort 580 & 590 Emerald Bay Rd.
029-051-016,5,947 Poplar Apts. 947 Poplar St.
029-065-003,19,Ski Haus 977 Park Ave.
029-064-004,5,Paradice Motel 953 Park Ave.
032-221-001,13,Emerald Bay Inn 1313 Emerald Bay Rd.
029-371-016,23,South Shore Inn 3900 Pioneer Tr.
029-064-006,13,Mark Twain 947 Park Ave.
029-041-057,18,4113 Manzanita – The Pine Frost
031-062-001,,2440 Lake Tahoe Blvd. – The Nickelodeon
029-162-002,,3901 Pioneer -The National 9
029-161-005,16,
098-200-024,,
029-041-009,,
023-161-005,3,
029-610-003,22,
026-114-026,,
031-062-002,,
029-351-020,4,
