APN,List
097-130-042,TAU
097-130-040,TAU
097-130-039,TAU
097-130-037,TAU
1319-19-713-003,VHR
1319-19-611-004,VHR
1319-19-611-012,VHR
029-605-007,VHR
026-074-016,VHR
030-521-020,VHR
025-372-012,VHR
022-421-041,VHR
022-032-013,VHR
025-765-002,VHR
023-664-007,VHR
031-153-012,VHR
031-185-013,VHR
032-277-025,VHR
027-700-001,VHR
1319-19-611-010,VHR
1319-19-611-001,VHR
027-136-004,VHR
025-205-003,VHR
023-663-021,VHR
023-763-005,VHR
1319-19-612-001,VHR
029-074-011,VHR
022-181-002,VHR
032-277-043,VHR
1319-19-611-003,VHR
023-743-021,VHR
032-274-007,VHR
032-281-032,VHR
027-354-016,VHR
026-141-018,VHR
025-481-026,VHR
031-342-011,VHR
023-221-066,VHR
028-311-056,VHR
026-136-011,VHR
030-541-033,VHR
022-182-024,VHR
023-763-009,VHR
029-630-001,VHR
025-701-030,VHR
