TAZ,TRPAID,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,Total_Res_Units,Total_TA_Units,Total_CommercialFloorArea_SqFt,Residential_Units_Proportion,TouristAccommodation_Units_Proportion,CommercialFloorArea_SqFt_Proportion,occupied_units,vacant_units,seasonal_units,total_units,occupancy_rate,seasonal_rate,household_size,high_income,low_income,middle_income,high_income_proportion,middle_income_proportion,low_income_proportion,VHR_Count,adjusted_occupancy,adjusted_high_income,adjusted_middle_income,adjusted_low_income,adjusted_seasonal_rate
9,0601703160132020,325,1401,34890,325,1401,34890,1.0,1.0,1.0,206.0,639.0,577.0,845.0,0.24378698224852072,0.6828402366863905,2.11,33.0,123.0,50.0,0.16019417475728157,0.24271844660194175,0.5970873786407767,2.0,0.24378698224852072,0.16019417475728157,0.24271844660194175,0.5970873786407767,0.6828402366863905
10,0601703160132020,2,1299,216955,2,1299,216955,1.0,1.0,1.0,206.0,639.0,577.0,845.0,0.24378698224852072,0.6828402366863905,2.11,33.0,123.0,50.0,0.16019417475728157,0.24271844660194175,0.5970873786407767,1.0,0.24378698224852072,0.16019417475728157,0.24271844660194175,0.5970873786407767,0.6828402366863905
10,0601703160212020,0,0,0,2,1299,216955,0.0,0.0,0.0,489.0,459.0,459.0,948.0,0.5158227848101266,0.48417721518987344,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,1.0,0.0,0.0,0.0,0.0,0.0
11,0601703160132020,285,678,28828,285,678,28828,1.0,1.0,1.0,206.0,639.0,577.0,845.0,0.24378698224852072,0.6828402366863905,2.11,33.0,123.0,50.0,0.16019417475728157,0.24271844660194175,0.5970873786407767,2.0,0.24378698224852072,0.16019417475728157,0.24271844660194175,0.5970873786407767,0.6828402366863905
12,0601703160112020,487,54,50087,1107,259,55597,0.4399277326106594,0.2084942084942085,0.9008939331258881,313.0,356.0,183.0,669.0,0.4678624813153961,0.273542600896861,2.17,130.0,159.0,24.0,0.41533546325878595,0.07667731629392971,0.5079872204472844,6.0,0.20582568057867923,0.18271758862423554,0.03373247789985887,0.22347766608656502,0.12033897618497859
12,0601703160122020,242,193,0,1107,259,55597,0.2186088527551942,0.7451737451737451,0.0,278.0,44.0,0.0,322.0,0.8633540372670807,0.0,2.41,50.0,180.0,48.0,0.17985611510791366,0.17266187050359713,0.6474820143884892,6.0,0.1887368356085217,0.039318138984747154,0.037745413425357276,0.14154530034508978,0.0
12,0601703160212020,112,0,0,1107,259,55597,0.1011743450767841,0.0,0.0,489.0,459.0,459.0,948.0,0.5158227848101266,0.48417721518987344,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,6.0,0.052188032428847494,0.02503496064272163,0.01841414460497707,0.057725239829085416,0.04898631264793661
12,0601703160222020,266,12,5510,1107,259,55597,0.24028906955736223,0.04633204633204633,0.09910606687411191,347.0,298.0,234.0,645.0,0.537984496124031,0.3627906976744186,2.61,164.0,126.0,57.0,0.47262247838616717,0.1642651296829971,0.3631123919308357,6.0,0.12927179400992975,0.11356601558330665,0.03947111517224682,0.08725193880180876,0.08717463918825236
13,0601703160122020,77,271,28512,452,398,225729,0.17035398230088494,0.6809045226130653,0.12631075315976237,278.0,44.0,0.0,322.0,0.8633540372670807,0.0,2.41,50.0,180.0,48.0,0.17985611510791366,0.17266187050359713,0.6474820143884892,1.0,0.14707579838399382,0.03063920544979945,0.029413637231807475,0.11030113961927801,0.0
13,0601703160212020,375,127,197217,452,398,225729,0.8296460176991151,0.31909547738693467,0.8736892468402376,489.0,459.0,459.0,948.0,0.5158227848101266,0.48417721518987344,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,1.0,0.4279503192561891,0.20529073239589554,0.15099896845648517,0.4733563168467344,0.40169569844292596
14,0601703160212020,14,0,0,305,0,1689,0.04590163934426229,0.0,0.0,489.0,459.0,459.0,948.0,0.5158227848101266,0.48417721518987344,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,8.0,0.02367711143390745,0.011358074357169198,0.008354286097421972,0.026189278889671125,0.022224527910354844
14,0601703160222020,291,0,1689,305,0,1689,0.9540983606557377,0.0,1.0,347.0,298.0,234.0,645.0,0.537984496124031,0.3627906976744186,2.61,164.0,126.0,57.0,0.47262247838616717,0.1642651296829971,0.3631123919308357,8.0,0.513290125810141,0.4509283318372939,0.15672509094344972,0.3464449378749941,0.3461380099123142
15,0601703160212020,281,160,0,281,160,0,1.0,1.0,0.0,489.0,459.0,459.0,948.0,0.5158227848101266,0.48417721518987344,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,6.0,0.5158227848101266,0.2474437627811861,0.18200408997955012,0.5705521472392638,0.48417721518987344
16,0601703160212020,3,0,0,3,0,0,1.0,0.0,0.0,489.0,459.0,459.0,948.0,0.5158227848101266,0.48417721518987344,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,0.0,0.5158227848101266,0.2474437627811861,0.18200408997955012,0.5705521472392638,0.48417721518987344
17,0601703050422020,0,0,0,0,0,57387,0.0,0.0,0.0,343.0,302.0,259.0,645.0,0.5317829457364341,0.4015503875968992,1.52,105.0,190.0,48.0,0.30612244897959184,0.13994169096209913,0.5539358600583091,0.0,0.0,0.0,0.0,0.0,0.0
17,0601703160212020,0,0,57387,0,0,57387,0.0,0.0,1.0,489.0,459.0,459.0,948.0,0.5158227848101266,0.48417721518987344,2.7,121.0,279.0,89.0,0.2474437627811861,0.18200408997955012,0.5705521472392638,0.0,0.0,0.0,0.0,0.0,0.0
18,0601703020122020,311,250,85389,311,250,85389,1.0,1.0,1.0,383.0,312.0,281.0,695.0,0.5510791366906475,0.40431654676258993,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.0,0.5510791366906475,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.40431654676258993
19,0601703020112020,84,99,167352,101,360,198532,0.8316831683168316,0.275,0.8429472326879294,316.0,270.0,254.0,586.0,0.5392491467576792,0.4334470989761092,2.06,79.0,141.0,96.0,0.25,0.3037974683544304,0.4462025316455696,0.0,0.4484844388875748,0.2079207920792079,0.2526632410076451,0.37109913522997867,0.3604906565741898
19,0601703020122020,17,261,31180,101,360,198532,0.16831683168316833,0.725,0.1570527673120706,383.0,312.0,281.0,695.0,0.5510791366906475,0.40431654676258993,2.75,108.0,119.0,156.0,0.2819843342036554,0.4073107049608355,0.31070496083550914,0.0,0.09275589429446542,0.04746270971744695,0.06855724736964558,0.0522968745960758,0.0680532801481587
