TAZ,hotelmotel,casino,resort,campground,percentHouseSeasonal
109,1281,0,258,0,0.6828402366863906
110,0,0,1291,0,0.5022374898713751
111,327,0,364,0,0.6828402366863906
112,259,0,0,0,0.2603232968291366
113,464,0,0,0,0.4006983849847229
114,0,0,0,0,0.36829041044210914
115,160,0,0,0,0.4841772151898735
116,0,0,0,0,0.48417721518987344
117,0,0,0,0,0.0
118,200,0,50,0,0.40431654676259
119,0,0,326,0,0.4297236449337797
120,0,0,0,241,0.4334470989761092
121,0,0,0,0,0.43254112486420554
122,0,0,0,0,0.0
123,0,0,0,0,0.3265397865441086
124,193,0,0,0,0.3486199412562973
125,29,0,0,0,0.41476274165202115
126,0,0,0,0,0.31277386993980877
127,0,0,0,0,0.4334470989761092
128,0,0,0,0,0.0
129,0,0,0,0,0.0
130,0,0,0,0,0.0
131,0,0,0,0,0.43344709897610917
132,0,0,0,0,0.0
133,0,0,0,0,0.40431654676259
134,0,0,0,0,0.3572602107274168
135,0,0,0,0,0.41476274165202115
136,0,0,0,0,0.0
137,0,0,22,0,0.2795865496105641
138,15,0,0,0,0.34550958754293654
139,26,0,0,0,0.43590009718949524
140,0,0,0,0,0.3431952662721894
141,14,0,0,0,0.3431952662721893
142,56,0,0,0,0.37610003438183864
143,38,0,0,0,0.1546946013211904
144,0,0,0,0,0.7060518731988472
145,0,0,0,0,0.6677161120576516
146,61,0,0,0,0.3880915701059586
147,0,0,0,0,0.3250776908688635
148,143,0,0,0,0.4461206896551724
149,38,0,0,0,0.2790215498370856
150,56,0,0,0,0.1344537815126051
151,0,0,0,0,0.41898395920397274
152,0,0,0,0,0.3807951804086742
153,0,0,0,0,0.7059414443267167
154,27,0,0,0,0.5037773255714114
155,0,0,0,0,0.0
156,0,0,0,0,0.1186440677966102
157,0,0,0,0,0.11864406779661019
158,0,0,0,0,0.08428213860157513
159,24,0,0,0,0.1728404092348766
160,102,0,0,0,0.2006079027355623
161,21,0,0,0,0.20060790273556228
162,0,0,0,0,0.2006079027355623
163,0,0,0,0,0.0
164,0,0,0,0,0.38109756097560976
165,0,0,0,0,0.40155038759689915
166,0,0,0,0,0.4015503875968992
167,0,0,0,0,0.478483606557377
168,0,0,0,0,0.47848360655737693
169,0,0,0,0,0.478483606557377
170,0,0,0,0,0.478483606557377
171,0,0,0,0,0.47848360655737704
172,0,0,0,0,0.0
173,0,0,0,0,0.0
174,0,0,0,0,0.0
175,0,0,0,0,0.5525854017926906
176,0,0,0,0,0.45114246750716647
177,0,0,0,0,0.3810975609756098
178,0,0,0,0,0.4448483090227678
179,0,0,0,0,0.4556229858483956
180,0,0,0,402,0.2006079027355623
181,0,0,0,0,0.0
182,0,0,0,0,0.21728395061728398
183,0,0,0,0,0.21728395061728398
184,0,0,0,0,0.6828644501278772
185,0,0,0,0,0.45565173358969935
186,0,0,0,0,0.3810975609756098
187,0,0,0,14,0.38109756097560976
188,0,0,0,0,0.38109756097560976
189,0,0,0,0,0.5715976331360947
190,0,0,0,0,0.5715976331360947
191,0,0,0,0,0.5715976331360947
192,0,0,0,0,0.5715976331360947
193,0,0,0,0,0.5715976331360947
194,0,0,0,0,0.27383863080684595
195,0,0,0,0,0.37246640608124704
196,0,0,0,0,0.25375939849624063
197,0,0,0,0,0.25375939849624063
198,0,0,0,0,0.0
199,0,0,0,0,0.4960286570950816
200,0,0,0,0,0.41902492590214363
201,0,0,0,0,0.0
202,0,0,0,0,0.4940898345153664
203,0,0,71,0,0.8693693693693694
204,0,0,0,554,0.0
205,0,0,0,0,0.0
206,0,0,0,321,0.0
207,0,0,0,0,0.9202799551610163
208,0,0,0,0,0.8855344379118423
209,0,0,0,0,0.8693693693693694
210,0,0,0,0,0.8693693693693694
211,0,0,0,0,0.889791621447614
212,0,0,0,0,0.0
213,0,0,0,40,0.0
214,0,0,0,0,0.9268069533394326
215,0,0,0,0,0.9268069533394326
216,0,0,0,151,0.0
217,0,0,0,0,0.9268069533394327
218,0,0,0,112,0.9268069533394326
219,0,0,0,0,0.0
220,0,0,0,0,0.9268069533394326
221,0,0,0,0,0.9268069533394326
222,0,0,0,0,0.9268069533394326
223,0,0,0,0,0.0
224,0,0,0,0,0.9268069533394325
225,0,0,22,59,0.9268069533394326
226,0,0,0,0,0.0
227,0,0,0,0,0.0
228,0,0,0,213,0.6931637519872814
229,0,0,0,0,0.6931637519872814
230,0,0,0,0,0.6931637519872814
231,19,0,0,0,0.6931637519872814
232,0,0,0,0,0.8693693693693694
233,39,0,0,0,0.8570119156736938
234,0,0,0,0,0.8570119156736938
235,0,0,0,0,0.8570119156736938
236,0,0,0,0,0.8570119156736938
237,0,0,0,0,0.8570119156736938
238,0,0,0,0,0.0
239,38,0,0,0,0.8404349170217911
240,0,0,0,0,0.8570119156736938
241,9,0,0,0,0.7345971563981043
242,0,0,0,0,0.7356209590368573
243,0,0,0,11,0.831858407079646
244,0,0,0,0,0.831858407079646
245,0,0,0,0,0.0
246,0,0,0,0,0.0
247,0,0,0,0,0.831858407079646
248,0,0,0,0,0.696
249,45,0,0,0,0.6966438787065385
250,0,0,0,92,0.0
251,0,0,0,0,0.6823763414434341
252,0,0,165,0,0.6279999999999999
253,0,0,0,0,0.6585539693950907
254,0,0,0,0,0.7490842490842491
255,46,0,0,0,0.7122325211020863
256,0,0,0,0,0.7490842490842491
257,110,0,0,0,0.6885421245421244
258,0,0,0,0,0.6279999999999999
259,0,0,0,24,0.0
260,0,0,0,0,0.6362147463569513
261,0,0,0,0,0.6279999999999999
262,0,0,0,0,0.6582710622710622
264,0,0,0,0,0.6590509666080844
265,0,0,0,17,0.0
266,0,0,0,0,0.694280149868263
267,0,0,0,0,0.7686868686868688
268,0,0,0,0,0.7546250279717711
269,0,0,0,0,0.7445423610214674
270,0,0,0,0,0.7490272373540856
271,0,0,0,0,0.7490272373540856
272,0,0,0,0,0.0
273,21,0,0,0,0.7490272373540856
274,0,0,0,0,0.641390205371248
275,0,0,0,0,0.7567989703506574
276,8,0,0,0,0.6948467052789976
277,0,0,0,0,0.7656765676567657
278,0,0,0,0,0.7656765676567657
279,0,0,0,0,0.7373997762373092
280,0,0,0,0,0.700399467376831
281,297,0,51,0,0.6867664622906234
282,55,0,0,0,0.6663778162911612
