taz,hotelmotel,resort,casino,campground,percentHouseSeasonal,rec_attractiveness
109,1281,258,0,0,0.8859762401889197,924
110,0,1291,0,0,0.9192469689360391,0
111,327,364,0,0,0.8859762401889197,0
112,259,0,0,0,0.5163223987230299,0
113,464,0,0,0,0.8511804710064044,0
114,0,0,0,0,0.7562026940273531,0
115,160,0,0,0,0.9816295853368878,0
116,0,0,0,0,0.9816295853368878,0
117,0,0,0,0,0.9437368970052996,0
118,200,50,0,0,0.89182480887626,1633
119,0,326,0,0,0.9253951743682158,414
120,0,0,0,178,0.93484500409572,2809
121,0,0,0,0,0.9349595868767586,0
122,0,0,0,0,0.8918248088762599,994
123,0,0,0,0,0.8291123094623757,0
124,193,0,0,0,0.8549573545171765,0
125,29,0,0,0,0.7447153095879814,0
126,0,0,0,0,0.8124640801375496,0
127,0,0,0,0,0.9368160203603244,0
128,0,0,0,0,0.9368160203603245,0
129,0,0,0,0,0.9368160203603244,0
130,0,0,0,0,0.8918248088762599,378
131,0,0,0,0,0.9368160203603244,0
132,0,0,0,0,0.9368160203603244,0
133,0,0,0,0,0.8918248088762599,0
134,0,0,0,0,0.821548122375967,0
135,0,0,0,0,0.7447153095879814,0
136,0,0,0,0,0.7920981647377626,0
137,0,22,0,0,0.7738367104537354,2652
138,15,0,0,0,0.7743875418338735,0
139,26,0,0,0,0.8343097843472801,0
140,0,0,0,0,0.971843790845721,0
141,14,0,0,0,0.9717655707030206,0
142,56,0,0,0,0.9260208948336585,0
143,38,0,0,0,0.5700330217180336,0
144,0,0,0,0,0.9656171184067754,444
145,0,0,0,0,0.8984234977323957,0
146,61,0,0,0,0.955796171934194,0
147,0,0,0,0,0.8325118202916503,0
148,143,0,0,0,0.9872155177164267,0
149,38,0,0,0,0.7625888725776991,0
150,56,0,0,0,0.6306975872583618,0
151,0,0,0,0,0.9352041272898718,0
152,0,0,0,0,0.9587437642257673,0
153,0,0,0,0,0.9653587838554012,0
154,27,0,0,0,0.9825194093214423,0
155,0,0,0,0,0.8519080406115066,0
156,0,0,0,0,0.9601485984464704,0
157,0,0,0,0,0.9472114629504798,0
158,0,0,0,0,0.5829851585206043,0
159,24,0,0,0,0.6724949172491658,0
160,102,0,0,0,0.1337091848719755,0
161,21,0,0,0,0.1337091848719755,0
162,0,0,0,0,0.1337091848719755,0
163,0,0,0,0,0.5743303792486986,0
164,0,0,0,0,0.7650725500740336,72
165,0,0,0,0,0.5269173253578295,0
166,0,0,0,0,0.5269173253578295,0
167,0,0,0,0,0.7231373053661049,0
168,0,0,0,0,0.7231373053661048,0
169,0,0,0,0,0.7258082893035327,0
170,0,0,0,0,0.7223093125232855,0
171,0,0,0,0,0.7231373053661049,0
172,0,0,0,0,0.8272,0
173,0,0,0,0,0.8272,0
174,0,0,0,0,0.8272,163
175,0,0,0,0,0.7874008174358057,0
176,0,0,0,0,0.6635329307389323,5783
177,0,0,0,0,0.822848077179099,0
178,0,0,0,0,0.6599539812500227,0
179,0,0,0,0,0.6842449654956422,0
180,0,0,0,400,0.36381172765192155,0
181,0,0,0,0,0.1337091848719755,0
182,0,0,0,0,0.7666666666666667,0
183,0,0,0,0,0.7666666666666666,2006
184,0,0,0,0,0.8768148339882815,0
185,0,0,0,0,0.8411541720592043,0
186,0,0,0,0,0.8272,0
187,0,0,0,15,0.8272,1163
188,0,0,0,0,0.8272,0
189,0,0,0,0,0.9121792189393132,755
190,0,0,0,0,0.9121792189393133,0
191,0,0,0,0,0.9121792189393132,0
192,0,0,0,0,0.9121792189393132,4253
193,0,0,0,0,0.9121792189393132,0
194,0,0,0,0,0.686242578456319,0
195,0,0,0,0,0.7811450108322981,0
196,0,0,0,0,0.785302349801471,138
197,0,0,0,0,0.7853023498014711,0
198,0,0,0,0,0.7853023498014711,4852
199,0,0,0,0,0.8638391067653516,696
200,0,0,0,0,0.8003854927519365,1370
201,0,0,0,0,0.8519080406115066,1346
202,0,0,0,0,0.8519080406115066,0
203,0,71,0,0,0.9789426257691989,4491
204,0,0,0,330,0.9789426257691989,3496
205,0,0,0,0,0.9327482311664017,0
206,0,0,0,196,0.978942625769199,0
