taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,172,0.243786982,42,35,0,7,2.142722665,90,13,445,54,0,102
110,22,0.338408131,11,8,1,2,2.351122644,29,117,817,23,0,156
111,216,0.243786982,53,44,0,8,2.142722665,113,73,251,4,0,127
112,1137,0.568789919,652,374,140,138,2.419677306,1589,0,136,7,0,185
113,435,0.56200634,250,152,45,53,2.702736733,668,79,86,3,0,81
114,309,0.536576765,166,86,5,76,2.656282388,440,0,24,0,0,41
115,284,0.515822785,146,87,26,34,2.741872604,402,0,0,0,0,123
116,4,0.515822785,2,1,0,0,2.741872604,6,0,0,0,0,0
117,0,0.517152798,0,0,0,0,2.642014281,0,7,124,441,0,0
118,314,0.551079137,173,65,66,42,2.792648023,483,51,350,154,0,92
119,133,0.542252144,72,37,21,13,2.269817443,157,30,176,56,0,72
120,24,0.538732624,13,7,4,2,2.10210233,27,0,121,16,0,233
121,418,0.539737277,226,127,62,37,2.120859657,477,0,8,0,0,33
122,0,0.551079137,0,0,0,0,2.792648023,0,0,0,0,0,0
123,587,0.600165086,357,207,76,74,2.629875349,929,0,2,0,0,60
124,368,0.603826978,222,132,70,19,3.462571084,764,12,85,6,0,83
125,285,0.448154657,128,60,26,43,2.873888692,367,0,4,0,0,23
126,296,0.631282469,185,105,11,69,2.433418446,449,0,0,0,0,83
127,10,0.539249147,5,3,1,1,2.091947246,11,0,0,0,0,208
128,0,0.539249147,0,0,0,0,2.091947246,0,64,0,0,0,107
129,0,0.539249147,0,0,0,0,2.091947246,0,0,0,0,0,0
130,0,0.551079137,0,0,0,0,2.792648023,0,0,0,0,0,8
131,41,0.539249147,22,13,6,4,2.091947246,46,0,0,0,0,378
132,0,0.539249147,0,0,0,0,2.091947246,0,0,0,0,0,0
133,118,0.551079137,65,24,25,16,2.792648023,182,0,0,0,0,13
134,382,0.566261583,216,90,28,98,2.562080489,547,0,0,0,0,27
135,135,0.448154657,61,28,12,20,2.873888692,174,0,0,0,0,9
136,0,0.461688283,0,0,0,0,2.847485475,0,0,0,0,0,0
137,396,0.622597019,254,112,48,94,2.06719423,504,0,14,0,0,64
138,703,0.554753791,393,177,67,149,2.092787667,802,7,141,12,0,156
139,561,0.488542471,275,140,51,84,1.987530865,538,3,22,0,0,185
140,154,0.652723105,101,56,42,3,2.249178924,228,15,42,6,0,39
141,367,0.656804734,241,135,101,6,2.254428586,543,25,58,0,0,108
142,969,0.60015654,590,319,144,128,2.855806159,1631,26,61,1,0,237
143,559,0.736579981,419,256,58,105,2.151101044,892,13,91,4,0,164
144,275,0.279008152,76,20,9,47,2.413793018,185,1,1,43,0,95
145,730,0.270782656,198,58,40,100,2.309308684,457,0,0,0,0,81
146,259,0.606917312,158,49,26,83,2.237376507,353,0,12,9,0,49
147,631,0.637854001,401,197,96,108,2.470682403,978,0,3,0,0,199
148,527,0.55387931,292,128,99,65,1.472487139,430,29,25,0,0,86
149,288,0.662800792,191,110,50,32,2.531808939,473,5,76,0,0,219
150,46,0.795949144,37,23,7,7,2.285827638,84,142,30,4,0,340
151,129,0.556223329,72,30,19,23,2.559816973,182,1,0,0,0,22
152,170,0.619627134,105,32,17,55,2.235946333,235,0,0,0,0,38
153,361,0.278077622,100,26,12,62,2.416610445,243,1,0,0,0,115
154,672,0.497825484,333,206,45,83,1.838501672,617,0,10,0,0,101
155,0,0.505910165,0,0,0,0,2.193498083,0,0,0,0,0,0
156,370,0.881355932,326,205,85,37,2.264583669,738,9,27,0,0,75
157,29,0.880083663,26,16,6,3,2.26725606,58,81,0,0,0,61
158,510,0.79758892,425,233,88,104,2.338845727,1004,188,95,0,0,345
159,584,0.769886258,450,168,152,131,2.317503124,1045,0,32,0,0,106
160,568,0.738601824,420,259,145,16,1.766984567,741,0,32,2,0,119
161,19,0.738601824,14,9,5,1,1.766984567,25,171,178,0,0,101
162,298,0.738601824,220,136,76,8,1.766984567,389,0,2,0,0,970
163,0,0.545538655,0,0,0,0,1.655813124,0,0,0,0,0,0
164,1,0.600877716,1,0,0,0,2.107354959,1,0,0,0,0,0
165,375,0.531782946,199,110,28,61,1.543572725,308,0,0,0,0,131
166,244,0.531782946,130,72,18,40,1.543572725,200,0,0,0,0,55
167,239,0.493852459,118,45,29,45,3.036370032,358,2,0,0,0,70
168,143,0.493852459,71,27,17,27,3.036370032,214,0,0,0,0,36
169,62,0.494419918,31,12,7,11,3.024564747,93,0,0,1,0,14
170,194,0.494269448,96,36,23,36,3.028290117,291,0,0,0,0,61
171,67,0.493852459,33,13,8,12,3.036370032,100,0,0,0,0,19
172,0,0.618902439,0,0,0,0,2.254428586,0,0,0,0,0,0
173,0,0.618902439,0,0,0,0,2.254428586,0,0,0,0,0,0
174,0,0.618902439,0,0,0,0,2.254428586,0,0,0,0,0,0
175,950,0.426296339,402,71,70,261,2.652902045,1034,7,0,6,0,179
176,295,0.509799825,151,40,38,73,2.407649493,363,0,0,0,0,57
