TAZ,work_from_home
109,31
110,2
111,39
112,162
113,41
114,23
115,22
116,0
117,0
118,22
119,10
120,2
121,30
122,0
123,41
124,26
125,20
126,21
127,1
128,0
129,0
130,0
131,3
132,0
133,8
134,27
135,9
136,0
137,58
138,104
139,83
140,23
141,54
142,175
143,101
144,29
145,77
146,40
147,100
148,56
149,46
150,7
151,20
152,27
153,38
154,71
155,0
156,38
157,3
158,52
159,60
160,58
161,2
162,31
163,0
164,0
165,72
166,47
167,46
168,27
169,12
170,37
171,13
172,0
173,0
174,0
175,151
176,50
177,9
178,80
179,65
180,0
181,0
182,1
183,3
184,0
185,14
186,13
187,4
188,11
189,3
190,4
191,56
192,99
193,1
194,5
195,175
196,5
197,118
198,0
199,1
200,113
201,0
202,23
203,0
204,0
205,0
206,0
207,1
208,2
209,0
210,0
211,1
212,0
213,0
214,2
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,4
223,0
224,4
225,1
226,0
227,0
228,0
229,7
230,54
231,5
232,3
233,3
234,25
235,2
236,8
237,5
238,0
239,4
240,0
241,15
242,4
243,13
244,22
245,0
246,0
247,11
248,40
249,71
250,0
251,16
252,4
253,11
254,14
255,2
256,0
257,1
258,0
259,0
260,13
261,0
262,1
264,4
265,0
266,44
267,43
268,14
269,2
270,3
271,13
272,0
273,7
274,229
275,7
276,22
277,11
278,132
279,44
280,9
281,43
282,20
283,15
284,9
285,0
286,18
287,0
288,33
289,0
290,0
291,0
292,0
300,0
301,0
302,0
303,1
304,0
305,0
306,35
307,0
308,6
309,31
310,114
311,66
312,43
313,103
314,1
315,14
316,49
317,34
318,0
319,29
320,12
321,55
322,7
323,38
324,16
325,23
326,0
327,0
328,0
329,29
330,8
331,12
332,2
333,1
334,0
335,2
336,0
337,4
338,0
340,20
341,0
342,5
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
358,2
359,1
360,36
361,104
362,43
363,0
364,91
365,7
366,0
367,144
368,1
369,99
370,92
371,10
372,34
373,85
374,114
375,26
376,223
377,54
378,99
379,48
380,1
381,41
382,50
383,66
384,0
385,0
386,42
387,119
388,3
389,24
390,0
391,153
392,0
393,24
394,60
395,9
396,20
397,5
