taz,hotelmotel,resort,casino,campground,percentHouseSeasonal,rec_attractiveness
109,1281,258,0,0,0.5264299802761342,924
110,0,1291,0,0,0.3646743829615344,0
111,327,364,0,0,0.5264299802761342,0
112,259,0,0,0,0.1543367545453902,0
113,464,0,0,0,0.2834552341196782,0
114,0,0,0,0,0.16860242962182484,0
115,160,0,0,0,0.3484988232300744,0
116,0,0,0,0,0.3484988232300744,0
117,0,0,0,0,0.0,0
118,200,50,0,0,0.3144882772777815,1633
119,0,326,0,0,0.3406821650627084,414
120,0,0,0,241,0.3445209244794649,2809
121,0,0,0,0,0.34358689478180493,0
122,0,0,0,0,0.0,994
123,0,0,0,0,0.20992414836076054,0
124,193,0,0,0,0.27158889766316663,0
125,29,0,0,0,0.2883476473123985,0
126,0,0,0,0,0.22388926137718548,0
127,0,0,0,0,0.3445209244794649,0
128,0,0,0,0,0.0,0
129,0,0,0,0,0.0,0
130,0,0,0,0,0.0,378
131,0,0,0,0,0.3445209244794649,0
132,0,0,0,0,0.0,0
133,0,0,0,0,0.3144882772777815,0
134,0,0,0,0,0.26748441992913663,0
135,0,0,0,0,0.2883476473123985,0
136,0,0,0,0,0.0,0
137,0,22,0,0,0.15531754376261092,2652
138,15,0,0,0,0.22705467341952343,0
139,26,0,0,0,0.3440718101031296,0
140,0,0,0,0,0.2625810628172949,0
141,14,0,0,0,0.2625810628172949,0
142,56,0,0,0,0.3190977695877742,0
143,38,0,0,0,0.09958874176252894,0
144,0,0,0,0,0.48349548222140365,444
145,0,0,0,0,0.4744038182778026,0
146,61,0,0,0,0.30614645733792273,0
147,0,0,0,0,0.2621112369229829,0
148,143,0,0,0,0.3721168945887587,0
149,38,0,0,0,0.22594173241514362,0
150,56,0,0,0,0.10553811886200265,0
151,0,0,0,0,0.33894149203068996,0
152,0,0,0,0,0.3015694827856838,0
153,0,0,0,0,0.48346929304020075,0
154,27,0,0,0,0.4103580530366603,0
155,0,0,0,0,0.0,0
156,0,0,0,0,0.08099700897308078,0
157,0,0,0,0,0.08099700897308076,0
158,0,0,0,0,0.07543599482270091,0
159,24,0,0,0,0.13170535727854288,0
160,102,0,0,0,0.1419171578145691,0
161,21,0,0,0,0.1419171578145691,0
162,0,0,0,0,0.1419171578145691,0
163,0,0,0,0,0.0,0
164,0,0,0,0,0.24167448405253283,72
165,0,0,0,0,0.13991314843157018,0
166,0,0,0,0,0.13991314843157018,0
167,0,0,0,0,0.28841096733219546,0
168,0,0,0,0,0.28841096733219546,0
169,0,0,0,0,0.28841096733219546,0
170,0,0,0,0,0.28841096733219546,0
171,0,0,0,0,0.28841096733219546,0
172,0,0,0,0,0.0,0
173,0,0,0,0,0.0,0
174,0,0,0,0,0.0,163
175,0,0,0,0,0.36013958791816497,0
176,0,0,0,0,0.21366304226583016,5783
177,0,0,0,0,0.24167448405253283,0
178,0,0,0,0,0.21329377544871875,0
179,0,0,0,0,0.2372016562309754,0
180,0,0,0,402,0.1419171578145691,0
181,0,0,0,0,0.0,0
182,0,0,0,0,0.15994450107599964,0
183,0,0,0,0,0.15994450107599964,2006
184,0,0,0,0,0.5165531494882183,0
185,0,0,0,0,0.30958568374840806,0
186,0,0,0,0,0.24167448405253283,0
187,0,0,0,14,0.24167448405253286,1163
188,0,0,0,0,0.24167448405253283,0
189,0,0,0,0,0.459608173320548,755
190,0,0,0,0,0.459608173320548,0
191,0,0,0,0,0.45960817332054793,0
192,0,0,0,0,0.45960817332054793,4253
193,0,0,0,0,0.45960817332054793,0
194,0,0,0,0,0.15148213533856802,0
195,0,0,0,0,0.2511468851330024,0
196,0,0,0,0,0.1574371568149797,138
197,0,0,0,0,0.1574371568149797,0
198,0,0,0,0,0.0,4852
199,0,0,0,0,0.3582806678189422,696
200,0,0,0,0,0.28206678104904365,1370
201,0,0,0,0,0.0,1346
202,0,0,0,0,0.33859385596308766,0
203,0,71,0,0,0.8209822725951759,4491
204,0,0,0,554,0.0,3496
205,0,0,0,0,0.0,0
206,0,0,0,321,0.0,0
207,0,0,0,0,0.8212455603128755,0
208,0,0,0,0,0.8210658713976021,239
209,0,0,0,0,0.8209822725951759,0
210,0,0,0,0,0.8209822725951759,135
211,0,0,0,0,0.8210878877252389,185
212,0,0,0,0,0.0,2428
213,0,0,0,40,0.0,2262
214,0,0,0,0,0.821279315148478,0
215,0,0,0,0,0.821279315148478,2285
216,0,0,0,151,0.0,2971
217,0,0,0,0,0.8212793151484781,0
218,0,0,0,112,0.821279315148478,3084
219,0,0,0,0,0.0,0
220,0,0,0,0,0.821279315148478,0
221,0,0,0,0,0.821279315148478,0
222,0,0,0,0,0.821279315148478,2690
223,0,0,0,0,0.0,0
224,0,0,0,0,0.821279315148478,0
225,0,22,0,59,0.821279315148478,3200
226,0,0,0,0,0.0,17
227,0,0,0,0,0.0,0
228,0,0,0,213,0.5318205906441201,3462
229,0,0,0,0,0.5318205906441201,0
230,0,0,0,0,0.5318205906441201,0
231,19,0,0,0,0.5318205906441201,0
232,0,0,0,0,0.8209822725951759,3716
233,39,0,0,0,0.7146898182954167,0
234,0,0,0,0,0.7146898182954167,0
235,0,0,0,0,0.7146898182954167,5162
236,0,0,0,0,0.7146898182954167,0
237,0,0,0,0,0.7146898182954167,0
238,0,0,0,0,0.0,0
239,38,0,0,0,0.698822869581092,5614
240,0,0,0,0,0.7146898182954167,0
241,9,0,0,0,0.5975185047127112,0
