taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,172,0.24378698224852072,42,35,0,7,2.1565560929127483,90,13,445,54,0,71
110,22,0.338408130965601,11,8,1,2,2.3663015031445265,30,117,817,23,0,154
111,216,0.24378698224852072,53,44,0,8,2.1565560929127483,114,73,251,4,0,88
112,1137,0.5687899194032192,652,374,140,138,2.4352987545031533,1599,0,136,7,0,23
113,435,0.5620063399539078,250,152,45,53,2.7201856151413186,672,79,86,3,0,40
114,309,0.5365767649153438,166,86,5,76,2.6734313608789084,443,0,24,0,0,18
115,284,0.5158227848101266,146,87,26,34,2.7595741473291096,404,0,0,0,0,101
116,4,0.5158227848101266,2,1,0,0,2.7595741473291096,6,0,0,0,0,0
117,0,0.5171527982206522,0,0,0,0,2.659071138259716,0,7,124,441,0,0
118,314,0.5510791366906475,173,65,66,42,2.8106773722796485,486,51,350,154,0,70
119,133,0.5422521442022019,72,37,21,13,2.2844713959812517,158,30,176,56,0,62
120,24,0.538732623758036,13,7,4,2,2.115673512952317,27,0,121,16,0,231
121,418,0.5397372774102531,226,127,62,37,2.134551937315113,480,0,8,0,0,3
122,0,0.5510791366906475,0,0,0,0,2.8106773722796485,0,0,0,0,0,0
123,587,0.6001650862572881,357,207,76,74,2.646853837212798,935,0,2,0,0,19
124,368,0.6038269777737738,222,132,70,19,3.484925460242453,769,12,85,6,0,57
125,285,0.44815465729349735,128,60,26,43,2.8924425322005107,369,0,4,0,0,3
126,296,0.6312824693016833,185,105,11,69,2.449128607450091,452,0,0,0,0,62
127,10,0.5392491467576792,5,3,1,1,2.1054528679622093,11,0,0,0,0,207
128,0,0.5392491467576792,0,0,0,0,2.1054528679622093,0,64,0,0,0,107
129,0,0.5392491467576792,0,0,0,0,2.1054528679622093,0,0,0,0,0,0
130,0,0.5510791366906475,0,0,0,0,2.8106773722796485,0,0,0,0,0,8
131,41,0.5392491467576792,22,13,6,4,2.1054528679622093,47,0,0,0,0,375
132,0,0.5392491467576792,0,0,0,0,2.1054528679622093,0,0,0,0,0,0
133,118,0.5510791366906475,65,24,25,16,2.8106773722796485,183,0,0,0,0,5
134,382,0.5662615828499876,216,90,28,98,2.57862129341142,551,0,0,0,0,0
135,135,0.44815465729349735,61,28,12,20,2.892442532200511,175,0,0,0,0,0
136,0,0.4616882827968232,0,0,0,0,2.8658688552262306,0,0,0,0,0,0
137,396,0.6225970186298876,254,112,48,94,2.0805400457988217,507,0,14,0,0,6
138,703,0.5547537910331757,393,177,67,149,2.1062987144441494,807,7,141,12,0,52
139,561,0.48854247064065753,275,140,51,84,2.0003623746728336,542,3,22,0,0,102
140,154,0.6527231051311847,101,56,42,3,2.263699634037862,230,15,42,6,0,16
141,367,0.6568047337278107,241,135,101,6,2.2689831878039346,547,25,58,0,0,54
142,969,0.6001565402383284,590,319,144,128,2.8742432580626156,1642,26,61,1,0,62
143,559,0.736579981107597,419,256,58,105,2.164988563307674,898,13,91,4,0,63
144,275,0.27900815210707197,76,20,9,47,2.42937647799523,186,1,1,43,0,66
145,730,0.27078265591026235,198,58,40,100,2.324217592094307,460,0,0,0,0,4
146,259,0.6069173123040029,158,49,26,83,2.251821021424712,355,0,12,9,0,9
