TAZ,Residential_Units,OccupiedUnits,SeasonalUnits,People,People_raw,LowUnits,MediumUnits,HighUnits
109,172,42,128.4088599975924,90,88.47517159763314,35,0,7
110,22,11,18.779558439845793,30,28.883211444835595,7,2,2
111,216,53,161.2576381365114,114,111.10835502958581,44,0,8
112,1137,652,476.20604933077794,1599,1564.5055671822795,383,130,139
113,435,250,308.9992293737056,672,657.4309890714679,155,46,49
114,309,166,183.94070922854556,443,433.71926405652044,85,4,77
115,284,146,245.4673366834171,404,395.5329113924051,87,26,34
116,4,2,3.4572864321608043,6,5.5708860759493675,1,0,0
117,0,0,0.0,0,0.0,0,0,0
118,314,173,254.5952054330522,486,475.8568345323741,65,66,42
119,133,72,112.59430653897087,158,154.62192574950282,39,20,12
120,24,13,20.443549589858314,27,26.660477815699664,7,3,2
121,418,226,355.5254651588899,480,469.59664227662245,127,61,37
122,0,0,0.0,0,0.0,0,0,0
123,587,357,415.4399354046897,935,915.1393329856638,234,63,60
124,368,222,294.32559003515377,769,752.7031771791868,131,71,20
125,285,128,178.1755197692585,369,361.4591388400703,60,26,43
126,296,185,220.86872729403493,452,442.57932721979626,94,12,79
127,10,5,8.518145662440965,11,11.108532423208192,3,1,1
128,0,0,0.0,0,0.0,0,0,0
129,0,0,0.0,0,0.0,0,0,0
130,0,0,0.0,0,0.0,0,0,0
131,41,22,34.924397216007954,47,45.54498293515359,13,6,4
132,0,0,0.0,0,0.0,0,0,0
133,118,65,95.67590522643363,183,178.8251798561151,24,25,16
134,382,216,282.52412216904077,551,539.0099464993589,89,26,101
135,135,61,84.39893041701718,175,171.21748681898066,28,12,20
136,0,0,0.0,0,0.0,0,0,0
137,396,254,271.1848927629922,507,496.38017063682287,116,53,85
138,703,393,479.28385435703944,807,789.7972013910137,181,73,139
139,561,275,430.06731434505053,542,530.226649748254,143,52,80
140,154,101,141.58541266794626,230,224.54840236686394,56,42,2
141,367,241,337.41458733205377,547,535.1250887573965,135,101,6
142,969,590,862.5333239330702,1642,1606.3220971012609,333,144,114
143,559,419,302.1659905709337,898,878.4666885865272,270,56,94
144,275,76,207.75906832950642,186,182.01512968299713,20,9,48
145,730,198,527.3441781585515,460,449.59075172599677,58,40,100
146,259,158,236.9083656944594,355,347.4619701162148,49,26,83
147,631,401,497.8250916996681,984,962.8748436674382,203,92,106
148,527,292,488.0,433,423.246875,128,99,65
149,288,191,207.9374859334649,476,465.3734872206143,112,46,33
150,46,37,28.916454860538042,84,82.33613445378151,23,7,7
151,129,72,112.62410156657928,183,179.45965528247686,29,19,24
152,170,105,156.48771922844293,237,231.61297716692533,32,17,55
153,361,100,272.69657675893933,244,238.88839475048204,26,12,62
154,672,333,609.2222488566472,621,607.334004183195,206,46,82
155,0,0,0.0,0,0.0,0,0,0
156,370,326,356.0705882352943,743,727.206779661017,205,85,37
157,29,26,27.90823529411766,58,56.997288135593216,16,7,3
158,510,425,251.50275238705993,1011,989.0649212513484,328,18,79
159,584,450,399.83427251464394,1052,1029.4259374325782,179,143,128
160,568,420,402.57063362906183,746,729.9749544072948,259,145,16
161,19,14,13.466271195338336,25,24.418176291793312,9,5,1
162,298,220,211.20783243214865,391,382.9798176291793,136,76,8
163,0,0,0.0,0,0.0,0,0,0
164,1,1,0.8605769230769229,1,1.3739634146341464,0,0,1
165,375,199,223.49199557790226,310,303.1162790697675,110,28,61
166,244,130,145.41879178935508,202,197.2276589147287,72,18,40
167,239,118,180.5098861887444,361,352.91190573770496,45,29,45
168,143,71,108.00382311711483,216,211.15649590163935,27,17,27
169,62,31,46.82683240042741,94,91.55036885245902,12,7,12
170,194,96,146.52266912391804,293,286.4640573770492,36,23,36
171,67,33,50.603189852074784,101,98.9334631147541,13,8,12
172,0,0,0.0,0,0.0,0,0,0
173,0,0,0.0,0,0.0,0,0,0
174,0,0,0.0,0,0.0,0,0,0
175,950,402,724.7450402689522,1041,1018.1224785191438,83,83,236
176,295,151,202.05578077492788,366,357.6619302019011,39,37,75
177,56,35,48.19230769230768,79,76.94195121951219,9,12,14
178,418,219,294.76077650441977,535,523.587410055325,46,44,129
179,338,174,243.87246553753556,458,447.98506820980526,45,37,92
180,1,1,0.708751115544123,1,1.2851671732522796,0,0,1
181,0,0,0.0,0,0.0,0,0,0
182,10,7,7.807557885539538,17,16.740740740740737,1,4,3
183,33,24,25.764941022280475,56,55.24444444444443,5,12,8
184,1,0,0.8117106773823191,0,0.8872634271099743,0,0,0
185,85,46,72.12284730195177,109,106.56619050589482,11,14,21
186,84,52,72.28846153846152,118,115.4129268292683,14,18,20
187,22,14,18.932692307692303,31,30.22719512195122,4,5,5
188,66,41,56.79807692307691,93,90.68158536585366,11,14,16
189,13,6,11.544137022397893,16,16.039384615384616,2,1,3
190,18,8,15.984189723320158,23,22.208378698224852,3,1,4
191,260,111,230.88274044795784,328,320.78769230769234,40,19,53
192,462,198,410.2608695652174,583,570.0150532544379,71,33,94
193,6,3,5.32806324110672,8,7.4027928994082846,1,0,1
