ScoreSheetUrl,APN,Status,ParcelNickname,IPESScore,IPESType,BaseAllowableCoveragePercent,IPESTotalAllowableCoverageSqFt,ParcelHasDOAC,HistoricOrImportedIpesScore,CalculationDate,FieldEvaluationDate,RelativeErosionHazardScore,RunoffPotentialScore,AccessScore,UtilityInSEZScore,ConditionOfWatershedScore,AbilityToRevegetateScore,WaterQualityImprovementsScore,ProximityToLakeScore,LimitedIncentivePoints,TotalParcelArea,IPESBuildingSiteArea,SEZLandArea,SEZSetbackArea,InternalNotes,PublicNotes
https://parcels.laketahoeinfo.org/IpesScore/Detail/1,001-010-05,Inactive,,815,Official,0%,,Unknown,Yes,,,345,44,158,110,58,50,40,10,0,,2831400,20000,4000,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/2,001-010-07,Inactive,,673,Information Only,15%,,Unknown,Yes,2/26/1993 0:00,,286,98,50,110,58,21,40,10,0,,653400,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/3,001-010-07,Inactive,,718,Information Only,16%,,Unknown,Yes,3/20/2002 0:00,,292,98,85,110,58,25,40,10,0,,653400,0,0,"Original M score, moved from appendix",
https://parcels.laketahoeinfo.org/IpesScore/Detail/4,001-020-03,Inactive,,699,Official,17%,,Unknown,Yes,3/22/2002 0:00,,227,167,104,110,44,17,20,10,0,,1715800,0,0,Used to be a n score;removed from appendx; earlier evaluation chosen as official,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5,001-020-03,Inactive,,650,Information Only,4%,,Unknown,Yes,12/31/1990 0:00,,274,44,127,110,44,21,20,10,0,,1715800,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/6,001-020-16,Inactive,,725,Official,25%,8475,Unknown,Yes,7/26/1999 0:00,,271,200,53,110,44,17,20,10,0,,33900,0,0,"Used to be an x score; made official. DOAC = Similar and contiguous yielding 25% x 33,900 sq ft = 8.475 sq ft total allowable base coverage. T. Hagan, 5-7-2002.",
https://parcels.laketahoeinfo.org/IpesScore/Detail/7,001-030-08,Inactive,,851,Information Only,27%,,Unknown,Yes,,,333,167,146,110,44,21,20,10,0,,87100,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/8,001-030-19,Inactive,,791,Official,22%,,Unknown,Yes,5/22/2003 0:00,5/16/2003 17:26,335,81,170,110,44,21,20,10,0,,14520,0,0,"Parcel needs DOAC for remaining 101,705 sq. ft. of parcel. No SEZ influencing evaluated ""Building Site"" but some may be delineated on remainder of parcel left unevaluated and there is Ra (1a) land present also. Soils are Cagwin taxadjunct. TH, 5-22-03.",
https://parcels.laketahoeinfo.org/IpesScore/Detail/9,001-030-22,Inactive,,652,Official,12%,3836,Unknown,Yes,5/2/2003 0:00,5/2/2003 13:29,290,81,106,110,44,21,0,0,0,,223898,0,0,"APN: 01-030-22 recently split from APN: 01-090- 021. DOAC = disimilar and non-contiguous w/ IPES building site. Total Allowable Coverge assigned for entire .55 ac. parcel = 1,836 sq. ft.  TH, 5-2-03 Info only until TRPA approved court mandated BLA - jh 1/27/2003",
https://parcels.laketahoeinfo.org/IpesScore/Detail/10,001-040-02,Inactive,,880,Official,25%,,Unknown,Yes,12/31/1990 0:00,,427,44,170,110,44,35,50,0,0,,107600,15900,2600,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/11,001-050-09,Inactive,,839,Official,24%,,Unknown,Yes,,,344,98,149,110,53,25,50,10,0,,87120,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/12,001-050-25,Inactive,,755,Official,0%,,Unknown,Yes,,,345,44,127,110,53,16,50,10,0,,101900,0,0,"TURNED INTO APN: 1418-11-201-001? THROUGH THE YEARS: 01-050-30, 01-050-29, 01-050-19, AND 01-050-25? CHALLENGE DONE IN 2001? - jh 1/12/2004 NEEDS RESEARCH TIME??",
