APN,2022_Final,2025_Final,Change,Fixed_APN,
021-201-016,3,0,-3,021-201-016,
023-625-020,2,1,-1,023-625-020,
023-655-012,1,2,1,023-655-012,
025-272-018,1,2,1,025-272-018,
026-092-026,1,2,1,026-092-026,
026-152-002,1,2,1,026-152-002,
026-261-001,1,2,1,026-261-001,
027-233-034,2,3,1,027-233-034,
027-234-005,1,2,1,027-234-005,
027-321-013,2,3,1,027-321-013,
027-350-023,4,2,-2,027-350-023,
027-355-008,1,0,-1,027-355-008,
029-082-009,2,1,-1,029-082-009,
031-093-021,1,2,1,031-093-021,
031-093-026,4,5,1,031-093-026,
031-132-013,2,0,-2,031-132-013,
032-272-003,2,0,-2,032-272-003,
084-032-009,1,2,1,084-032-009,
085-081-024,1,2,1,085-081-024,
085-250-008,1,2,1,085-250-008,
090-115-037,1,2,1,090-115-037,
092-170-033,1,2,1,092-170-033,
094-070-006,0,13,13,094-070-006,
094-102-010,1,2,1,094-102-010,
094-213-003,1,2,1,094-213-003,
094-272-012,1,2,1,094-272-012,
097-122-030,2,1,-1,097-122-030,
112-060-036,2,,-2,112-060-018,
112-260-011,0,1,1,112-260-011,
115-010-019,1,2,1,115-010-019,
116-050-020,1,2,1,116-050-020,
117-130-014,1,0,-1,117-130-014,
126-251-20,1,0,-1,126-251-20,
1319-18-412-013,1,0,-1,1319-18-412-013,
032-191-010,4,6,2,032-191-010,
031-290-039,1,,-1,031-290-039,
125-491-10,,1,1,125-491-10,
032-162-002,1,2,1,032-162-002,
023-182-026,1,2,1,023-182-026,
026-094-026,1,2,1,026-094-026,
112-060-036,,1,1,112-060-018,
112-060-037,,1,1,112-060-018,
015-262-007,,1,1,015-262-007,
015-370-024,,1,1,015-370-024,
025-792-007,,1,1,025-792-007,
031-161-009,,1,1,031-161-009,
032-282-017,,1,1,032-282-017,
032-351-004,,1,1,032-351-004,
033-273-001,,1,1,033-273-001,
033-273-009,,1,1,033-273-009,
034-082-006,,1,1,034-082-006,
034-092-010,,1,1,034-092-010,
034-572-010,,1,1,034-572-010,
081-142-013,,1,1,081-142-013,
081-151-003,,1,1,081-151-003,
083-092-013,,1,1,083-092-013,
085-072-018,,1,1,085-072-018,
085-201-020,,1,1,085-201-020,
098-360-005,,1,1,098-360-005,
111-110-019,,1,1,111-110-019,
112-060-001,,1,1,112-060-001,
112-070-028,,1,1,112-070-028,
115-030-101,,1,1,115-030-016,
115-040-004,,1,1,115-040-004,
125-161-41,,1,1,125-161-41,
1318-16-810-022,,1,1,1318-16-810-022,
1318-22-313-001,,1,1,1318-22-310-008,Beach Club
1318-22-313-002,,1,1,1318-22-310-008,Beach Club
1318-22-313-003,,1,1,1318-22-310-008,Beach Club
1318-22-313-004,,1,1,1318-22-310-008,Beach Club
1318-22-313-005,,1,1,1318-22-310-008,Beach Club
1318-22-313-006,,1,1,1318-22-310-008,Beach Club
1318-22-313-007,,1,1,1318-22-310-008,Beach Club
1318-22-313-008,,1,1,1318-22-310-008,Beach Club
1318-22-314-001,,1,1,1318-22-310-009,Beach Club
1318-22-314-002,,1,1,1318-22-310-009,Beach Club
1318-22-314-003,,1,1,1318-22-310-009,Beach Club
1318-22-314-004,,1,1,1318-22-310-009,Beach Club
1318-22-314-005,,1,1,1318-22-310-009,Beach Club
1318-22-314-006,,1,1,1318-22-310-009,Beach Club
1318-22-314-007,,1,1,1318-22-310-009,Beach Club
1318-22-314-008,,1,1,1318-22-310-009,Beach Club
1318-22-315-001,,1,1,1318-22-310-010,Beach Club
1318-22-315-002,,1,1,1318-22-310-010,Beach Club
1318-22-315-003,,1,1,1318-22-310-010,Beach Club
1318-22-315-004,,1,1,1318-22-310-010,Beach Club
1318-22-315-005,,1,1,1318-22-310-010,Beach Club
1318-22-315-006,,1,1,1318-22-310-010,Beach Club
1318-22-315-007,,1,1,1318-22-310-010,Beach Club
1318-22-315-008,,1,1,1318-22-310-010,Beach Club
1318-23-315-021,,1,1,1318-23-315-021,Beach Club
1318-23-315-022,,1,1,1318-23-315-022,Beach Club
1318-23-315-023,,1,1,1318-23-315-023,Beach Club
1318-23-315-024,,1,1,1318-23-315-024,Beach Club
1318-23-315-034,,1,1,1318-23-315-034,Beach Club
1318-23-315-035,,1,1,1318-23-315-035,Beach Club
1318-23-810-017,,1,1,1318-23-810-017,
1319-18-310-027,,1,1,1319-18-310-027,
1418-34-113-005,,1,1,1418-34-113-005,
1418-34-113-013,,1,1,1418-34-113-013,
1418-34-113-014,,1,1,1418-34-113-014,
1418-34-401-004,,1,1,1418-34-401-004,
015-101-014,,1,1,015-101-014,
022-171-042,,1,1,022-171-042,
023-141-029,,1,1,023-141-029,
023-904-018,,1,1,023-904-008,
025-211-003,,1,1,025-211-003,
025-262-004,,1,1,025-262-004,
026-074-003,,1,1,026-074-003,
026-082-013,,1,1,026-082-013,
026-082-014,,1,1,026-082-014,
026-082-015,,1,1,026-082-015,
026-088-018,,1,1,026-088-018,
034-583-001,,1,1,034-583-001,
130-241-65,,1,1,130-241-46,
026-089-010,,1,1,026-089-010,
035-212-008,,1,1,035-212-008,
130-162-03,,1,1,130-162-03,
023-683-001,,1,1,023-683-001,
025-021-081,,1,1,025-021-081,
084-140-009,,1,1,084-140-009,
034-452-003,,1,1,034-452-003,
025-552-011,,1,1,025-552-011,
080-172-006,,1,1,080-172-006,
023-241-042,,14,14,023-241-042,
115-040-082,,1,1,115-040-082,
031-284-004,,2,2,031-284-004,
014-321-002,,1,1,014-321-002,
014-352-005,,1,1,014-352-005,
015-252-010,,1,1,015-252-010,
015-313-017,,1,1,015-313-017,
016-181-006,,1,1,016-181-006,
022-023-003,,1,1,022-023-003,
023-161-032,,1,1,023-161-032,
023-684-005,,1,1,023-684-005,
023-694-007,,1,1,023-694-007,
025-201-008,,1,1,025-201-008,
025-226-003,,1,1,025-226-003,
025-262-006,,1,1,025-262-006,
025-291-008,,1,1,025-291-008,
025-321-001,,1,1,025-321-001,
025-354-015,,1,1,025-354-015,
025-591-007,,1,1,025-591-007,
025-814-013,,1,1,025-814-013,
029-091-014,,1,1,029-091-014,
029-095-029,,1,1,029-095-029,
031-153-001,,1,1,031-153-001,
031-341-012,,1,1,031-341-012,
032-252-029,,1,1,032-252-029,
033-441-003,,1,1,033-441-003,
033-441-028,,1,1,033-441-028,
033-452-011,,1,1,033-452-011,
033-561-013,,1,1,033-561-013,
033-642-011,,1,1,033-642-011,
033-781-001,,1,1,033-781-001,
033-841-015,,1,1,033-841-015,
033-882-003,,1,1,033-882-003,
034-443-001,,1,1,034-443-001,
034-473-004,,1,1,034-473-004,
035-231-018,,1,1,035-231-018,
080-114-010,,1,1,080-114-010,
080-153-002,,1,1,080-153-002,
080-154-020,,1,1,080-154-020,
081-042-012,,1,1,081-042-012,
083-350-036,,1,1,083-350-036,
092-010-052,,1,1,092-010-052,
092-110-053,,1,1,092-110-053,
092-200-023,,1,1,092-200-023,
094-211-018,,1,1,094-211-018,
098-111-001,,1,1,098-111-001,
098-167-019,,1,1,098-167-019,
098-252-001,,1,1,098-252-001,
098-360-002,,1,1,098-360-002,
111-150-009,,1,1,111-150-009,
125-502-09,,1,1,125-502-09,
1318-15-410-021,,1,1,1318-15-410-021,
1318-22-316-001,,1,1,1318-22-310-012,
1318-22-316-002,,1,1,1318-22-310-012,
1318-22-316-003,,1,1,1318-22-310-012,
1318-22-316-004,,1,1,1318-22-310-012,
1318-22-316-005,,1,1,1318-22-310-012,
1318-22-316-006,,1,1,1318-22-310-012,
1318-22-316-007,,1,1,1318-22-310-012,
1318-22-316-008,,1,1,1318-22-310-012,
1318-23-315-012,,1,1,1318-23-315-012,
1318-23-315-013,,1,1,1318-23-315-013,
1318-23-315-014,,1,1,1318-23-315-014,
1318-23-315-015,,1,1,1318-23-315-015,
1318-23-315-016,,1,1,1318-23-315-016,
1318-23-315-017,,1,1,1318-23-315-017,
1318-23-315-018,,1,1,1318-23-315-018,
1318-23-315-019,,1,1,1318-23-315-019,
1318-23-315-020,,1,1,1318-23-315-020,
1318-23-315-037,,1,1,1318-23-315-037,
1318-23-315-040,,1,1,1318-23-315-040,
1418-10-502-004,,1,1,1418-10-502-004,
1418-11-110-004,,1,1,1418-11-110-004,
1418-34-113-015,,1,1,1418-34-113-015,
1418-34-113-016,,1,1,1418-34-113-016,
1418-34-113-017,,1,1,1418-34-113-017,
027-122-020,,1,1,027-122-020,
031-094-017,,2,2,031-094-017,
032-291-028,,91,91,032-291-028,
032-291-031,,38,38,032-291-031,
033-644-001,,2,2,033-644-001,
023-211-022,,21,21,023-211-022,
014-237-003,,1,1,014-237-003,
014-271-004,,1,1,014-271-004,
014-291-006,,1,1,014-291-006,
015-031-012,,1,1,015-031-012,
015-304-013,,1,1,015-304-013,
015-315-015,,1,1,015-315-015,
016-091-008,,1,1,016-091-008,
016-313-015,,1,1,016-313-015,
016-432-016,,1,1,016-432-016,
022-192-013,,1,1,022-192-013,
023-511-011,,1,1,023-511-011,
023-554-007,,1,1,023-554-007,
023-693-014,,1,1,023-693-014,
025-261-009,,1,1,025-261-009,
026-061-006,,1,1,026-061-006,
026-124-018,,1,1,026-124-018,
027-144-016,,1,1,027-144-016,
028-052-004,,1,1,028-052-004,
028-221-030,,1,1,028-221-030,
031-124-003,,1,1,031-124-003,
031-153-006,,1,1,031-153-006,
031-194-010,,1,1,031-194-010,
031-215-002,,1,1,031-215-002,
031-332-008,,1,1,031-332-008,
032-275-008,,1,1,032-275-008,
032-279-009,,1,1,032-279-009,
032-283-019,,1,1,032-283-019,
033-292-012,,1,1,033-292-012,
033-432-013,,1,1,033-432-013,
033-465-015,,1,1,033-465-015,
033-672-007,,1,1,033-672-007,
033-781-006,,1,1,033-781-006,
033-801-007,,1,1,033-801-007,
034-171-002,,1,1,034-171-002,
034-381-007,,1,1,034-381-007,
