TAZ,work_from_home
109.0,50.0
110.0,17.0
111.0,78.0
112.0,65.0
113.0,13.0
114.0,16.0
115.0,17.0
116.0,14.0
117.0,68.0
118.0,5.0
119.0,5.0
120.0,8.0
121.0,10.0
122.0,7.0
123.0,17.0
124.0,9.0
125.0,6.0
126.0,8.0
127.0,7.0
128.0,3.0
129.0,1.0
130.0,9.0
131.0,15.0
132.0,16.0
133.0,15.0
134.0,15.0
135.0,9.0
136.0,52.0
137.0,31.0
138.0,103.0
139.0,73.0
140.0,73.0
141.0,71.0
142.0,189.0
143.0,85.0
144.0,32.0
145.0,50.0
146.0,29.0
147.0,86.0
148.0,48.0
149.0,32.0
150.0,26.0
151.0,38.0
152.0,31.0
153.0,39.0
154.0,22.0
155.0,8.0
156.0,11.0
157.0,3.0
158.0,19.0
159.0,27.0
160.0,8.0
161.0,6.0
162.0,9.0
163.0,202.0
164.0,120.0
165.0,14.0
166.0,15.0
167.0,12.0
168.0,6.0
169.0,14.0
170.0,28.0
171.0,21.0
172.0,64.0
173.0,15.0
174.0,5.0
175.0,6.0
176.0,8.0
177.0,9.0
178.0,11.0
179.0,25.0
180.0,35.0
181.0,45.0
182.0,75.0
183.0,66.0
184.0,1.0
185.0,1.0
186.0,1.0
187.0,49.0
188.0,1.0
189.0,139.0
190.0,3.0
191.0,3.0
192.0,17.0
193.0,0.0
194.0,18.0
195.0,60.0
196.0,21.0
197.0,29.0
198.0,16.0
199.0,44.0
200.0,86.0
201.0,66.0
202.0,28.0
203.0,0.0
204.0,0.0
205.0,55.0
206.0,13.0
207.0,0.0
208.0,1.0
209.0,1.0
210.0,2.0
211.0,3.0
212.0,0.0
213.0,0.0
214.0,1.0
215.0,2.0
216.0,0.0
217.0,2.0
218.0,1.0
219.0,1.0
220.0,0.0
221.0,0.0
222.0,0.0
223.0,0.0
224.0,0.0
225.0,0.0
226.0,2.0
227.0,18.0
228.0,30.0
229.0,7.0
230.0,12.0
231.0,1.0
232.0,1.0
233.0,0.0
234.0,23.0
235.0,0.0
236.0,10.0
237.0,1.0
238.0,7.0
239.0,1.0
240.0,13.0
241.0,4.0
242.0,1.0
243.0,78.0
244.0,5.0
245.0,18.0
246.0,27.0
247.0,19.0
248.0,11.0
249.0,4.0
250.0,0.0
251.0,4.0
252.0,1.0
253.0,2.0
254.0,1.0
255.0,0.0
256.0,0.0
257.0,1.0
258.0,0.0
259.0,0.0
260.0,6.0
261.0,20.0
262.0,21.0
263.0,3.0
264.0,1.0
265.0,1.0
266.0,5.0
267.0,6.0
268.0,3.0
269.0,31.0
270.0,1.0
271.0,12.0
272.0,1.0
273.0,89.0
274.0,86.0
275.0,119.0
276.0,50.0
277.0,3.0
278.0,23.0
279.0,149.0
280.0,3.0
281.0,10.0
282.0,6.0
283.0,4.0
284.0,6.0
285.0,4.0
286.0,14.0
287.0,24.0
288.0,77.0
289.0,0.0
290.0,0.0
291.0,0.0
292.0,0.0
300.0,4.0
301.0,12.0
302.0,6.0
303.0,4.0
304.0,3.0
305.0,3.0
306.0,3.0
307.0,23.0
308.0,170.0
309.0,11.0
310.0,16.0
311.0,34.0
312.0,13.0
313.0,29.0
314.0,16.0
315.0,54.0
316.0,55.0
317.0,13.0
318.0,3.0
319.0,10.0
320.0,2.0
321.0,6.0
322.0,2.0
323.0,68.0
324.0,1.0
325.0,72.0
326.0,2.0
327.0,8.0
328.0,17.0
329.0,3.0
330.0,3.0
331.0,17.0
332.0,1.0
333.0,1.0
334.0,5.0
335.0,16.0
336.0,10.0
337.0,2.0
338.0,16.0
339.0,0.0
340.0,4.0
341.0,7.0
342.0,3.0
343.0,10.0
344.0,5.0
345.0,0.0
346.0,0.0
347.0,0.0
348.0,0.0
349.0,0.0
350.0,0.0
351.0,0.0
352.0,2.0
353.0,68.0
354.0,5.0
355.0,3.0
356.0,36.0
357.0,18.0
358.0,14.0
359.0,33.0
360.0,49.0
361.0,94.0
362.0,58.0
363.0,23.0
364.0,44.0
365.0,19.0
366.0,32.0
367.0,5.0
368.0,44.0
369.0,66.0
370.0,45.0
371.0,30.0
372.0,23.0
373.0,56.0
374.0,117.0
375.0,93.0
376.0,143.0
377.0,90.0
378.0,46.0
379.0,40.0
380.0,13.0
381.0,13.0
382.0,42.0
383.0,62.0
384.0,13.0
385.0,21.0
386.0,126.0
387.0,58.0
388.0,4.0
389.0,34.0
390.0,17.0
391.0,75.0
392.0,90.0
393.0,45.0
394.0,9.0
395.0,3.0
396.0,6.0
397.0,2.0
