Reason,Parcels_Available,Parcels_Used,Total_Forecasted_Units,Total_Remaining_Units
CSLT Bonus Units MF,89,9,31,0.0
CSLT Bonus Units SF,80,13,45,0.0
CSLT Bonus Units Infill,2001,2,13,0.0
DG Bonus Units MF,3,1,23,0.0
DG Bonus Units SF,2,2,4,30.0
DG Bonus Units Infill,447,3,10,0.0
PL Bonus Units MF,219,14,14,0.0
PL Bonus Units SF,41,11,21,0.0
PL Bonus Units Infill,1120,3,6,0.0
WA Bonus Units MF,45,42,42,0.0
WA Bonus Units SF,3,3,3,57.0
WA Bonus Units Infill,851,4,18,0.0
CSLT General Units MF,67,33,138,0.0
CSLT General Units SF,256,198,198,0.0
CSLT General Units Infill,1968,3,59,0.0
EL General Units MF,14,12,34,64.0
EL General Units SF,726,141,141,0.0
EL General Units Infill,82,8,42,0.0
PL General Units MF,30,29,132,72.0
PL General Units SF,242,242,242,49.0
PL General Units Infill,1094,9,87,0.0
DG General Units MF,9,0,0,56.0
DG General Units SF,47,47,47,33.0
DG General Units Infill,706,6,24,0.0
WA General Units MF,17,9,24,45.0
WA General Units SF,46,46,46,52.0
WA General Units Infill,1151,3,29,0.0
TRPA Bonus Units MF,52,38,136,0.0
TRPA Bonus Units SF,297,194,194,0.0
TRPA Bonus Units Infill,4352,8,58,0.0
TRPA General Units MF,27,6,12,320.0
TRPA General Units SF,638,474,474,0.0
TRPA General Units Infill,4920,10,142,0.0
TRPA ADU Units,22127,109,110,0.0
WA Bonus Units Infill,833,8,57,0.0
EL General Units Infill,74,13,64,0.0
PL General Units Infill,1072,17,72,0.0
DG General Units Infill,700,18,56,0.0
WA General Units Infill,1135,7,45,0.0
WA General Units Infill,1128,9,52,0.0
TRPA General Units Infill,4830,22,320,0.0
TRPA ADU Units,21995,235,246,0.0
