TAZ,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other,FORECASTED_RESIDENTIAL_UNITS,FORECASTED_OCCUPIED_UNITS,FORECASTED_RES_INCOME_LOW_UNITS,FORECASTED_RES_INCOME_MEDIUM_UNITS,FORECASTED_RES_INCOME_HIGH_UNITS,TOTAL_FORECASTED_UNITS_LOW_INCOME,TOTAL_FORECASTED_UNITS_MED_INCOME,TOTAL_FORECASTED_UNITS_HIGH_INCOME,TOTAL_FORECASTED_UNITS_OCCUPIED,TOTAL_FORECASTED_RESIDENTIAL_UNITS,FORECASTED_PERSONS,TOTAL_FORECASTED_PERSONS,NEW_OCCUPANCY_RATE
109,172,0.2437869822485207,42,35,0,7,2.1565560929127483,90,13,445,54,0,71,52.0,33.85,18.9445,5.069,9.8365,53.944500000000005,5.069,16.8365,75.85,224.0,72.99942374509654,162.99942374509652,0.3386160714285714
110,22,0.338408130965601,11,8,1,2,2.3663015031445265,30,117,817,23,0,154,133.0,46.55,0.46549999999999997,0.9309999999999999,45.153499999999994,8.4655,1.931,47.153499999999994,57.55,155.0,110.15133497137771,140.1513349713777,0.37129032258064515
111,216,0.2437869822485207,53,44,0,8,2.1565560929127483,114,73,251,4,0,88,37.0,13.649999999999999,1.0325,0.5249999999999999,12.0925,45.0325,0.5249999999999999,20.0925,66.65,253.0,29.43699066825901,143.436990668259,0.26343873517786565
112,1137,0.5687899194032192,652,374,140,138,2.4352987545031533,1599,0,136,7,0,23,98.0,59.0,28.2025,9.445,21.3525,402.2025,149.445,159.3525,711.0,1235.0,143.68262651568605,1742.682626515686,0.5757085020242915
113,435,0.5620063399539078,250,152,45,53,2.720185615141318,672,79,86,3,0,40,118.0,96.35000000000001,82.8015,2.233,11.315499999999998,234.8015,47.233,64.3155,346.35,553.0,262.08988401886603,934.0898840188661,0.6263110307414105
114,309,0.5365767649153438,166,86,5,76,2.6734313608789084,443,0,24,0,0,18,18.0,8.399999999999999,2.772,0.9239999999999999,4.704,88.772,5.9239999999999995,80.704,174.4,327.0,22.456823431382826,465.4568234313828,0.5333333333333333
115,284,0.5158227848101266,146,87,26,34,2.7595741473291096,404,0,0,0,0,101,31.0,12.549999999999999,2.449,0.588,9.513,89.449,26.588,43.513,158.55,315.0,34.632655548980324,438.6326555489803,0.5033333333333334
116,4,0.5158227848101266,2,1,0,0,2.7595741473291096,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,6.0,0.5
117,0,0.5171527982206522,0,0,0,0,2.659071138259716,0,7,124,441,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
118,314,0.5510791366906475,173,65,66,42,2.8106773722796485,486,51,350,154,0,70,0.0,0.0,0.0,0.0,0.0,65.0,66.0,42.0,173.0,314.0,0.0,486.0,0.5509554140127388
119,133,0.5422521442022019,72,37,21,13,2.284471395981252,158,30,176,56,0,62,26.0,14.3,6.2645,1.649,6.3865,43.2645,22.649,19.386499999999998,86.3,159.0,32.66794096253191,190.6679409625319,0.5427672955974843
