taz,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,14,469,57,0,75
110,117,820,23,0,155
111,73,251,4,0,88
112,0,142,7,0,24
113,82,89,3,0,42
114,0,24,0,0,18
115,0,0,0,0,101
116,0,0,0,0,0
117,7,124,441,0,0
118,51,350,154,0,70
119,30,176,56,0,62
120,0,121,16,0,231
121,0,8,0,0,3
122,0,0,0,0,0
123,0,2,0,0,19
124,12,87,6,0,59
125,0,5,0,0,4
126,0,0,0,0,62
127,0,0,0,0,207
128,67,0,0,0,113
129,0,0,0,0,0
130,0,0,0,0,8
131,0,0,0,0,375
132,0,0,0,0,0
133,0,0,0,0,5
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,14,0,0,6
138,7,141,12,0,52
139,3,22,0,0,102
140,15,42,6,0,16
141,25,58,0,0,54
142,26,61,1,0,62
143,13,91,4,0,63
144,1,1,43,0,66
145,0,0,0,0,4
146,0,12,9,0,9
147,0,3,0,0,99
148,24,10,0,0,15
149,5,76,0,0,173
150,144,30,4,0,337
151,1,0,0,0,2
152,0,0,0,0,11
153,1,0,0,0,77
154,0,10,0,0,30
155,0,0,0,0,0
156,9,27,0,0,37
157,81,0,0,0,58
158,209,106,0,0,326
159,0,32,0,0,46
160,0,32,2,0,61
161,171,178,0,0,99
162,0,2,0,0,345
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,59
166,0,0,0,0,8
167,2,0,0,0,24
168,0,0,0,0,9
169,0,0,1,0,2
170,0,0,0,0,24
171,0,0,0,0,6
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,7,0,6,0,28
176,0,0,0,0,7
177,0,0,0,0,0
178,0,12,0,0,7
179,0,0,0,0,46
180,19,50,147,0,324
181,0,9,0,0,22
182,1,0,0,0,2
183,0,0,0,0,10
184,0,2,2,0,0
185,0,40,18,0,18
186,0,0,0,0,8
187,0,0,0,0,0
188,0,0,0,0,20
189,0,0,0,0,0
190,0,0,0,0,3
191,1,0,0,0,4
192,0,0,0,0,12
193,0,0,0,0,0
194,0,0,0,0,3
195,0,0,0,0,55
196,7,40,0,0,51
197,2,14,0,0,32
198,0,0,15,0,7
199,0,0,0,0,0
200,0,0,0,0,10
201,0,0,0,0,0
202,0,0,0,0,15
203,14,224,20,0,35
204,0,0,0,0,0
205,0,0,0,0,0
206,0,0,0,0,0
207,0,0,0,0,0
208,0,0,0,0,0
209,0,0,0,0,0
210,0,0,0,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,0,0,0,0,0
216,0,0,0,0,0
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0,26
225,0,0,0,0,0
226,0,0,0,0,0
227,0,0,0,0,0
228,0,23,0,0,72
229,0,0,0,0,6
230,0,0,0,0,26
231,0,0,0,0,0
232,0,15,0,0,6
233,0,0,0,0,0
234,0,0,0,0,47
235,0,0,0,0,0
236,0,58,13,0,5
237,0,0,0,0,0
238,0,0,0,0,0
239,34,0,174,0,46
240,4,12,13,0,0
241,0,0,0,0,26
242,0,0,0,0,0
243,0,0,0,0,0
244,0,0,0,0,16
245,0,0,0,0,0
246,0,0,0,0,0
247,0,0,0,0,14
248,0,0,0,0,14
249,37,261,19,0,52
250,0,0,0,0,0
251,0,0,0,0,23
252,0,0,0,0,0
253,0,110,1,0,40
254,26,34,10,0,275
255,123,157,81,0,169
256,296,0,1,0,65
257,152,330,62,0,153
258,0,0,0,0,0
259,0,0,0,0,0
260,21,10,19,0,152
261,0,0,0,0,0
262,4,11,1,0,87
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,4,16,0,0,277
267,1,0,0,0,2
268,0,0,0,0,19
269,3,0,0,0,3
270,0,0,1,0,5
271,0,0,0,0,148
272,0,0,0,0,0
273,0,5,0,0,20
274,0,0,0,0,168
275,0,0,0,0,0
276,0,136,35,0,5
277,6,38,3,0,30
278,0,0,0,0,35
279,0,0,0,0,0
280,1,0,0,0,13
281,28,42,54,0,212
282,0,0,0,0,34
283,0,0,0,0,6
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,14
287,0,0,0,0,0
288,0,0,0,0,14
289,0,0,0,0,0
290,110,418,37,0,520
291,0,0,0,0,16
292,0,0,0,0,9
300,8,24,0,1059,43
301,6,0,66,0,0
302,296,17,0,1054,30
303,0,0,0,0,0
304,135,0,0,0,24
305,0,38,7,0,486
306,6,8,0,0,655
307,0,0,0,0,0
308,0,0,0,0,0
309,0,2,10,0,4
310,0,1,0,0,1
311,3,2,0,0,24
312,25,38,4,0,69
313,80,135,2,0,209
314,0,0,0,0,0
315,38,2,0,0,1
316,0,4,0,0,7
317,29,66,0,0,117
318,0,8,0,0,0
319,0,10,0,0,26
320,1,1,1,0,1
321,0,41,0,0,15
322,149,44,8,0,33
323,35,30,10,0,21
324,3,409,46,0,26
325,8,12,0,0,18
326,0,0,0,0,0
327,0,29,21,0,51
328,1,0,1,0,0
329,6,15,0,0,32
330,0,7,4,0,0
331,1,1,0,0,11
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,1
336,0,0,0,0,15
337,0,1,1,0,0
338,1,1,3,0,6
339,0,0,0,0,0
340,0,10,0,0,10
341,0,0,0,0,0
342,0,0,0,0,7
343,0,0,0,0,0
344,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,0
349,0,0,0,0,0
350,0,0,0,0,0
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,3,3,11,0,23
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,2,0,0,1
361,87,27,0,0,107
362,0,0,340,0,16
363,2,4,1,0,1
364,3,26,14,428,25
365,122,145,2,0,527
366,0,99,0,0,0
367,38,4,12,0,19
368,6,6,7,0,16
369,3,0,0,0,6
370,5,10,0,0,15
371,0,0,31,0,0
372,172,34,35,0,26
373,3,31,0,0,14
374,2,58,11,0,3
375,0,0,0,0,0
376,14,16,0,0,43
377,77,62,1,0,49
378,32,51,0,0,45
379,98,132,11,0,149
380,122,99,0,0,5
381,14,18,1,0,2
382,0,62,0,0,17
383,1,2,0,0,12
384,14,17,36,0,56
385,0,0,0,0,0
386,1,7,0,0,27
387,0,17,0,0,17
388,0,0,0,0,0
389,12,0,0,0,1
390,14,5,8,0,31
391,3,16,0,0,50
