taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,186,0.274193548,51,41,1,9,2.137254902,109,15,497,60,0,79
110,39,0.435897436,17,7,2,8,2.294117647,39,117,823,23,0,156
111,254,0.263779528,67,46,0,21,2.104477612,141,73,251,4,0,88
112,1199,0.580483736,696,412,138,146,2.385057471,1660,0,149,7,0,25
113,513,0.641325536,329,232,47,50,2.662613982,876,85,92,3,0,44
114,323,0.529411765,171,86,4,81,2.619883041,448,0,24,0,0,18
115,309,0.504854369,156,89,26,41,2.705128205,422,0,0,0,0,101
116,4,0.5,2,1,0,1,3,6,0,0,0,0,0
117,0,0,0,0,0,0,0,0,7,124,441,0,0
118,314,0.550955414,173,65,66,42,2.751445087,476,51,350,154,0,70
119,141,0.531914894,75,39,21,15,2.226666667,167,30,176,56,0,62
120,25,0.52,13,7,4,2,2.076923077,27,0,121,16,0,231
121,508,0.507874016,258,127,65,66,2.089147287,539,0,8,0,0,3
122,1,1,1,0,0,1,1,1,0,0,0,0,0
123,610,0.598360656,365,235,64,66,2.589041096,945,0,2,0,0,19
124,383,0.597911227,229,133,72,24,3.410480349,781,12,90,6,0,61
125,324,0.456790123,148,68,27,53,2.824324324,418,0,6,0,0,5
126,308,0.62012987,191,97,13,81,2.397905759,458,0,0,0,0,62
127,10,0.5,5,3,1,1,2.2,11,0,0,0,0,207
128,0,0,0,0,0,0,0,0,71,0,0,0,119
129,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,8
131,41,1,41,0,41,0,2.048780488,84,0,0,0,0,375
132,0,0,0,0,0,0,0,0,0,0,0,0,0
133,119,0.546218487,65,24,25,16,2.753846154,179,0,0,0,0,5
134,394,0.555837563,219,89,26,104,2.520547945,552,0,0,0,0,0
135,141,0.446808511,63,28,12,23,2.80952381,177,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0
137,408,0.637254902,260,118,54,88,2.034615385,529,0,14,0,0,6
138,713,0.555399719,396,181,74,141,2.060606061,816,7,141,12,0,52
139,566,0.489399293,277,143,54,80,1.9566787,542,3,22,0,0,102
140,229,0.611353712,140,57,62,21,2.221428571,311,15,42,6,0,16
141,388,0.636597938,247,134,100,13,2.218623482,548,25,58,0,0,54
142,1021,0.621939275,635,362,155,118,2.814173228,1787,26,61,1,0,62
143,561,0.750445633,421,270,57,94,2.116389549,891,13,91,4,0,63
144,275,0.276363636,76,20,9,47,2.394736842,182,1,1,43,0,66
145,742,0.269541779,200,58,40,102,2.27,454,0,0,0,0,4
146,273,0.600732601,164,50,27,87,2.195121951,360,0,12,9,0,9
147,650,0.624615385,406,203,93,110,2.433497537,988,0,3,0,0,99
148,538,0.550185874,296,128,99,69,1.445945946,428,24,10,0,0,15
149,324,0.654320988,212,123,48,41,2.490566038,528,5,76,0,0,173
150,28,0.75,21,12,4,5,2.238095238,47,146,30,4,0,342
151,137,0.540145985,74,29,19,26,2.513513514,186,1,0,0,0,2
152,172,0.61627907,106,32,18,56,2.188679245,232,0,0,0,0,11
153,366,0.275956284,101,26,12,63,2.396039604,242,1,0,0,0,77
154,729,0.485596708,354,211,47,96,1.807909605,640,0,10,0,0,30
155,0,0,0,0,0,0,0,0,0,0,0,0,0
156,381,0.86351706,329,203,86,40,2.234042553,735,9,27,0,0,37
157,42,0.904761905,38,27,8,3,2.236842105,85,81,0,0,0,58
158,749,0.846461949,634,525,23,86,2.304416404,1461,234,119,0,0,364
159,730,0.706849315,516,199,150,167,2.279069767,1176,0,32,0,0,46
160,724,0.662983425,480,266,148,66,1.739583333,835,0,32,2,0,61
161,89,0.943820225,84,9,75,0,1.738095238,146,171,178,0,0,99
162,359,0.713091922,256,155,79,22,1.7421875,446,0,2,0,0,360
163,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1,1,1,0,0,1,1,1,0,0,0,0,0
165,415,0.510843373,212,110,28,74,1.518867925,322,0,0,0,0,59
166,265,0.509433962,135,72,18,45,1.518518519,205,0,0,0,0,8
167,260,0.480769231,125,45,29,51,2.984,373,2,0,0,0,24
168,156,0.480769231,75,27,17,31,2.973333333,223,0,0,0,0,9
169,71,0.464788732,33,12,7,14,2.96969697,98,0,0,1,0,2
170,206,0.480582524,99,36,23,40,2.96969697,294,0,0,0,0,24
171,75,0.48,36,13,8,15,2.972222222,107,0,0,0,0,6
172,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1063,0.42144873,448,95,87,266,2.611607143,1170,7,0,6,0,28
176,329,0.498480243,164,42,38,84,2.37195122,389,0,0,0,0,7
177,58,0.586206897,34,9,11,14,2.205882353,75,0,0,0,0,0
178,436,0.516055046,225,46,45,134,2.382222222,536,0,12,0,0,7
179,373,0.493297587,184,44,37,103,2.619565217,482,0,0,0,0,46
180,1,1,1,1,0,0,1,1,19,51,149,0,333
181,0,0,0,0,0,0,0,0,0,9,0,0,22
182,13,0.615384615,8,1,3,4,2.375,19,1,0,0,0,2
183,35,0.714285714,25,5,11,9,2.24,56,0,0,0,0,10
184,22,0.363636364,8,0,0,8,2.75,22,0,5,4,0,0
185,167,0.556886228,93,39,15,39,2.419354839,225,0,40,18,0,18
186,105,0.580952381,61,17,18,26,2.229508197,136,0,0,0,0,8
187,24,0.583333333,14,3,5,6,2.214285714,31,0,0,0,0,0
188,72,0.597222222,43,11,14,18,2.186046512,94,0,0,0,0,20
189,13,0.461538462,6,2,1,3,2.666666667,16,0,0,0,0,0
190,18,0.444444444,8,3,1,4,2.75,22,0,0,0,0,3
191,297,0.437710438,130,48,21,61,2.892307692,376,1,0,0,0,4
192,489,0.421267894,206,71,33,102,2.883495146,594,0,0,0,0,12
193,7,0.428571429,3,1,0,2,2.666666667,8,0,0,0,0,0
194,26,0.615384615,16,3,5,8,2.3125,37,0,0,0,0,3
195,864,0.578703704,500,135,110,255,2.366,1183,0,0,0,0,55
196,74,0.5,37,8,5,24,2.108108108,78,7,41,0,0,52
197,578,0.74567474,431,160,94,177,2.097447796,904,2,14,0,0,32
198,0,0,0,0,0,0,0,0,0,0,15,0,7
199,4,0.5,2,1,0,1,2.5,5,0,0,0,0,0
200,572,0.536713287,307,85,76,146,2.267100977,696,0,0,0,0,10
201,0,0,0,0,0,0,0,0,0,0,0,0,0
202,117,0.487179487,57,18,15,24,2.175438596,124,0,0,0,0,15
203,31,0.129032258,4,0,4,0,2,8,14,224,20,0,35
204,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0
207,44,0.045454545,2,1,1,0,1.5,3,0,0,0,0,0
208,173,0.104046243,18,1,16,1,2.055555556,37,0,0,0,0,0
209,27,0.148148148,4,0,4,0,2,8,0,0,0,0,0
210,19,0.157894737,3,0,2,1,1.666666667,5,0,0,0,0,0
211,46,0.086956522,4,0,4,0,2,8,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0,0
214,139,0.035971223,5,4,0,1,1.8,9,0,0,0,0,0
215,55,0.090909091,5,1,0,4,2,10,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0
217,22,0.045454545,1,1,0,0,1,1,0,0,0,0,0
218,1,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0
220,16,0.0625,1,1,0,0,1,1,0,0,0,0,0
221,16,0.0625,1,1,0,0,1,1,0,0,0,0,0
222,333,0.057057057,19,10,0,9,1.894736842,36,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0
224,302,0.046357616,14,8,0,6,1.928571429,27,0,0,0,0,26
225,81,0.074074074,6,2,0,4,2,12,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0
228,3,0.333333333,1,1,0,0,2,2,0,23,0,0,72
229,140,0.328571429,46,25,7,14,2.239130435,103,0,0,0,0,6
230,1009,0.293359762,296,151,44,101,2.256756757,668,0,0,0,0,26
231,101,0.297029703,30,15,4,11,2.233333333,67,0,0,0,0,0
232,202,0.128712871,26,0,26,0,2.076923077,54,0,15,0,0,6
233,82,0.207317073,17,5,3,9,2.117647059,36,0,0,0,0,0
234,583,0.159519726,93,39,23,31,2.107526882,196,0,0,0,0,47
235,47,0.14893617,7,3,2,2,2,14,0,0,0,0,0
236,193,0.160621762,31,13,8,10,2.096774194,65,0,58,13,0,5
237,122,0.155737705,19,8,5,6,2.157894737,41,0,0,0,0,0
238,63,0.349206349,22,0,0,22,2.136363636,47,0,0,0,0,0
239,112,0.1875,21,7,4,10,2.19047619,46,34,0,174,0,46
240,7,0.142857143,1,0,0,1,3,3,9,26,28,0,0
241,359,0.259052925,93,12,20,61,2.419354839,225,0,0,0,0,26
242,111,0.324324324,36,11,7,18,2.416666667,87,0,0,0,0,0
243,123,0.178861789,22,2,2,18,2.181818182,48,0,0,0,0,0
244,216,0.194444444,42,4,5,33,2.119047619,89,0,0,0,0,16
245,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0,0
247,105,0.171428571,18,1,1,16,2.166666667,39,0,0,0,0,14
248,390,0.284615385,111,25,33,53,2.792792793,310,0,0,0,0,14
249,655,0.283969466,186,45,57,84,2.784946237,518,37,261,19,0,52
250,0,0,0,0,0,0,0,0,0,0,0,0,0
251,327,0.29969419,98,33,14,51,2,196,0,0,0,0,23
252,90,0.333333333,30,11,3,16,2.166666667,65,0,0,0,0,0
253,230,0.308695652,71,25,8,38,2.028169014,144,0,113,1,0,41
254,278,0.226618705,63,7,12,44,1.73015873,109,26,34,10,0,275
255,34,0.235294118,8,1,2,5,1.875,15,127,162,84,0,174
256,5,0.2,1,0,0,1,2,2,296,0,1,0,65
257,87,0.32183908,28,3,1,24,1.857142857,52,154,333,63,0,155
258,1,1,1,0,0,1,1,1,0,0,0,0,0
259,1,1,1,0,0,1,1,1,0,0,0,0,0
260,252,0.357142857,90,41,12,37,2.233333333,201,21,10,19,0,152
261,8,0.375,3,1,0,2,2,6,0,0,0,0,0
262,13,0.307692308,4,2,0,2,2,8,5,13,1,0,102
263,0,0,0,0,0,0,0,0,0,0,0,0,0
264,62,0.338709677,21,7,2,12,2.952380952,62,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0,0
266,733,0.327421555,240,80,58,102,2.645833333,635,4,16,0,0,277
267,692,0.210982659,146,39,51,56,2.095890411,306,1,0,0,0,2
268,172,0.220930233,38,10,12,16,2.131578947,81,0,0,0,0,19
269,177,0.892655367,158,153,4,1,2.221518987,351,3,0,0,0,3
270,48,0.291666667,14,7,4,3,2.071428571,29,0,0,1,0,5
271,233,0.291845494,68,34,20,14,2.102941176,143,0,0,0,0,148
272,0,0,0,0,0,0,0,0,0,0,0,0,0
273,109,0.247706422,27,15,9,3,2.148148148,58,0,5,0,0,20
274,1024,0.336914063,345,102,64,179,2.631884058,908,0,0,0,0,168
275,29,0.24137931,7,1,2,4,2.142857143,15,0,0,0,0,0
276,99,0.292929293,29,7,6,16,2.310344828,67,0,136,35,0,5
277,39,0.230769231,9,1,3,5,1.888888889,17,6,38,3,0,30
278,590,0.230508475,136,24,41,71,1.875,255,0,0,0,0,35
279,195,0.246153846,48,9,13,26,2.166666667,104,0,0,0,0,0
280,128,0.296875,38,11,15,12,2.342105263,89,1,0,0,0,13
281,627,0.304625199,191,57,66,68,2.282722513,436,28,42,54,0,212
282,265,0.309433962,82,39,24,19,2.256097561,185,0,0,0,0,42
283,220,0.318181818,70,32,19,19,2.242857143,157,0,0,0,0,6
284,128,0.296875,38,12,14,12,2.315789474,88,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0
286,276,0.293478261,81,18,28,35,2.320987654,188,0,0,0,0,14
287,0,0,0,0,0,0,0,0,0,0,0,0,0
288,458,0.316593886,145,70,40,35,2.275862069,330,0,0,0,0,14
289,122,0.540983607,66,63,1,2,2.318181818,153,0,0,0,0,0
290,1501,0.557628248,837,545,100,192,2.483870968,2079,114,435,39,0,541
291,221,0.574660633,127,79,13,35,2.472440945,314,0,0,0,0,16
292,202,0.579207921,117,73,13,31,2.452991453,287,0,0,0,0,9
300,49,0.346938776,17,0,0,17,2.352941176,40,8,24,0,1065,43
301,0,0,0,0,0,0,0,0,6,0,66,0,0
302,8,1,8,6,2,0,2,16,296,17,0,1054,30
303,5,0.8,4,2,1,1,1.75,7,0,0,0,0,0
304,0,0,0,0,0,0,0,0,135,0,0,0,24
305,22,1,22,17,4,1,2.045454545,45,0,39,7,0,486
306,259,0.895752896,232,182,42,8,2.331896552,541,8,10,0,0,656
307,0,0,0,0,0,0,0,0,0,0,0,0,0
308,29,0.724137931,21,12,3,6,2.047619048,43,0,0,0,0,0
309,197,0.431472081,85,41,3,41,1.647058824,140,0,2,10,0,4
310,527,0.432637571,228,112,7,109,1.640350877,374,0,1,0,0,1
311,345,0.446376812,154,77,6,71,1.675324675,258,3,2,0,0,24
312,220,0.731818182,161,90,23,48,1.98757764,320,25,38,4,0,69
313,525,0.737142857,387,218,56,113,1.976744186,765,80,135,2,0,209
314,4,0.75,3,2,0,1,2.333333333,7,0,0,0,0,0
315,73,0.534246575,39,21,3,15,1.769230769,69,38,2,0,0,1
316,249,0.429718876,107,53,3,51,1.654205607,177,0,4,0,0,7
317,255,0.690196078,176,111,26,39,2.357954545,415,29,66,0,0,117
318,1,1,1,0,0,1,1,1,0,8,0,0,0
319,208,0.475961538,99,28,6,65,2.595959596,257,0,10,0,0,26
320,138,0.514492754,71,20,14,37,1.85915493,132,1,1,1,0,1
321,386,0.471502591,182,51,10,121,2.604395604,474,0,41,0,0,15
322,47,0.468085106,22,6,1,15,2.636363636,58,149,44,8,0,33
323,295,0.474576271,140,41,9,90,2.592857143,363,35,30,10,0,21
324,187,0.513368984,96,26,20,50,1.84375,177,3,409,46,0,26
325,291,0.508591065,148,40,30,78,1.878378378,278,8,12,0,0,18
326,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,29,21,0,51
328,0,0,0,0,0,0,0,0,1,0,1,0,0
329,349,0.524355301,183,55,48,80,1.918032787,351,6,15,0,0,32
330,101,0.514851485,52,15,13,24,1.903846154,99,0,7,4,0,0
331,134,0.52238806,70,21,18,31,1.914285714,134,1,1,0,0,11
332,27,0.481481481,13,3,3,7,1.923076923,25,0,0,0,0,0
333,14,0.5,7,2,2,3,2,14,0,0,0,0,0
334,2,0.5,1,0,0,1,2,2,0,0,0,0,0
335,24,0.5,12,3,3,6,1.916666667,23,0,0,0,0,1
336,2,0.5,1,0,0,1,2,2,0,0,0,0,15
337,55,0.527272727,29,9,7,13,1.896551724,55,0,1,1,0,0
338,0,0,0,0,0,0,0,0,1,1,3,0,6
339,0,0,0,0,0,0,0,0,0,0,0,0,0
340,240,0.525,126,38,33,55,1.928571429,243,0,10,0,0,10
341,1,1,1,0,0,1,1,1,0,0,0,0,0
342,62,0.532258065,33,10,9,14,1.909090909,63,0,0,0,0,7
343,2,0.5,1,0,0,1,2,2,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0,0
345,2,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0,0,0
354,3,0.333333333,1,0,0,1,4,4,0,0,0,0,0
355,0,0,0,0,0,0,0,0,3,3,11,0,23
356,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0,0
358,1,1,1,0,0,1,1,1,0,0,0,0,0
359,7,0.428571429,3,0,1,2,3,9,0,0,0,0,0
360,125,0.496,62,6,3,53,2.693548387,167,0,2,0,0,1
361,425,0.494117647,210,19,10,181,2.70952381,569,87,27,0,0,107
362,170,0.3,51,25,8,18,1.784313725,91,0,0,340,0,16
363,0,0,0,0,0,0,0,0,4,9,2,0,2
364,360,0.3,108,53,17,38,1.796296296,194,3,26,14,428,25
365,54,0.537037037,29,15,8,6,1.827586207,53,124,147,2,0,536
366,1,1,1,0,0,1,1,1,0,104,0,0,0
367,625,0.4928,308,61,76,171,2.649350649,816,46,5,14,0,23
368,5,0.4,2,0,1,1,3,6,6,6,7,0,16
369,435,0.485057471,211,41,41,129,2.303317536,486,3,0,0,0,6
370,423,0.517730496,219,46,46,127,2.269406393,497,5,10,0,0,15
371,52,0.519230769,27,4,9,14,1.925925926,52,0,0,31,0,0
372,174,0.522988506,91,14,29,48,1.912087912,174,175,35,36,0,26
373,475,0.52,247,38,78,131,1.91902834,474,3,31,0,0,14
374,677,0.667651403,452,152,68,232,2.431415929,1099,2,58,11,0,3
375,62,0.387096774,24,6,7,11,2.25,54,0,0,0,0,0
376,641,0.388455538,249,54,72,123,2.208835341,550,14,16,0,0,43
377,164,0.548780488,90,37,19,34,2.355555556,212,79,63,1,0,50
378,285,0.754385965,215,115,33,67,2.572093023,553,32,51,0,0,45
379,192,0.671875,129,62,19,48,2.558139535,330,102,137,11,0,154
380,15,0.666666667,10,5,2,3,2.1,21,122,99,0,0,5
381,204,0.544117647,111,50,30,31,2.126126126,236,14,18,1,0,2
382,278,0.482014388,134,50,40,44,2.074626866,278,0,62,0,0,17
383,322,0.472049689,152,54,46,52,2.078947368,316,1,2,0,0,12
384,2,0.5,1,1,0,0,2,2,14,17,36,0,56
385,0,0,0,0,0,0,0,0,0,0,0,0,0
386,187,0.598930481,112,9,7,96,2.178571429,244,1,7,0,0,27
387,551,0.588021779,324,27,21,276,2.182098765,707,0,17,0,0,17
388,16,0.3125,5,2,0,3,1.6,8,0,0,0,0,0
389,100,0.42,42,17,4,21,1.833333333,77,12,0,0,0,1
390,8,0.5,4,2,1,1,2,8,14,5,8,0,31
391,690,0.626086957,432,56,26,350,2.185185185,944,3,16,0,0,50
392,10,0.4,4,1,0,3,1.75,7,0,0,0,0,0
393,150,0.313333333,47,16,1,30,1.595744681,75,0,9,0,0,18
394,204,0.31372549,64,21,2,41,1.609375,103,0,3,0,0,3
395,78,0.333333333,26,4,0,22,1.615384615,42,6,28,0,23,0
396,108,0.351851852,38,15,2,21,1.605263158,61,0,0,0,28,0
397,13,0.384615385,5,3,0,2,1.6,8,5,15,0,0,15
