APN,Quantity,Development Right,Development Type,Jurisdiction,Unit_Pool,Occupancy_Rate,HH Income Category
014-242-008,1,Residential Allocation - El Dorado County,New Single-Family Residential ADU from Allocation,EL,ADU,1,Medium
023-341-007,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),TRPA,ADU,1,Medium
023-341-020,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),TRPA,ADU,1,Medium
023-512-007,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),TRPA,ADU,1,Medium
023-632-013,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),TRPA,ADU,1,Medium
025-554-014,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),TRPA,ADU,1,Medium
025-743-015,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Transfer,TRPA,ADU,1,Medium
026-122-036,1,Residential Allocation - CSLT - Multi-Family Pool,New Single-Family Residential ADU from Allocation,CSLT,ADU,1,Medium
026-134-004,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),TRPA,ADU,1,Medium
027-111-004,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Banked Unit,TRPA,ADU,1,Medium
027-151-006,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),TRPA,ADU,1,Medium
027-350-023,2,Single-Family Residential Unit of Use (SFRUU),Convert 3 existing MFRUUs into 2 SFRUU including 1 ADU,TRPA,ADU,1,Medium
027-364-015,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Transfer,TRPA,ADU,1,Medium
029-181-033,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),TRPA,ADU,1,Medium
029-371-021,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),TRPA,ADU,1,Medium
031-075-027,1,Single-Family Residential Unit of Use (SFRUU),Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),TRPA,ADU,1,Medium
