taz,unit_diff,additional_jobs
109,10.0,2.0465
111,48.0,9.8233
112,52.0,10.6419
113,6.0,1.2279
119,6.0,1.2279
123,19.0,3.8884
124,18.0,3.6837
125,5.0,1.0233
137,5.0,1.0233
138,3.0,0.614
139,12.0,2.4558
147,14.0,2.8651
148,18.0,3.6837
149,37.0,7.5721
150,13.0,2.6605
154,16.0,3.2744
156,4.0,0.8186
158,78.0,15.9628
159,38.0,7.7767
160,69.0,14.1209
162,4.0,0.8186
175,37.0,7.5721
185,4.0,0.8186
186,1.0,0.2047
191,8.0,1.6372
197,22.0,4.5023
253,11.0,2.2512
254,2.0,0.4093
257,7.0,1.4326
260,3.0,0.614
264,1.0,0.2047
273,1.0,0.2047
281,9.0,1.8419
282,64.0,13.0977
289,4.0,0.8186
290,31.0,6.3442
292,4.0,0.8186
306,1.0,0.2047
312,18.0,3.6837
313,17.0,3.4791
360,4.0,0.8186
361,9.0,1.8419
362,18.0,3.6837
365,12.0,2.4558
370,14.0,2.8651
371,8.0,1.6372
373,2.0,0.4093
376,27.0,5.5256
377,7.0,1.4326
379,6.0,1.2279
380,10.0,2.0465
382,4.0,0.8186
383,6.0,1.2279
384,11.0,2.2512
396,2.0,0.4093
