TAZ,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,224.0,0.3386160714285714,76,54,5,17,2.036629210451389,155,13,445,54,0,71
110,155.0,0.37129032258064515,58,8,2,47,2.234710600794075,130,117,817,23,0,154
111,253.0,0.26343873517786565,67,45,1,20,2.036629210451389,136,73,251,4,0,88
112,1235.0,0.5757085020242915,711,402,149,159,2.2998708894689877,1635,0,136,7,0,23
113,553.0,0.6263110307414105,346,235,47,64,2.5689150863513524,889,79,86,3,0,40
114,327.0,0.5333333333333333,174,89,6,81,2.5247608534720745,439,0,24,0,0,18
115,315.0,0.5033333333333334,159,89,27,44,2.606113207686611,414,0,0,0,0,101
116,4.0,0.5,2,1,0,0,2.606113207686611,5,0,0,0,0,0
117,0.0,,0,0,0,0,2.5111992081474077,0,7,124,441,0,0
118,314.0,0.5509554140127388,173,65,66,42,2.6543745633845113,459,51,350,154,0,70
119,159.0,0.5427672955974843,86,43,23,19,2.1574310961752103,186,30,176,56,0,62
120,26.0,0.5403846153846155,14,7,4,2,1.9980201258930685,28,0,121,16,0,231
121,467.0,0.5228051391862956,244,128,63,53,2.0158487140902053,492,0,8,0,0,3
122,2.0,0.35,1,0,0,1,2.6543745633845113,3,0,0,0,0,0
123,612.0,0.6031045751633988,369,211,77,81,2.4996613157332925,922,0,2,0,0,19
124,403.0,0.600620347394541,242,141,73,27,3.2911274656386533,796,12,85,6,0,57
125,309.0,0.458252427184466,142,66,28,49,2.7315927325011513,388,0,4,0,0,3
126,315.0,0.6311111111111112,199,114,13,72,2.312931659175162,460,0,0,0,0,62
127,10.0,0.5,5,3,1,1,1.9883678547534884,10,0,0,0,0,207
128,0.0,,0,0,0,0,1.9883678547534884,0,64,0,0,0,107
129,0.0,,0,0,0,0,1.9883678547534884,0,0,0,0,0,0
130,0.0,,0,0,0,0,2.6543745633845113,0,0,0,0,0,8
131,62.0,0.6935483870967742,43,34,6,4,1.9883678547534884,85,0,0,0,0,375
132,0.0,,0,0,0,0,1.9883678547534884,0,0,0,0,0,0
133,121.0,0.5545454545454545,67,25,25,16,2.6543745633845113,178,0,0,0,0,5
134,399.0,0.5588972431077694,223,91,29,103,2.4352232089453545,543,0,0,0,0,0
135,145.0,0.4496551724137931,65,29,12,23,2.7315927325011518,178,0,0,0,0,0
136,0.0,,0,0,0,0,2.7064968275382437,0,0,0,0,0,0
137,410.0,0.6346341463414634,260,114,48,98,1.9648404438507623,511,0,14,0,0,6
138,716.0,0.5593575418994413,400,181,68,152,1.9891666633995229,796,7,141,12,0,52
139,567.0,0.49276895943562604,279,141,53,85,1.8891214826895888,527,3,22,0,0,102
140,194.0,0.6667525773195876,129,78,43,9,2.1378144596010547,276,15,42,6,0,16
141,390.0,0.6511538461538461,254,140,103,11,2.142804192986769,544,25,58,0,0,54
142,1038.0,0.6011560693641619,624,328,150,146,2.714405526733558,1694,26,61,1,0,62
143,564.0,0.7495567375886525,423,257,60,106,2.0445927480468225,865,13,91,4,0,63
144,275.0,0.27636363636363637,76,20,9,47,2.2942779529494857,174,1,1,43,0,66
145,748.0,0.27780748663101607,208,63,41,104,2.1949669916124783,457,0,0,0,0,4
146,264.0,0.6174242424242424,163,53,27,83,2.1265964210315578,347,0,12,9,0,9
147,654.0,0.6281345565749236,411,199,97,115,2.3483505514663072,965,0,3,0,0,99
148,536.0,0.5538246268656717,297,130,100,67,1.3995793152391058,416,29,25,0,0,30
149,322.0,0.6423913043478261,207,115,51,41,2.406450506227154,498,5,76,0,0,173
150,115.0,0.6278260869565218,72,36,11,25,2.17264857156777,156,142,30,4,0,333
151,138.0,0.5496376811594202,76,31,19,26,2.4330717671118216,185,1,0,0,0,2
152,179.0,0.6100558659217877,109,33,17,57,2.1252370595127337,232,0,0,0,0,11
153,380.0,0.30578947368421056,116,38,15,63,2.296955879792341,266,1,0,0,0,77
154,735.0,0.4900680272108843,360,212,48,101,1.747471229428559,629,0,10,0,0,30
155,0.0,,0,0,0,0,2.0848905661492894,0,0,0,0,0,0
156,384.0,0.86953125,334,206,88,40,2.1524564641263493,719,9,27,0,0,37
157,32.0,0.8453125,27,16,6,4,2.1549965354788703,58,81,0,0,0,58
158,712.0,0.8048455056179775,573,352,89,132,2.2230415559195813,1274,188,95,0,0,293
159,729.0,0.7582990397805212,553,230,169,155,2.202755697037025,1218,0,32,0,0,46
160,650.0,0.6973076923076923,453,265,147,42,1.6794951782869272,761,0,32,2,0,61
161,110.0,0.8304545454545454,91,79,5,8,1.6794951782869274,153,171,178,0,0,99
162,327.0,0.7197247706422019,235,142,78,15,1.6794951782869272,395,0,2,0,0,939
163,0.0,,0,0,0,0,1.573828210022051,0,0,0,0,0,0
164,1.0,1.0,1,0,0,1,2.0030126799307824,2,0,0,0,0,0
165,424.0,0.5170990566037735,219,113,30,76,1.4671452132161662,321,0,0,0,0,59
