taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,222.0,0.40427927927927926,90,54,12,24,2.098179154340333,189,14,469,57,0,75
110,74.0,0.8513513513513513,63,29,14,20,2.302246856967293,145,117,820,23,0,155
111,261.0,0.30823754789272034,80,54,6,19,2.098179154340333,168,73,251,4,0,88
112,1182.0,0.5723773265651438,677,379,145,152,2.36937638584123,1604,0,142,7,0,24
113,533.0,0.6292682926829268,335,230,46,59,2.6465514958700718,887,82,89,3,0,42
114,321.0,0.5496884735202492,176,91,7,79,2.601062856834664,458,0,24,0,0,18
115,295.0,0.5191525423728813,153,90,27,37,2.684873799392843,411,0,0,0,0,101
116,5.0,0.6,3,1,0,0,2.684873799392843,8,0,0,0,0,0
117,0.0,0.0,0,0,0,0,2.5870913585507584,0,7,124,441,0,0
118,314.0,0.5509554140127388,173,65,66,42,2.7345936845667844,473,51,350,154,0,70
119,171.0,0.6014619883040936,103,48,28,26,2.2226318515372605,229,30,176,56,0,62
120,67.0,0.8313432835820896,56,24,15,17,2.05840324620118,115,0,121,16,0,231
121,424.0,0.5410377358490566,229,128,63,39,2.0767706406756306,476,0,8,0,0,3
122,0.0,0.0,0,0,0,0,2.7345936845667844,0,0,0,0,0,0
123,608.0,0.6175986842105263,376,215,80,80,2.575204773980485,968,0,2,0,0,19
124,376.0,0.6065159574468085,228,134,72,21,3.390590200338665,773,12,87,6,0,59
125,295.0,0.46559322033898304,137,64,28,46,2.814145500845091,386,0,5,0,0,4
126,302.0,0.6259933774834437,189,106,12,71,2.382831871305401,450,0,0,0,0,62
127,10.0,0.5,5,3,1,1,2.048459269166391,10,0,0,0,0,207
128,0.0,0.0,0,0,0,0,2.048459269166391,0,67,0,0,0,113
129,0.0,0.0,0,0,0,0,2.048459269166391,0,0,0,0,0,0
130,0.0,0.0,0,0,0,0,2.7345936845667844,0,0,0,0,0,8
131,62.0,0.6935483870967742,43,34,6,4,2.048459269166391,88,0,0,0,0,375
132,0.0,0.0,0,0,0,0,2.048459269166391,0,0,0,0,0,0
133,118.0,0.5508474576271186,65,24,25,16,2.7345936845667844,178,0,0,0,0,5
134,390.0,0.5711538461538461,223,93,30,100,2.5088192523971817,559,0,0,0,0,0
135,142.0,0.46971830985915497,67,30,13,22,2.814145500845091,189,0,0,0,0,0
136,0.0,0.0,0,0,0,0,2.7882911605546417,0,0,0,0,0,0
137,399.0,0.6392230576441104,255,112,48,95,2.0242208251440954,516,0,14,0,0,6
138,707.0,0.5578500707213578,394,177,67,150,2.04928221898996,807,7,141,12,0,52
139,577.0,0.5043327556325823,291,146,56,89,1.946213525100771,566,3,22,0,0,102
140,186.0,0.7080645161290322,132,80,44,7,2.20242237122197,291,15,42,6,0,16
141,387.0,0.6635658914728683,257,140,105,12,2.2075629017230045,567,25,58,0,0,54
142,987.0,0.6113981762917934,603,322,150,133,2.796438872324855,1686,26,61,1,0,62
143,563.0,0.7501776198934281,422,256,60,106,2.1063833618081422,889,13,91,4,0,63
144,283.0,0.2968197879858657,84,23,11,50,2.363614422516464,199,1,1,43,0,66
145,762.0,0.2973753280839895,227,70,47,109,2.2613021371944724,513,0,0,0,0,4
146,265.0,0.6188679245283019,164,51,28,85,2.190865306952089,359,0,12,9,0,9
147,648.0,0.6421296296296297,416,203,99,114,2.419321174853511,1006,0,3,0,0,99
148,543.0,0.5642725598526703,306,134,102,70,1.4418766700443046,441,24,10,0,0,15
149,345.0,0.711304347826087,245,132,63,51,2.479176996090753,607,5,76,0,0,173
150,52.0,0.8269230769230769,43,25,8,9,2.238309221520223,96,144,30,4,0,337
