taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,189.0,0.3002645502645503,57,41,4,12,2.098179154340333,120,13,445,54,0,71
110,22.0,0.5,11,8,1,2,2.302246856967293,25,117,817,23,0,154
111,244.0,0.26004098360655736,63,48,2,13,2.098179154340333,132,73,251,4,0,88
112,1173.0,0.5693520886615516,668,376,143,149,2.36937638584123,1583,0,136,7,0,23
113,531.0,0.6284369114877589,334,229,46,59,2.6465514958700718,884,79,86,3,0,40
114,315.0,0.542063492063492,171,88,6,77,2.601062856834664,445,0,24,0,0,18
115,292.0,0.5164383561643836,151,88,27,36,2.684873799392843,405,0,0,0,0,101
116,4.0,0.5,2,2,0,0,2.684873799392843,5,0,0,0,0,0
117,0.0,0.0,0,0,0,0,2.5870913585507584,0,7,124,441,0,0
118,314.0,0.5509554140127388,173,65,66,42,2.7345936845667844,473,51,350,154,0,70
119,153.0,0.5545751633986927,85,42,23,20,2.2226318515372605,189,30,176,56,0,62
120,25.0,0.5479999999999999,14,8,4,2,2.05840324620118,29,0,121,16,0,231
121,424.0,0.5410377358490566,229,127,63,39,2.0767706406756306,476,0,8,0,0,3
122,0.0,0.0,0,0,0,0,2.7345936845667844,0,0,0,0,0,0
123,594.0,0.6085858585858586,362,210,77,75,2.575204773980485,932,0,2,0,0,19
124,376.0,0.6065159574468085,228,135,72,21,3.390590200338665,773,12,85,6,0,57
125,286.0,0.4487762237762238,128,59,26,43,2.814145500845091,360,0,4,0,0,3
126,300.0,0.6235,187,106,11,70,2.382831871305401,446,0,0,0,0,62
127,10.0,0.5,5,3,1,1,2.048459269166391,10,0,0,0,0,207
128,0.0,0.0,0,0,0,0,2.048459269166391,0,64,0,0,0,107
129,0.0,0.0,0,0,0,0,2.048459269166391,0,0,0,0,0,0
130,0.0,0.0,0,0,0,0,2.7345936845667844,0,0,0,0,0,8
131,62.0,0.6935483870967742,43,33,6,4,2.048459269166391,88,0,0,0,0,375
132,0.0,0.0,0,0,0,0,2.048459269166391,0,0,0,0,0,0
133,118.0,0.5508474576271186,65,24,25,16,2.7345936845667844,178,0,0,0,0,5
134,388.0,0.5697164948453608,221,92,29,100,2.5088192523971817,554,0,0,0,0,0
135,140.0,0.4621428571428572,65,30,13,22,2.814145500845091,183,0,0,0,0,0
136,0.0,0.0,0,0,0,0,2.7882911605546417,0,0,0,0,0,0
137,399.0,0.6392230576441104,255,112,48,95,2.0242208251440954,516,0,14,0,0,6
138,707.0,0.5578500707213578,394,177,67,150,2.04928221898996,807,7,141,12,0,52
139,566.0,0.49469964664310956,280,142,53,85,1.946213525100771,545,3,22,0,0,102
140,182.0,0.7016483516483517,128,78,44,6,2.20242237122197,282,15,42,6,0,16
141,378.0,0.6555555555555556,248,136,103,9,2.2075629017230045,547,25,58,0,0,54
142,982.0,0.6094195519348269,598,319,148,131,2.796438872324855,1672,26,61,1,0,62
143,562.0,0.7497330960854093,421,256,60,105,2.1063833618081422,887,13,91,4,0,63
144,275.0,0.27636363636363637,76,20,9,47,2.363614422516464,180,1,1,43,0,66
145,748.0,0.28502673796791445,213,65,43,105,2.2613021371944724,482,0,0,0,0,4
146,259.0,0.61003861003861,158,49,26,83,2.190865306952089,346,0,12,9,0,9
147,641.0,0.6382215288611545,409,200,98,111,2.419321174853511,990,0,3,0,0,99
148,530.0,0.5535849056603773,293,128,99,66,1.4418766700443046,422,29,25,0,0,30
149,297.0,0.6646464646464647,197,112,51,34,2.479176996090753,488,5,76,0,0,173
150,52.0,0.8269230769230769,43,26,8,9,2.238309221520223,96,142,30,4,0,333
151,130.0,0.5615384615384615,73,31,19,23,2.5066027908126527,183,1,0,0,0,2
152,172.0,0.622093023255814,107,33,18,56,2.1894648635196896,234,0,0,0,0,11
153,364.0,0.2813186813186813,102,27,13,62,2.366373280265186,241,1,0,0,0,77
154,689.0,0.5039187227866473,347,210,49,88,1.8002823918958957,625,0,10,0,0,30
155,0.0,0.0,0,0,0,0,2.1478990395142747,0,0,0,0,0,0
156,377.0,0.8763925729442971,330,204,88,38,2.217506878757793,732,9,27,0,0,37
157,31.0,0.9032258064516129,28,18,6,4,2.2201237148195787,62,81,0,0,0,58
158,782.0,0.7957161125319693,622,378,105,139,2.2902251563155103,1425,188,95,0,0,293
159,602.0,0.7633720930232558,460,169,154,137,2.269326228804873,1044,0,32,0,0,46
160,611.0,0.7120294599018003,435,261,147,27,1.7302520040531657,753,0,32,2,0,61
161,110.0,0.8304545454545454,91,78,5,8,1.7302520040531657,157,171,178,0,0,99
162,300.0,0.74,222,137,76,9,1.7302520040531657,384,0,2,0,0,939
163,0.0,0.0,0,0,0,0,1.6213916238828514,0,0,0,0,0,0
164,1.0,1.0,1,0,0,1,2.0635466825984845,2,0,0,0,0,0
165,390.0,0.5414102564102564,211,115,31,65,1.5114845092878229,319,0,0,0,0,59
166,247.0,0.537246963562753,133,73,19,41,1.5114845092878229,201,0,0,0,0,8
167,244.0,0.5002049180327869,122,46,30,46,2.9732491334017044,363,2,0,0,0,24
168,145.0,0.5013793103448276,73,29,17,27,2.9732491334017044,217,0,0,0,0,9
169,62.0,0.5,31,13,7,11,2.961689260098763,92,0,0,1,0,2
170,198.0,0.502020202020202,99,38,24,37,2.965337186456634,294,0,0,0,0,24
171,69.0,0.49782608695652175,34,13,8,13,2.9732491334017044,101,0,0,0,0,6
172,0.0,0.0,0,0,0,0,2.2075629017230045,0,0,0,0,0,0
173,0.0,0.0,0,0,0,0,2.2075629017230045,0,0,0,0,0,0
174,0.0,0.0,0,0,0,0,2.2075629017230045,0,0,0,0,0,0
175,975.0,0.4302051282051282,419,78,74,267,2.59775278480582,1088,7,0,6,0,28
176,303.0,0.5206270627062707,158,43,40,75,2.3575986108630405,373,0,0,0,0,7
177,57.0,0.631578947368421,36,9,12,15,2.1974748090790164,79,0,0,0,0,0
178,423.0,0.5250591016548464,222,47,45,130,2.372421720988247,527,0,12,0,0,7
179,344.0,0.5186046511627908,178,49,39,90,2.6016104987283133,463,0,0,0,0,46
180,1.0,1.0,1,0,0,1,2.0086833610272383,2,19,49,146,0,522
181,0.0,0.0,0,0,0,0,1.7302520040531657,0,0,9,0,0,22
182,11.0,0.7272727272727273,8,1,4,3,2.2473388098621583,18,1,0,0,0,2
183,34.0,0.7352941176470589,25,5,12,8,2.2473388098621583,56,0,0,0,0,10
184,1.0,0.0,0,0,0,0,2.9235292482277626,0,0,0,0,0,0
185,87.0,0.5408045977011494,47,10,12,25,2.4089284366774675,113,0,40,18,0,18
186,85.0,0.6158823529411764,52,14,18,20,2.2075629017230045,115,0,0,0,0,8
187,22.0,0.6363636363636364,14,4,5,5,2.2075629017230045,31,0,0,0,0,0
188,67.0,0.6171641791044776,41,11,14,16,2.2075629017230045,91,0,0,0,0,20
189,13.0,0.46153846153846156,6,2,1,3,2.8638653860190337,17,0,0,0,0,0
190,19.0,0.47368421052631576,9,3,1,5,2.8638653860190324,26,0,0,0,0,3
191,265.0,0.4316981132075472,114,41,20,53,2.863865386019033,326,1,0,0,0,4
192,466.0,0.4320815450643777,201,72,34,95,2.863865386019033,576,0,0,0,0,12
193,6.0,0.5,3,1,0,2,2.863865386019033,9,0,0,0,0,0
