taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,189.0,0.3002645502645503,57,41,4,12,2.098179154340333,120,14,469,57,0,106
110,22.0,0.5,11,8,1,2,2.302246856967293,25,117,820,23,0,157
111,243.0,0.2569958847736626,62,47,2,13,2.098179154340333,130,73,251,4,0,127
112,1167.0,0.5704798628963154,666,375,143,148,2.36937638584123,1578,0,142,7,0,186
113,525.0,0.6316190476190476,332,228,46,58,2.646551495870072,879,82,89,3,0,83
114,312.0,0.5397435897435897,168,87,6,77,2.601062856834664,437,0,24,0,0,41
115,292.0,0.5164383561643836,151,89,27,36,2.684873799392843,405,0,0,0,0,123
116,4.0,0.5,2,1,0,0,2.684873799392843,5,0,0,0,0,0
117,0.0,0.0,0,0,0,0,2.5870913585507584,0,7,124,441,0,0
118,314.0,0.5509554140127388,173,65,66,42,2.7345936845667844,473,51,350,154,0,92
119,153.0,0.5545751633986927,85,41,23,20,2.2226318515372605,189,30,176,56,0,72
120,25.0,0.5479999999999999,14,7,4,2,2.05840324620118,29,0,121,16,0,233
121,423.0,0.5414893617021277,229,127,63,38,2.0767706406756306,476,0,8,0,0,33
122,0.0,0.0,0,0,0,0,2.7345936845667844,0,0,0,0,0,0
123,593.0,0.6079258010118044,360,209,77,75,2.575204773980485,927,0,2,0,0,60
124,374.0,0.6044117647058824,226,133,72,21,3.390590200338665,766,12,87,6,0,85
125,286.0,0.4487762237762238,128,60,26,43,2.814145500845091,360,0,5,0,0,24
126,300.0,0.6235,187,105,11,70,2.382831871305401,446,0,0,0,0,83
127,10.0,0.5,5,3,1,1,2.048459269166391,10,0,0,0,0,208
128,0.0,0.0,0,0,0,0,2.048459269166391,0,67,0,0,0,113
129,0.0,0.0,0,0,0,0,2.048459269166391,0,0,0,0,0,0
130,0.0,0.0,0,0,0,0,2.7345936845667844,0,0,0,0,0,8
131,62.0,0.6935483870967742,43,34,6,4,2.048459269166391,88,0,0,0,0,378
132,0.0,0.0,0,0,0,0,2.048459269166391,0,0,0,0,0,0
133,118.0,0.5508474576271186,65,24,25,16,2.7345936845667844,178,0,0,0,0,13
134,387.0,0.5686046511627907,220,92,29,100,2.5088192523971817,552,0,0,0,0,27
135,138.0,0.4543478260869565,63,28,12,21,2.814145500845091,177,0,0,0,0,9
136,0.0,0.0,0,0,0,0,2.7882911605546417,0,0,0,0,0,0
137,398.0,0.6399497487437186,255,112,48,95,2.0242208251440954,516,0,14,0,0,64
138,707.0,0.5578500707213578,394,177,67,150,2.04928221898996,807,7,141,12,0,156
139,564.0,0.4929078014184397,278,141,53,84,1.946213525100771,541,3,22,0,0,185
140,182.0,0.7016483516483517,128,78,44,6,2.20242237122197,282,15,42,6,0,39
141,377.0,0.6546419098143237,247,136,103,9,2.2075629017230045,545,25,58,0,0,108
142,982.0,0.6094195519348269,598,320,148,131,2.796438872324855,1672,26,61,1,0,237
143,562.0,0.7497330960854093,421,256,60,105,2.1063833618081422,887,13,91,4,0,164
144,275.0,0.2763636363636363,76,20,9,47,2.363614422516464,180,1,1,43,0,95
145,744.0,0.2811827956989247,209,63,42,104,2.2613021371944724,473,0,0,0,0,81
146,259.0,0.61003861003861,158,49,26,83,2.190865306952089,346,0,12,9,0,49
147,638.0,0.6365203761755486,406,199,97,110,2.419321174853511,982,0,3,0,0,199
148,530.0,0.5535849056603773,293,128,99,66,1.4418766700443046,422,24,10,0,0,71
149,297.0,0.6646464646464647,197,113,51,34,2.479176996090753,488,5,76,0,0,219
150,52.0,0.8269230769230769,43,25,8,9,2.238309221520223,96,144,30,4,0,344
151,129.0,0.5581395348837209,72,30,19,23,2.5066027908126527,180,1,0,0,0,22
152,172.0,0.622093023255814,107,33,18,56,2.1894648635196896,234,0,0,0,0,38
153,363.0,0.2793388429752066,101,27,12,62,2.366373280265186,239,1,0,0,0,115
154,682.0,0.4988269794721407,340,209,47,85,1.8002823918958957,612,0,10,0,0,101
155,0.0,0.0,0,0,0,0,2.1478990395142747,0,0,0,0,0,0
156,377.0,0.8763925729442971,330,205,88,38,2.217506878757793,732,9,27,0,0,75
157,30.0,0.9,27,16,6,4,2.2201237148195787,60,81,0,0,0,61
