taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,229.0,0.41764192139737993,96,56,12,28,2.0389147348367267,196,13,445,54,0,71
110,73.0,0.8493150684931506,62,28,14,20,2.237218413971888,139,117,817,23,0,154
111,298.0,0.3874496644295302,115,71,12,32,2.0389147348367267,234,73,251,4,0,88
112,1268.0,0.5942350157728706,753,407,162,184,2.302451826133372,1734,0,136,7,0,23
113,545.0,0.6364036697247707,347,233,49,65,2.571797946934707,892,79,86,3,0,40
114,339.0,0.5585840707964602,189,93,10,86,2.5275941637615205,478,0,24,0,0,18
115,316.0,0.5361075949367089,169,95,30,44,2.609037812350314,441,0,0,0,0,101
116,5.0,0.6,3,1,0,2,2.609037812350314,8,0,0,0,0,0
117,0.0,0.0,0,0,0,0,2.514017299431383,0,7,124,441,0,0
118,314.0,0.5509554140127388,173,65,66,42,2.657353327393838,460,51,350,154,0,70
119,172.0,0.6037790697674418,104,47,27,30,2.1598521855687483,225,30,176,56,0,62
120,68.0,0.8288235294117647,56,24,15,17,2.000262322801907,112,0,121,16,0,231
121,425.0,0.5420470588235294,230,128,63,39,2.018110918407791,464,0,8,0,0,3
122,2.0,0.66,1,0,0,1,2.657353327393838,3,0,0,0,0,0
123,637.0,0.6228571428571429,397,222,84,91,2.502466459086277,993,0,2,0,0,19
124,400.0,0.615675,246,140,76,30,3.2948207997219376,811,12,85,6,0,57
125,314.0,0.48710191082802545,153,67,31,55,2.7346581514634773,418,0,4,0,0,3
126,321.0,0.631183800623053,203,111,14,78,2.315527252757704,470,0,0,0,0,62
127,10.0,0.5,5,3,1,1,1.990599219793202,10,0,0,0,0,207
128,0.0,0.0,0,0,0,0,1.990599219793202,0,64,0,0,0,107
129,0.0,0.0,0,0,0,0,1.990599219793202,0,0,0,0,0,0
130,0.0,0.0,0,0,0,0,2.657353327393838,0,0,0,0,0,8
131,62.0,0.6935483870967742,43,33,6,4,1.990599219793202,86,0,0,0,0,375
132,0.0,0.0,0,0,0,0,1.990599219793202,0,0,0,0,0,0
133,119.0,0.5521008403361345,66,24,26,16,2.657353327393838,175,0,0,0,0,5
134,404.0,0.5760148514851485,233,96,31,106,2.4379560392510498,568,0,0,0,0,0
135,150.0,0.4819333333333334,72,32,14,26,2.7346581514634773,197,0,0,0,0,0
136,0.0,0.0,0,0,0,0,2.7095340836408446,0,0,0,0,0,0
137,415.0,0.6514216867469879,270,117,52,101,1.9670454062094849,531,0,14,0,0,6
138,718.0,0.5613091922005571,403,180,69,154,1.9913989248697843,803,7,141,12,0,52
139,579.0,0.5049395509499137,292,146,56,90,1.891241472520529,552,3,22,0,0,102
140,194.0,0.7097938144329896,138,82,46,10,2.140213535021201,295,15,42,6,0,16
141,408.0,0.6642156862745098,271,143,107,21,2.145208867932481,581,25,58,0,0,54
142,1027.0,0.6230087633885103,640,335,158,147,2.717451658052508,1739,26,61,1,0,62
143,564.0,0.7500886524822695,423,257,60,106,2.0468872091886765,866,13,91,4,0,63
144,285.0,0.3017543859649123,86,23,11,52,2.296852613168096,198,1,1,43,0,66
145,775.0,0.30033548387096776,233,75,47,111,2.1974302041396285,512,0,0,0,0,4
146,270.0,0.6234074074074074,168,53,28,87,2.128982907463697,358,0,12,9,0,9
147,665.0,0.6429473684210526,428,208,101,119,2.3509858924616918,1006,0,3,0,0,99
148,557.0,0.5673608617594255,316,136,104,76,1.4011499362622055,443,29,25,0,0,30
149,390.0,0.7155384615384616,279,141,70,68,2.4091510475362283,672,5,76,0,0,173
150,65.0,0.8563076923076922,56,30,12,14,2.1750867381547976,122,142,30,4,0,333
151,140.0,0.5734285714285714,80,32,21,27,2.4358021830493297,195,1,0,0,0,2
