taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,219.0,0.31004566210045664,68,47,3,18,2.0389147348367267,139,15,497,60,0,129.0
110,73.0,0.39520547945205475,29,8,1,20,2.2372184139718874,65,117,823,23,0,173.0
111,250.0,0.2662,67,47,1,19,2.0389147348367267,137,73,251,4,0,166.0
112,1216.0,0.5662006578947368,688,382,145,161,2.302451826133372,1584,0,149,7,0,90.0
113,539.0,0.623747680890538,336,228,46,62,2.571797946934707,864,85,92,3,0,57.0
114,331.0,0.53202416918429,176,88,6,82,2.5275941637615205,445,0,24,0,0,34.0
115,312.0,0.5173076923076924,161,92,28,41,2.609037812350314,420,0,0,0,0,118.0
116,4.0,0.5,2,2,0,0,2.609037812350314,5,0,0,0,0,14.0
117,0.0,0.0,0,0,0,0,2.514017299431383,0,7,124,441,0,68.0
118,314.0,0.5509554140127388,173,65,66,42,2.657353327393838,460,51,350,154,0,75.0
119,166.0,0.5463855421686747,91,47,23,21,2.1598521855687483,197,30,176,56,0,67.0
120,68.0,0.4227941176470588,29,8,4,17,2.000262322801907,58,0,121,16,0,239.0
121,425.0,0.5398823529411765,229,127,63,39,2.018110918407791,462,0,8,0,0,13.0
122,2.0,0.35,1,0,0,1,2.657353327393838,3,0,0,0,0,7.0
123,618.0,0.6022653721682848,372,212,78,82,2.5024664590862775,931,0,2,0,0,36.0
124,382.0,0.6027486910994765,230,136,72,22,3.2948207997219376,758,12,90,6,0,70.0
125,309.0,0.4603559870550162,142,66,28,48,2.7346581514634773,388,0,6,0,0,11.0
126,317.0,0.6108832807570979,194,106,12,76,2.315527252757704,449,0,0,0,0,70.0
127,10.0,0.5,5,3,1,1,1.990599219793202,10,0,0,0,0,214.0
128,0.0,0.0,0,0,0,0,1.990599219793202,0,71,0,0,0,122.0
129,0.0,0.0,0,0,0,0,1.990599219793202,0,0,0,0,0,1.0
130,0.0,0.0,0,0,0,0,2.657353327393838,0,0,0,0,0,17.0
131,62.0,0.6935483870967742,43,33,6,4,1.990599219793202,86,0,0,0,0,390.0
132,0.0,0.0,0,0,0,0,1.990599219793202,0,0,0,0,0,16.0
133,118.0,0.5508474576271186,65,24,25,16,2.657353327393838,173,0,0,0,0,20.0
134,399.0,0.5614035087719298,224,93,29,102,2.4379560392510498,546,0,0,0,0,15.0
135,146.0,0.4465753424657534,65,29,12,24,2.7346581514634773,178,0,0,0,0,9.0
136,0.0,0.0,0,0,0,0,2.7095340836408446,0,0,0,0,0,52.0
137,410.0,0.6441463414634147,264,118,50,96,1.9670454062094849,519,0,14,0,0,37.0
138,715.0,0.5591608391608391,400,180,68,152,1.9913989248697845,797,7,141,12,0,155.0
139,567.0,0.49276895943562604,279,141,53,85,1.8912414725205293,528,3,22,0,0,175.0
140,191.0,0.6918848167539268,132,82,44,6,2.140213535021201,283,15,42,6,0,89.0
141,400.0,0.6365,255,136,103,16,2.145208867932481,547,25,58,0,0,125.0
142,1018.0,0.618762278978389,630,343,154,133,2.717451658052508,1712,26,61,1,0,251.0
143,562.0,0.7497330960854093,421,256,60,105,2.0468872091886765,862,13,91,4,0,148.0
144,283.0,0.27844522968197877,79,20,9,50,2.2968526131680957,181,1,1,43,0,98.0
145,753.0,0.2806108897742364,211,65,42,104,2.1974302041396285,464,0,0,0,0,54.0
146,265.0,0.6115094339622642,162,51,27,84,2.128982907463697,345,0,12,9,0,38.0
147,651.0,0.6304915514592934,410,200,97,113,2.3509858924616913,964,0,3,0,0,185.0
148,539.0,0.5513914656771799,297,129,99,69,1.4011499362622057,416,24,10,0,0,63.0
149,353.0,0.6286118980169971,222,119,53,50,2.4091510475362283,535,5,76,0,0,205.0
150,52.0,0.8269230769230769,43,28,8,7,2.1750867381547976,94,146,30,4,0,368.0
151,139.0,0.5456834532374101,76,31,19,26,2.4358021830493297,185,1,0,0,0,40.0
152,177.0,0.6110169491525425,108,33,17,58,2.1276220204566374,230,0,0,0,0,42.0
153,367.0,0.28106267029972754,103,27,12,64,2.2995335452055494,237,1,0,0,0,116.0
154,734.0,0.49073569482288826,360,211,48,101,1.749432258017877,630,0,10,0,0,52.0
155,0.0,0.0,0,0,0,0,2.0872302498802515,0,0,0,0,0,8.0
156,383.0,0.8681462140992167,332,204,88,40,2.154871970941185,715,9,27,0,0,48.0
157,34.0,0.8941176470588235,30,20,7,3,2.157414892785581,65,81,0,0,0,61.0
158,782.0,0.7957161125319693,622,382,96,144,2.225536273985885,1384,234,119,0,0,383.0
159,736.0,0.7336956521739131,540,211,165,164,2.205227650122391,1191,0,32,0,0,73.0
160,696.0,0.6799568965517241,473,270,148,55,1.6813799235146467,795,0,32,2,0,69.0
161,152.0,0.6976973684210526,106,78,5,23,1.6813799235146467,178,171,178,0,0,105.0
162,329.0,0.7531914893617022,248,157,81,10,1.6813799235146467,417,0,2,0,0,369.0
163,0.0,0.0,0,0,0,0,1.5755943747877725,0,0,0,0,0,202.0
164,1.0,1.0,1,0,0,1,2.0052604795305484,2,0,0,0,0,120.0
165,428.0,0.5188084112149532,222,115,31,76,1.4687916573231399,326,0,0,0,0,73.0
166,259.0,0.5262548262548263,136,73,19,44,1.4687916573231399,200,0,0,0,0,23.0
167,262.0,0.48893129770992366,128,48,30,50,2.8892677996027554,370,2,0,0,0,36.0
168,160.0,0.48531250000000004,78,28,17,33,2.8892677996027554,225,0,0,0,0,15.0
169,70.0,0.4828571428571428,34,12,7,15,2.8780344423551365,98,0,0,1,0,16.0
170,208.0,0.49182692307692305,102,38,24,40,2.881579330687134,294,0,0,0,0,52.0
171,76.0,0.48026315789473684,36,13,8,15,2.8892677996027554,104,0,0,0,0,27.0
172,0.0,0.0,0,0,0,0,2.145208867932481,0,0,0,0,0,64.0
173,0.0,0.0,0,0,0,0,2.145208867932481,0,0,0,0,0,15.0
174,0.0,0.0,0,0,0,0,2.145208867932481,0,0,0,0,0,5.0
