taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,228.0,0.4028508771929824,95,55,13,27,2.0389147348367267,194,15,497,60,0,81.0
110,74.0,0.8513513513513513,65,23,11,31,2.237218413971888,145,117,823,23,0,156.0
111,295.0,0.31864406779661014,97,59,10,28,2.0389147348367267,198,73,251,4,0,97.0
112,1276.0,0.5722570532915361,754,405,168,181,2.302451826133372,1735,0,149,7,0,36.0
113,557.0,0.617773788150808,355,232,52,71,2.571797946934707,913,85,92,3,0,46.0
114,338.0,0.5417159763313609,189,92,9,88,2.5275941637615205,477,0,24,0,0,18.0
115,314.0,0.5194267515923566,168,93,31,44,2.609037812350314,439,0,0,0,0,101.0
116,5.0,0.6,3,3,0,0,2.609037812350314,8,0,0,0,0,0.0
117,0.0,0.0,0,0,0,0,2.514017299431383,0,7,124,441,0,0.0
118,314.0,0.5509554140127388,179,65,71,43,2.657353327393838,475,51,350,154,0,70.0
119,173.0,0.6060693641618496,108,50,30,28,2.1598521855687483,234,30,176,56,0,63.0
120,68.0,0.824264705882353,58,24,16,18,2.000262322801907,116,0,121,16,0,231.0
121,425.0,0.5405882352941176,237,128,68,41,2.018110918407791,479,0,8,0,0,3.0
122,2.0,0.35,1,0,0,1,2.657353327393838,3,0,0,0,0,0.0
123,633.0,0.6117693522906793,400,219,89,92,2.502466459086277,1000,0,2,0,0,23.0
124,396.0,0.5986111111111111,245,138,80,27,3.2948207997219376,806,12,90,6,0,64.0
125,314.0,0.4772292993630573,155,67,33,55,2.7346581514634773,423,0,6,0,0,7.0
126,320.0,0.61453125,203,109,14,80,2.315527252757704,471,0,0,0,0,62.0
127,10.0,0.5,5,3,1,1,1.990599219793202,10,0,0,0,0,207.0
128,0.0,0.0,0,0,0,0,1.990599219793202,0,71,0,0,0,119.0
129,0.0,0.0,0,0,0,0,1.990599219793202,0,0,0,0,0,0.0
130,0.0,0.0,0,0,0,0,2.657353327393838,0,0,0,0,0,8.0
131,62.0,0.6935483870967742,44,33,6,5,1.990599219793202,88,0,0,0,0,375.0
132,0.0,0.0,0,0,0,0,1.990599219793202,0,0,0,0,0,0.0
133,118.0,0.5508474576271186,67,24,27,16,2.657353327393838,178,0,0,0,0,5.0
134,403.0,0.5641439205955335,234,95,32,107,2.4379560392510498,571,0,0,0,0,0.0
135,150.0,0.45933333333333337,72,32,14,26,2.7346581514634773,195,0,0,0,0,0.0
136,0.0,0.0,0,0,0,0,2.7095340836408446,0,0,0,0,0,0.0
137,415.0,0.6406024096385543,275,116,55,104,1.9670454062094849,540,0,14,0,0,7.0
138,716.0,0.5588687150837989,413,179,73,161,1.9913989248697843,822,7,141,12,0,53.0
139,577.0,0.5011265164644714,298,145,60,93,1.891241472520529,564,3,22,0,0,104.0
140,193.0,0.7018134715025907,139,81,49,9,2.140213535021201,298,15,42,6,0,16.0
141,408.0,0.6482843137254902,273,141,114,18,2.145208867932481,585,25,58,0,0,54.0
142,1023.0,0.6206256109481916,656,334,170,152,2.717451658052508,1781,26,61,1,0,62.0
143,563.0,0.7501776198934281,436,256,65,115,2.0468872091886765,892,13,91,4,0,63.0
144,288.0,0.2864583333333333,85,22,11,52,2.296852613168096,194,1,1,43,0,66.0
145,769.0,0.29232769830949284,232,71,50,111,2.1974302041396285,510,0,0,0,0,4.0
146,268.0,0.6182835820895521,171,52,30,89,2.128982907463697,365,0,12,9,0,9.0
147,660.0,0.636439393939394,434,204,108,122,2.3509858924616918,1019,0,3,0,0,101.0
148,569.0,0.5556239015817223,326,136,112,78,1.4011499362622055,457,24,10,0,0,18.0
149,370.0,0.7001351351351351,267,134,70,63,2.4091510475362283,644,5,76,0,0,181.0
150,105.0,0.5861904761904762,64,31,13,20,2.1750867381547976,139,146,30,4,0,344.0
151,140.0,0.5557142857142857,81,32,22,27,2.4358021830493297,196,1,0,0,0,2.0
152,179.0,0.6153631284916201,114,34,19,61,2.1276220204566374,242,0,0,0,0,11.0
