variable,Alternative_1_04282026_2035,Alternative_1_04282026_2050,Alternative_2_04242026_2035,Alternative_2_04242026_2050,Alternative_3_04242026_2035,Alternative_3_04242026_2050,diff_Alternative_2_04242026_vs_alt1_2050,diff_Alternative_3_04242026_vs_alt1_2050
total_residential_units,51062,54197,51498,55575,51062,54197,1378,0
total_occ_units,24687,26507,25015,27889,25019,27393,1382,886
occ_units_low_inc,10563,11441,10731,11826,10554,11222,385,-219
occ_units_med_inc,4889,5142,4966,5598,5048,5761,456,619
occ_units_high_inc,9235,9924,9318,10465,9417,10410,541,486
total_persons,55588,57608,56322,60530,56340,59538,2922,1930
emp_retail,3778,3855,3778,3855,3778,3855,0,0
emp_srvc,7632,7777,7632,7777,7632,7777,0,0
emp_rec,2286,2318,2286,2318,2286,2318,0,0
emp_game,2580,2598,2580,2598,2580,2598,0,0
emp_other,10874,11032,10874,11032,11050,11208,0,176
total_jobs,27150,27580,27150,27580,27326,27756,0,176
