variable,Alternative_1_2035,Alternative_1_2050,Alternative_2_2035,Alternative_2_2050,Alternative_3_2035,Alternative_3_2050,diff_Alternative_2_vs_alt1_2050,diff_Alternative_3_vs_alt1_2050
total_residential_units,51062,54197,51469,55435,51062,54197,1238,0
total_occ_units,24687,26507,24997,27750,25019,27362,1243,855
occ_units_low_inc,10563,11441,10709,11763,10563,11441,322,0
occ_units_med_inc,4889,5142,4952,5551,5042,5556,409,414
occ_units_high_inc,9235,9924,9336,10436,9414,10365,512,441
total_persons,55588,57608,56281,60244,56340,59473,2636,1865
emp_retail,3778,3855,3778,3855,3778,3855,0,0
emp_srvc,7632,7777,7632,7777,7632,7777,0,0
emp_rec,2286,2318,2286,2318,2286,2318,0,0
emp_game,2580,2598,2580,2598,2580,2598,0,0
emp_other,10874,11032,11018,11422,10973,11302,390,270
total_jobs,27150,27580,27294,27970,27249,27850,390,270
