taz,Alternative_1_total_residential_units,Alternative_1_total_occ_units,Alternative_1_occ_units_low_inc,Alternative_1_occ_units_med_inc,Alternative_1_occ_units_high_inc,Alternative_1_total_persons,Alternative_2_total_residential_units,Alternative_2_total_occ_units,Alternative_2_occ_units_low_inc,Alternative_2_occ_units_med_inc,Alternative_2_occ_units_high_inc,Alternative_2_total_persons,Alternative_3_total_residential_units,Alternative_3_total_occ_units,Alternative_3_occ_units_low_inc,Alternative_3_occ_units_med_inc,Alternative_3_occ_units_high_inc,Alternative_3_total_persons,diff_Alternative_3_vs_Alternative_2_total_residential_units,diff_Alternative_3_vs_Alternative_2_total_occ_units,diff_Alternative_3_vs_Alternative_2_occ_units_low_inc,diff_Alternative_3_vs_Alternative_2_occ_units_med_inc,diff_Alternative_3_vs_Alternative_2_occ_units_high_inc,diff_Alternative_3_vs_Alternative_2_total_persons
109,219.0,68,47,3,18,137,251.0,114,75,12,27,229,219.0,70,47,3,20,141,-32.0,-44,-28,-9,-7,-88
110,73.0,29,8,1,20,64,90.0,79,28,22,29,174,73.0,30,8,1,21,66,-17.0,-49,-20,-21,-8,-108
111,249.0,66,46,1,19,133,291.0,100,76,1,23,201,249.0,68,46,1,21,137,-42.0,-32,-30,0,-2,-64
112,1216.0,705,383,145,177,1600,1316.0,770,381,168,221,1747,1216.0,728,383,157,188,1652,-100.0,-42,2,-11,-33,-95
113,539.0,344,228,46,70,872,555.0,350,228,46,76,887,539.0,355,228,50,77,900,-16.0,5,0,4,1,13
114,330.0,175,87,6,82,436,335.0,180,90,7,83,448,330.0,181,87,6,88,450,-5.0,1,-3,-1,5,2
115,312.0,163,92,28,43,419,315.0,166,93,28,45,427,312.0,168,92,30,46,433,-3.0,2,-1,2,1,6
116,4.0,2,2,0,0,5,4.0,2,2,0,0,5,4.0,2,2,0,0,5,0.0,0,0,0,0,0
117,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
118,314.0,173,65,66,42,453,332.0,191,73,70,48,500,314.0,179,65,71,43,468,-18.0,-12,-8,1,-5,-32
119,166.0,98,47,23,28,209,173.0,102,43,24,35,217,166.0,101,47,25,29,215,-7.0,-1,4,1,-6,-2
120,68.0,29,8,4,17,57,68.0,56,50,4,2,110,68.0,30,8,4,18,59,0.0,-26,-42,0,16,-51
121,425.0,231,127,63,41,460,425.0,232,128,63,41,461,425.0,238,127,68,43,474,0.0,6,-1,5,2,13
122,2.0,1,0,0,1,3,2.0,1,0,0,1,3,2.0,1,0,0,1,3,0.0,0,0,0,0,0
123,618.0,374,213,78,83,923,621.0,377,213,80,84,930,618.0,386,213,84,89,952,-3.0,9,0,4,5,22
124,380.0,231,135,72,24,750,406.0,256,151,76,29,831,380.0,238,135,78,25,774,-26.0,-18,-16,2,-4,-57
125,309.0,143,66,28,49,385,315.0,146,63,29,54,394,309.0,148,66,30,52,398,-6.0,2,3,1,-2,4
126,317.0,196,107,12,77,447,317.0,196,106,12,78,447,317.0,202,107,13,82,462,0.0,6,1,1,4,15
127,10.0,5,3,1,1,10,10.0,5,3,1,1,10,10.0,5,3,1,1,10,0.0,0,0,0,0,0
128,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
129,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
130,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
131,62.0,43,33,6,4,84,62.0,43,33,6,4,84,62.0,44,33,6,5,87,0.0,1,0,0,1,3
132,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
133,118.0,65,24,25,16,170,118.0,65,24,25,16,170,118.0,67,24,27,16,176,0.0,2,0,2,0,6
134,399.0,225,93,29,103,541,402.0,228,95,29,104,548,399.0,232,93,31,108,558,-3.0,4,-2,2,4,10
135,146.0,66,30,12,24,178,148.0,67,31,12,24,181,146.0,68,30,13,25,184,-2.0,1,-1,1,1,3
136,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
137,410.0,265,117,50,98,514,417.0,269,115,50,104,522,410.0,274,117,54,103,530,-7.0,5,2,4,-1,8
138,715.0,402,180,68,154,789,719.0,406,180,69,157,797,715.0,415,180,74,161,815,-4.0,9,0,5,4,18
139,566.0,279,141,53,85,520,573.0,285,145,54,86,531,566.0,288,141,57,90,537,-7.0,3,-4,3,4,6
140,191.0,133,81,44,8,281,218.0,162,81,47,34,342,191.0,137,81,48,8,290,-27.0,-25,0,1,-26,-52
141,400.0,258,135,103,20,546,405.0,263,139,103,21,556,400.0,266,135,112,19,563,-5.0,3,-4,9,-2,7
142,1018.0,634,342,154,138,1698,1019.0,635,330,157,148,1701,1018.0,654,342,167,145,1753,-1.0,19,12,10,-3,52
143,562.0,422,256,60,106,851,562.0,422,256,60,106,851,562.0,436,256,65,115,879,0.0,14,0,5,9,28
144,283.0,79,20,9,50,179,293.0,82,20,9,53,186,283.0,82,20,10,52,185,-10.0,0,0,1,-1,-1
145,752.0,212,64,42,106,459,755.0,216,67,43,106,468,752.0,219,64,45,110,474,-3.0,3,-3,2,4,6
146,265.0,162,51,27,84,340,265.0,163,50,28,85,342,265.0,167,51,29,87,351,0.0,4,1,1,2,9
147,649.0,410,199,97,114,950,659.0,420,208,97,115,973,649.0,423,199,105,119,981,-10.0,3,-9,8,4,8
148,539.0,298,129,99,70,412,568.0,326,156,99,71,450,539.0,308,129,107,72,425,-29.0,-18,-27,8,1,-25
149,353.0,222,119,53,50,527,376.0,275,132,95,48,653,353.0,229,119,57,53,544,-23.0,-46,-13,-38,5,-109
150,52.0,43,28,8,7,92,104.0,62,27,9,26,133,52.0,44,28,9,7,95,-52.0,-18,1,0,-19,-38
151,137.0,75,30,19,26,180,139.0,76,31,19,26,182,137.0,77,30,21,26,186,-2.0,1,-1,2,0,4
152,177.0,108,33,17,58,226,178.0,109,34,17,58,229,177.0,111,33,18,60,234,-1.0,2,-1,1,2,5
153,366.0,102,27,12,63,231,370.0,105,28,13,64,238,366.0,105,27,13,65,239,-4.0,0,-1,0,1,1
154,731.0,360,211,48,101,621,756.0,384,227,51,106,662,731.0,372,211,52,109,641,-25.0,-12,-16,1,3,-21
155,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
156,383.0,334,204,88,42,709,383.0,334,204,88,42,709,383.0,345,204,95,46,732,0.0,11,0,7,4,23
