taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,189.0,0.3002645502645503,58,46,3,9,2.0820270967028227,120,14,469,57,0,76.0
110,22.0,0.5,11,8,1,2,2.2845238594565282,25,117,820,23,0,155.0
111,243.0,0.2569958847736626,63,45,0,18,2.0820270967028227,131,73,251,4,0,94.0
112,1164.0,0.5833333333333334,688,374,147,167,2.351136616434554,1618,0,142,7,0,30.0
113,524.0,0.6458015267175572,343,228,47,68,2.6261779962032272,900,82,89,3,0,43.0
114,312.0,0.5387820512820513,170,87,5,78,2.58103953466245,439,0,24,0,0,18.0
115,291.0,0.5214776632302406,154,88,27,39,2.6642052896197264,410,0,0,0,0,101.0
116,4.0,0.5,2,2,0,0,2.6642052896197264,5,0,0,0,0,0.0
117,0.0,0.0,0,0,0,0,2.5671755908002423,0,7,124,441,0,0.0
118,314.0,0.5509554140127388,175,65,68,42,2.7135424246126836,476,51,350,154,0,70.0
119,144.0,0.5763888888888888,84,38,22,24,2.2055217407544268,186,30,176,56,0,62.0
120,25.0,0.5479999999999999,14,8,4,2,2.0425573887084565,29,0,121,16,0,231.0
121,422.0,0.5450236966824644,233,127,65,41,2.0607833885772138,480,0,8,0,0,3.0
122,0.0,0.0,0,0,0,0,2.7135424246126836,0,0,0,0,0,0.0
123,593.0,0.6101180438448567,367,209,80,78,2.5553805107131278,937,0,2,0,0,21.0
124,372.0,0.6075268817204301,229,133,73,23,3.3644889933813094,771,12,87,6,0,61.0
125,286.0,0.45104895104895104,131,59,27,45,2.792481840601417,365,0,5,0,0,5.0
126,299.0,0.6287625418060201,191,105,11,75,2.364488519811224,451,0,0,0,0,62.0
127,10.0,0.5,5,3,1,1,2.0326899617098646,10,0,0,0,0,207.0
128,0.0,0.0,0,0,0,0,2.0326899617098646,0,67,0,0,0,113.0
129,0.0,0.0,0,0,0,0,2.0326899617098646,0,0,0,0,0,0.0
130,0.0,0.0,0,0,0,0,2.7135424246126836,0,0,0,0,0,8.0
131,62.0,0.6935483870967742,44,33,6,5,2.0326899617098646,89,0,0,0,0,375.0
132,0.0,0.0,1,0,0,1,2.0326899617098646,0,0,0,0,0,0.0
133,118.0,0.5508474576271186,67,24,26,17,2.7135424246126836,179,0,0,0,0,5.0
134,385.0,0.5672727272727273,221,91,29,101,2.4895060335602737,550,0,0,0,0,0.0
135,137.0,0.4551094890510949,64,29,12,23,2.792481840601417,175,0,0,0,0,0.0
136,0.0,0.0,0,0,0,0,2.7668265304050785,0,0,0,0,0,0.0
137,398.0,0.6432160804020101,259,112,50,97,2.0086381084007985,521,0,14,0,0,6.0
138,707.0,0.5615275813295615,402,177,69,156,2.033506576358024,818,7,141,12,0,52.0
139,564.0,0.4929078014184397,282,141,55,86,1.9312313187590002,544,3,22,0,0,103.0
140,182.0,0.7087912087912088,131,81,44,6,2.185467835662635,286,15,42,6,0,16.0
141,375.0,0.6632,252,135,105,12,2.190568793687331,553,25,58,0,0,54.0
142,981.0,0.6136595310907238,610,319,153,138,2.7749115200241095,1693,26,61,1,0,62.0
143,562.0,0.7508896797153025,428,256,62,110,2.0901681471081783,894,13,91,4,0,63.0
144,275.0,0.27636363636363637,77,20,9,48,2.3454190094573066,181,1,1,43,0,66.0
145,737.0,0.27611940298507465,207,60,42,105,2.2438943374933675,464,0,0,0,0,4.0
146,259.0,0.61003861003861,160,49,27,84,2.1739997391855286,348,0,12,9,0,9.0
147,635.0,0.6368503937007873,409,198,99,112,2.400696923926679,983,0,3,0,0,101.0
148,530.0,0.5560377358490566,299,129,102,68,1.4307769147957787,428,24,10,0,0,17.0
149,293.0,0.6600682593856656,196,110,52,34,2.460091967221025,481,5,76,0,0,177.0
150,46.0,0.8043478260869565,37,23,7,7,2.221078424292171,83,144,30,4,0,339.0
151,129.0,0.5581395348837209,73,30,20,23,2.4873066345870045,181,1,0,0,0,2.0
152,170.0,0.6176470588235294,106,32,18,56,2.1726100765498937,231,0,0,0,0,11.0
153,363.0,0.2793388429752066,102,27,12,63,2.348156629158134,240,1,0,0,0,77.0
154,680.0,0.49926470588235294,345,207,49,89,1.7864235825098882,616,0,10,0,0,32.0
155,0.0,0.0,0,0,0,0,2.1313642316957813,0,0,0,0,0,0.0
156,376.0,0.8812500000000001,335,204,91,40,2.200436220685922,738,9,27,0,0,37.0
