scenario,year,variant,total_residential_units,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,avg_persons_per_occ_unit,total_persons,total_jobs
Alternative_1,2035,base,51064,24489,10550,4890,9021,2.2701,55591,27150
Alternative_1,2035,wfh,51064,24489,10550,4890,9021,2.2701,55591,34084
Alternative_1,2050,base,54331,26116,11151,5071,9881,2.206,57613,27580
Alternative_1,2050,wfh,54331,26116,11151,5071,9881,2.206,57613,34514
Alternative_2,2035,base,52584,25969,11115,5259,9581,2.2664,58854,27150
Alternative_2,2035,wfh,52584,25969,11115,5259,9581,2.2664,58854,34084
Alternative_2,2050,base,58608,31106,13076,6362,11661,2.2012,68474,27580
Alternative_2,2050,wfh,58608,31106,13076,6362,11661,2.2012,68474,34514
Alternative_3,2035,base,51064,28060,10540,6674,10846,2.2699,63691,27150
Alternative_3,2035,wfh,51064,28060,10540,6674,10846,2.2699,63691,34084
Alternative_3,2050,base,54331,29687,11145,7030,11512,2.2059,65482,27580
Alternative_3,2050,wfh,54331,29687,11145,7030,11512,2.2059,65482,34514
Alternative_4,2035,base,51313,24714,10627,4953,9116,2.2696,56086,27150
Alternative_4,2035,wfh,51313,24714,10627,4953,9116,2.2696,56086,34084
Alternative_4,2050,base,54915,26713,11354,5384,9975,2.2046,58896,27580
Alternative_4,2050,wfh,54915,26713,11354,5384,9975,2.2046,58896,34514
