,TAZ,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other,FORECASTED_RESIDENTIAL_UNITS,FORECASTED_OCCUPIED_UNITS,FORECASTED_RES_INCOME_LOW_UNITS,FORECASTED_RES_INCOME_MEDIUM_UNITS,FORECASTED_RES_INCOME_HIGH_UNITS,TOTAL_FORECASTED_UNITS_LOW_INCOME,TOTAL_FORECASTED_UNITS_MED_INCOME,TOTAL_FORECASTED_UNITS_HIGH_INCOME,TOTAL_FORECASTED_UNITS_OCCUPIED,NEW_OCCUPANCY_RATE,FORECASTED_POPULATION,Adjusted_Persons_Per_Occupied_Unit
0,229,127.0,0.2845786963434022,36.14149443561208,18.27265500794913,5.350556438791733,12.518282988871224,2.2950489204494557,82.9464977878815,0,0,0,0,0,3.0,0.7,0.0034999999999999996,0.006999999999999999,0.6895,18.27615500794913,5.3575564387917325,13.207782988871225,36.841494435612084,0.28339611104316986,83.07450157941119,2.25491671421203
1,230,986.0,0.2845786963434022,280.5945945945946,141.86486486486487,41.54054054054054,97.1891891891892,2.2950489204494557,643.9783214082768,0,0,0,0,0,3.0,0.35,0.0,0.0,0.35,141.86486486486487,41.54054054054054,97.53918918918919,280.9445945945946,0.284069357527396,633.5066621188741,2.25491671421203
2,231,94.0,0.2807171341974814,26.46721623224561,13.356040679704885,3.947487682862676,9.163687869678055,2.2911715248477305,60.7028984740381,0,0,0,0,0,2.0,0.35,0.0,0.0,0.35,13.356040679704885,3.947487682862676,9.513687869678055,26.817216232245613,0.27934600241922514,60.368426409898106,2.2511071204068442
3,228,3.0,0.2315814953859192,0.8537360890302066,0.431637519872814,0.1263910969793322,0.2957074721780604,2.2146545076755992,1.959366089477516,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.431637519872814,0.1263910969793322,0.2957074721780604,0.8537360890302066,0.2845786963434022,1.857668356774389,2.1759281124973757
4,225,69.0,0.0301921317474839,2.0832570905763954,2.0832570905763954,0.0,0.0,1.909155739134945,3.9772622305674927,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0832570905763954,0.0,0.0,2.0832570905763954,0.030192131747483992,3.907714123476948,1.8757714259816882
5,227,0.0,0.0810694446666676,0.0,0.0,0.0,0.0,1.9863343753978469,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.9516004836277565
6,226,0.0,0.0301921317474839,0.0,0.0,0.0,0.0,1.909155739134945,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8757714259816882
7,224,282.0,0.0301921317474839,8.514181152790485,8.514181152790485,0.0,0.0,1.9091557391349447,16.254897811884536,0,0,0,0,0,4.0,0.35,0.0,0.0,0.35,8.514181152790485,0.0,0.35,8.864181152790485,0.030993640394372322,16.62717772112981,1.875771425981688
8,223,0.0,0.0301921317474839,0.0,0.0,0.0,0.0,1.909155739134945,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8757714259816882
9,222,305.0,0.0301921317474839,9.208600182982616,9.208600182982616,0.0,0.0,1.909155739134945,17.580651888740366,0,0,0,0,0,2.0,0.35,0.0034999999999999996,0.006999999999999999,0.33949999999999997,9.212100182982617,0.006999999999999999,0.33949999999999997,9.558600182982616,0.031135505482028064,17.929749095622128,1.8757714259816882
