APN,Id,bonus_unit
048-041-20,,No
048-140-01,,No
048-140-04,,No
055-010-09,,No
055-010-26,,No
122-051-03,0,Yes
122-051-05,0,Yes
122-051-06,0,Yes
122-051-08,0,Yes
122-052-01,0,Yes
122-052-04,0,Yes
122-052-07,0,Yes
122-052-10,0,Yes
122-052-13,0,Yes
122-052-16,0,Yes
122-052-18,0,Yes
122-052-21,0,Yes
122-060-01,0,Yes
122-060-04,0,Yes
122-060-07,0,Yes
122-060-10,0,Yes
122-060-13,0,Yes
122-060-15,0,Yes
122-060-18,0,Yes
122-060-21,0,Yes
122-080-00,0,Yes
122-081-03,0,Yes
122-081-06,0,Yes
122-081-09,0,Yes
122-081-11,0,Yes
122-081-12,0,Yes
122-081-14,0,Yes
122-081-17,0,Yes
122-081-20,0,Yes
122-082-01,0,Yes
122-082-04,0,Yes
122-082-07,0,Yes
122-082-09,0,Yes
122-082-10,0,Yes
122-082-12,0,Yes
122-082-15,0,Yes
122-082-18,0,Yes
122-082-21,0,Yes
122-090-01,0,Yes
122-090-04,0,Yes
122-090-07,0,Yes
122-090-09,0,Yes
122-090-12,0,Yes
122-090-15,0,Yes
122-090-18,0,Yes
122-090-21,0,Yes
122-090-24,0,Yes
122-090-27,0,Yes
122-090-29,0,Yes
122-090-32,0,Yes
122-100-15,0,Yes
122-100-21,0,Yes
122-100-27,0,Yes
122-111-02,0,Yes
122-111-05,0,Yes
122-111-07,0,Yes
122-111-08,0,Yes
122-111-10,0,Yes
122-111-13,0,Yes
122-111-16,0,Yes
122-111-19,0,Yes
122-111-22,0,Yes
122-112-03,0,Yes
122-112-05,0,Yes
122-112-06,0,Yes
122-112-10,0,Yes
122-112-13,0,Yes
122-113-02,0,Yes
122-113-05,0,Yes
122-113-08,0,Yes
122-113-11,0,Yes
122-114-01,0,Yes
122-114-04,0,Yes
122-114-07,0,Yes
122-114-10,0,Yes
122-114-14,0,Yes
122-115-03,0,Yes
122-115-06,0,Yes
122-115-10,0,Yes
122-115-12,0,Yes
122-115-15,0,Yes
122-116-01,0,Yes
122-116-04,0,Yes
122-116-07,0,Yes
122-116-10,0,Yes
122-116-13,0,Yes
122-116-15,0,Yes
122-116-16,0,Yes
122-116-24,0,Yes
122-121-02,0,Yes
122-121-05,0,Yes
122-121-09,0,Yes
122-123-03,0,Yes
122-123-06,0,Yes
122-124-02,0,Yes
122-124-03,0,Yes
122-124-05,0,Yes
122-124-08,0,Yes
122-124-11,0,Yes
122-124-14,0,Yes
122-124-17,0,Yes
122-124-20,0,Yes
122-125-01,0,Yes
122-125-03,0,Yes
122-125-06,0,Yes
122-125-09,0,Yes
122-125-12,0,Yes
122-126-01,0,Yes
122-126-08,0,Yes
122-126-11,0,Yes
122-126-13,0,Yes
122-126-14,0,Yes
122-126-16,0,Yes
122-126-19,0,Yes
122-126-22,0,Yes
122-127-02,0,Yes
122-127-05,0,Yes
122-127-08,0,Yes
122-127-10,0,Yes
122-127-11,0,Yes
122-127-14,0,Yes
122-128-07,0,Yes
122-129-01,0,Yes
122-129-04,0,Yes
122-129-07,0,Yes
122-129-10,0,Yes
122-129-13,0,Yes
122-129-15,0,Yes
122-131-01,0,Yes
122-131-04,0,Yes
122-132-02,0,Yes
122-132-05,0,Yes
122-132-08,0,Yes
122-132-11,0,Yes
122-132-13,0,Yes
122-132-16,0,Yes
122-132-19,0,Yes
122-133-03,0,Yes
122-133-06,0,Yes
122-133-09,0,Yes
122-133-17,0,Yes
122-134-01,0,Yes
122-134-02,0,Yes
122-134-04,0,Yes
122-134-07,0,Yes
122-135-03,0,Yes
122-135-06,0,Yes
122-135-09,0,Yes
122-135-12,0,Yes
122-135-14,0,Yes
122-135-19,0,Yes
122-135-21,0,Yes
122-135-26,0,Yes
122-141-03,0,Yes
122-141-06,0,Yes
122-142-03,0,Yes
122-142-06,0,Yes
122-142-11,0,Yes
122-142-13,0,Yes
122-142-16,0,Yes
122-142-19,0,Yes
122-161-01,0,Yes
122-161-04,0,Yes
122-161-07,0,Yes
122-161-10,0,Yes
122-161-12,0,Yes
122-162-06,0,Yes
122-162-09,0,Yes
122-162-14,0,Yes
122-162-17,0,Yes
122-162-20,0,Yes
122-162-24,0,Yes
122-162-26,0,Yes
122-162-27,0,Yes
122-181-18,0,Yes
122-181-26,0,Yes
122-181-29,0,Yes
122-181-44,0,Yes
122-181-51,0,Yes
122-181-56,0,Yes
122-181-59,0,Yes
122-181-60,0,Yes
122-181-64,0,Yes
122-181-72,0,Yes
122-181-75,0,Yes
122-191-01,0,Yes
122-191-04,0,Yes
122-191-07,0,Yes
122-191-10,0,Yes
122-191-12,0,Yes
122-191-15,0,Yes
122-191-20,0,Yes
122-191-23,0,Yes
122-192-01,0,Yes
122-192-04,0,Yes
122-192-07,0,Yes
122-192-09,0,Yes
122-193-01,0,Yes
122-193-03,0,Yes
122-193-06,0,Yes
122-193-09,0,Yes
122-193-12,0,Yes
122-193-15,0,Yes
122-193-18,0,Yes
122-193-20,0,Yes
122-193-21,0,Yes
122-193-23,0,Yes
122-193-26,0,Yes
122-193-29,0,Yes
122-193-32,0,Yes
122-193-35,0,Yes
122-193-38,0,Yes
122-194-02,0,Yes
122-194-04,0,Yes
122-194-07,0,Yes
122-194-10,0,Yes
122-194-13,0,Yes
122-194-18,0,Yes
122-194-21,0,Yes
122-194-24,0,Yes
122-194-26,0,Yes
122-195-02,0,Yes
122-195-05,0,Yes
122-195-08,0,Yes
122-195-11,0,Yes
122-195-14,0,Yes
122-195-17,0,Yes
122-195-19,0,Yes
122-201-01,0,Yes
122-201-03,0,Yes
122-201-06,0,Yes
122-201-09,0,Yes
122-201-12,0,Yes
122-201-15,0,Yes
122-201-18,0,Yes
122-201-20,0,Yes
122-201-21,0,Yes
122-201-23,0,Yes
122-201-26,0,Yes
122-202-01,0,Yes
122-202-04,0,Yes
122-202-07,0,Yes
122-202-10,0,Yes
122-202-13,0,Yes
122-202-15,0,Yes
122-202-18,0,Yes
122-202-21,0,Yes
122-202-24,0,Yes
122-211-02,0,Yes
122-211-05,0,Yes
122-211-08,0,Yes
122-211-10,0,Yes
122-211-13,0,Yes
122-211-16,0,Yes
122-211-19,0,Yes
122-211-22,0,Yes
122-211-25,0,Yes
122-211-46,0,Yes
122-212-01,0,Yes
122-212-02,0,Yes
122-212-04,0,Yes
122-212-07,0,Yes
122-212-10,0,Yes
122-212-13,0,Yes
122-213-01,0,Yes
122-213-04,0,Yes
122-213-06,0,Yes
122-213-07,0,Yes
122-213-09,0,Yes
122-213-12,0,Yes
122-213-15,0,Yes
122-213-18,0,Yes
122-213-21,0,Yes
122-214-01,0,Yes
122-214-04,0,Yes
122-214-06,0,Yes
122-214-09,0,Yes
122-214-12,0,Yes
122-215-01,0,Yes
122-215-04,0,Yes
122-215-07,0,Yes
122-215-10,0,Yes
122-215-12,0,Yes
122-215-15,0,Yes
122-215-18,0,Yes
122-251-03,0,Yes
122-251-06,0,Yes
122-251-09,0,Yes
122-251-12,0,Yes
122-251-16,0,Yes
122-251-17,0,Yes
122-251-19,0,Yes
122-252-03,0,Yes
122-252-06,0,Yes
122-252-09,0,Yes
122-252-12,0,Yes
122-460-02,0,Yes
122-460-05,0,Yes
122-460-07,0,Yes
122-460-10,0,Yes
122-460-13,0,Yes
122-460-16,0,Yes
122-460-19,0,Yes
122-460-22,0,Yes
122-460-25,0,Yes
122-460-27,0,Yes
122-460-30,0,Yes
122-510-02,0,Yes
122-510-05,0,Yes
122-510-08,0,Yes
122-510-11,0,Yes
122-510-14,0,Yes
122-510-16,0,Yes
122-510-17,0,Yes
122-510-19,0,Yes
122-510-22,0,Yes
122-510-25,0,Yes
122-510-28,0,Yes
122-510-31,0,Yes
122-510-34,0,Yes
122-510-36,0,Yes
122-510-37,0,Yes
122-510-39,0,Yes
122-510-42,0,Yes
122-510-45,0,Yes
122-510-48,0,Yes
122-510-51,0,Yes
122-510-54,0,Yes
122-510-57,0,Yes
122-511-00,0,Yes
122-530-02,0,Yes
122-530-05,0,Yes
122-530-08,0,Yes
122-530-11,0,Yes
122-530-14,0,Yes
122-530-17,0,Yes
122-530-19,0,Yes
122-530-22,0,Yes
122-530-29,0,Yes
122-530-32,0,Yes
122-530-35,0,Yes
122-530-38,0,Yes
122-580-02,0,Yes
122-580-04,0,Yes
122-580-05,0,Yes
122-580-07,0,Yes
122-581-00,0,Yes
122-591-03,0,Yes
123-022-01,0,Yes
123-022-04,0,Yes
123-031-01,0,Yes
123-031-04,0,Yes
123-031-07,0,Yes
123-031-09,0,Yes
123-032-09,0,Yes
123-032-16,0,Yes
123-032-19,0,Yes
123-032-22,0,Yes
123-032-28,0,Yes
123-033-02,0,Yes
123-033-06,0,Yes
123-033-16,0,Yes
123-041-08,0,Yes
123-041-11,0,Yes
123-041-21,0,Yes
123-041-25,0,Yes
123-041-28,0,Yes
123-042-01,0,Yes
123-042-12,0,Yes
123-044-05,0,Yes
123-044-13,0,Yes
123-051-03,0,Yes
123-052-04,0,Yes
123-053-04,0,Yes
123-054-01,0,Yes
123-071-05,0,Yes
123-071-27,0,Yes
123-071-30,0,Yes
123-071-36,0,Yes
123-087-02,0,Yes
123-097-01,0,Yes
123-097-03,0,Yes
123-101-01,0,Yes
123-101-05,0,Yes
123-101-08,0,Yes
123-101-13,0,Yes
123-102-03,0,Yes
123-102-06,0,Yes
123-102-10,0,Yes
123-102-14,0,Yes
123-102-16,0,Yes
123-110-01,0,Yes
123-121-01,0,Yes
123-121-04,0,Yes
123-121-07,0,Yes
123-121-10,0,Yes
123-121-13,0,Yes
123-121-15,0,Yes
123-121-16,0,Yes
123-122-03,0,Yes
123-123-01,0,Yes
123-131-08,0,Yes
123-131-11,0,Yes
123-132-03,0,Yes
123-133-07,0,Yes
123-133-09,0,Yes
123-133-11,0,Yes
123-133-13,0,Yes
123-133-18,0,Yes
123-133-21,0,Yes
123-133-25,0,Yes
123-134-03,0,Yes
123-134-12,0,Yes
123-135-07,0,Yes
123-136-02,0,Yes
123-137-01,0,Yes
123-137-04,0,Yes
123-138-08,0,Yes
123-138-12,0,Yes
123-142-02,0,Yes
123-142-06,0,Yes
123-142-08,0,Yes
123-142-11,0,Yes
123-143-01,0,Yes
123-143-04,0,Yes
123-143-08,0,Yes
123-143-13,0,Yes
123-143-16,0,Yes
123-143-19,0,Yes
123-143-20,0,Yes
123-144-02,0,Yes
123-144-05,0,Yes
123-144-08,0,Yes
123-144-12,0,Yes
123-145-04,0,Yes
123-145-08,0,Yes
123-145-12,0,Yes
123-145-13,0,Yes
123-145-19,0,Yes
123-146-01,0,Yes
123-146-04,0,Yes
123-146-08,0,Yes
123-146-11,0,Yes
123-152-02,0,Yes
123-152-05,0,Yes
123-152-09,0,Yes
123-153-01,0,Yes
123-154-02,0,Yes
123-154-05,0,Yes
123-154-08,0,Yes
123-155-02,0,Yes
123-155-05,0,Yes
123-155-07,0,Yes
123-155-10,0,Yes
123-155-13,0,Yes
123-155-16,0,Yes
123-155-19,0,Yes
123-161-01,0,Yes
123-161-06,0,Yes
123-161-09,0,Yes
123-161-10,0,Yes
123-161-12,0,Yes
123-161-15,0,Yes
123-161-21,0,Yes
123-161-26,0,Yes
123-161-32,0,Yes
123-162-02,0,Yes
123-162-05,0,Yes
123-162-06,0,Yes
123-162-11,0,Yes
123-162-18,0,Yes
123-162-21,0,Yes
123-163-02,0,Yes
123-163-05,0,Yes
123-163-08,0,Yes
123-163-11,0,Yes
