,APN
0,033-453-012
1,117-180-027
2,1418-03-811-024
3,036-041-004
4,016-532-005
5,028-111-002
6,015-213-023
7,112-180-043
8,014-247-005
9,033-362-047
10,090-056-004
11,1418-11-412-020
12,080-103-007
13,027-136-028
14,092-151-001
15,093-560-011
16,023-830-048
17,1318-16-710-002
18,132-251-05
19,034-266-009
20,016-151-017
21,081-132-002
22,035-247-002
23,112-060-033
24,129-071-01
25,090-161-030
26,112-120-002
27,116-040-007
28,029-373-005
29,085-081-008
30,025-811-005
31,094-121-001
32,126-251-11
33,112-120-026
34,128-032-11
35,015-104-007
36,1319-30-301-003
37,030-352-006
38,098-051-012
39,029-661-009
40,117-050-047
41,090-192-008
42,014-262-008
43,093-071-009
44,083-310-013
45,021-420-041
46,125-371-05
47,112-300-022
48,112-190-048
49,084-151-012
50,022-092-009
51,022-361-014
52,125-245-10
53,023-601-015
54,036-370-031
55,1319-30-516-017
56,1319-30-724-020
57,112-160-018
58,016-481-009
59,015-211-011
60,029-680-002
61,083-092-015
62,023-687-003
63,097-121-013
64,098-234-007
65,036-300-000
66,027-621-031
67,026-108-012
68,023-691-016
69,131-201-17
70,093-510-007
71,126-430-08
72,021-210-008
73,116-050-040
74,090-101-025
75,028-141-042
76,029-091-018
77,1318-09-810-043
78,015-152-020
79,124-082-11
80,015-263-013
81,032-440-003
82,031-214-019
83,023-573-015
84,031-156-006
85,1318-15-820-006
86,091-165-005
87,028-111-006
88,1318-23-811-053
89,1319-18-412-010
90,016-381-017
91,030-581-007
92,028-273-005
93,116-110-010
94,090-053-033
95,098-280-031
96,090-161-036
97,025-372-031
98,023-681-007
99,1318-15-612-008
100,090-162-023
101,015-153-009
102,1318-26-101-094
103,023-561-020
104,085-020-028
105,116-060-050
106,031-341-003
107,032-410-037
108,016-442-012
109,016-462-009
110,1319-19-411-004
111,036-424-003
112,094-533-016
113,092-142-026
114,1318-22-710-005
115,092-021-002
116,033-484-013
117,025-681-010
118,112-180-017
119,026-035-004
120,132-030-11
121,028-061-027
122,031-124-010
123,033-273-012
124,092-190-068
125,034-313-002
126,132-053-20
127,1318-26-514-008
128,022-411-018
129,084-102-001
130,098-235-008
131,033-514-005
132,027-471-024
133,023-892-022
134,090-116-037
135,033-422-002
136,036-200-003
137,083-105-002
138,027-312-030
139,023-664-013
140,015-103-008
141,130-211-41
142,122-530-31
143,125-242-01
144,023-744-001
145,097-210-020
146,032-341-001
147,1318-23-315-005
148,023-591-004
149,032-251-027
150,083-032-026
151,025-251-008
152,090-135-043
153,094-122-054
154,035-194-001
155,083-101-005
156,080-183-001
157,110-060-045
158,027-084-004
159,132-252-32
160,023-700-011
161,129-091-04
162,014-332-011
163,1318-09-810-049
164,130-241-03
165,025-554-012
166,083-380-022
167,032-390-048
168,112-140-009
169,1319-19-714-002
170,1319-30-519-019
171,033-792-006
172,1319-30-631-021
173,035-295-002
174,1319-30-514-021
175,083-450-039
176,083-075-003
177,1319-30-516-049
178,036-547-003
179,083-076-011
180,020-140-002
181,023-891-006
182,018-281-006
183,029-161-023
184,116-100-016
185,127-362-25
186,093-201-005
187,081-053-012
188,125-223-01
189,023-684-001
190,023-623-015
191,018-080-001
192,090-063-035
193,035-283-038
194,085-211-016
195,027-161-017
196,036-401-011
197,131-430-05
198,083-400-025
199,026-063-011
200,084-213-005
