scenario,year,variant,total_residential_units,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,avg_persons_per_occ_unit,total_persons,total_jobs
Alternative_2,2035,base,52584,25969,11115,5259,9581,2.2664,58854,27150
Alternative_2,2035,reduced,51656,24963,10729,5015,9219,2.2697,56654,26737
Alternative_2,2050,base,58608,31106,13076,6362,11661,2.2012,68474,27580
Alternative_2,2050,reduced,55795,27808,11828,5644,10336,2.2045,61310,26737
Alternative_3,2035,base,51064,28060,10540,6674,10846,2.2699,63691,27150
Alternative_3,2035,reduced,51064,25344,10554,5320,9470,2.2701,57539,26737
Alternative_3,2050,base,54331,29687,11145,7030,11512,2.2059,65482,27580
Alternative_3,2050,reduced,54331,26971,11128,5674,10169,2.2059,59493,26737
Alternative_4,2035,base,51313,24714,10627,4953,9116,2.2696,56086,27150
Alternative_4,2035,reduced,51492,24867,10692,4987,9188,2.2695,56433,26737
Alternative_4,2050,base,54915,26713,11354,5384,9975,2.2046,58896,27580
Alternative_4,2050,reduced,55384,27138,11522,5474,10142,2.2032,59794,26737
