TAZ,ZIPCODE,emp_other,emp_rec,STATE,emp_retail,emp_srvc,emp_gaming,adjustment_factor_CBP,job_change_CBP,2018,2022,adjustment_factor_EDD,job_change_EDD,emp_other_2022,emp_rec_2022,emp_retail_2022,emp_srvc_2022,emp_gaming_2022
109,96150,72.66666667,55.5,CA,13.33333333,454.3333333,,1.140056908,1329,12025,11789,0.98037422,-236,71.24052668,54.41076923,13.07165627,445.4166874,
110,96150,157,23,CA,119.1666667,833.6666667,,1.140056908,1329,12025,11789,0.98037422,-236,153.9187526,22.54860707,116.827928,817.3053084,
111,96150,90,4.5,CA,74,256.1666667,,1.140056908,1329,12025,11789,0.98037422,-236,88.23367983,4.411683992,72.54769231,251.1391962,
112,96150,23.33333333,7.333333333,CA,,139,,1.140056908,1329,12025,11789,0.98037422,-236,22.87539847,7.189410949,,136.2720166,
113,96150,40.33333333,3,CA,80.66666667,87.33333333,,1.140056908,1329,12025,11789,0.98037422,-236,39.54176022,2.941122661,79.08352045,85.61934858,
114,96150,18,,CA,,24,,1.140056908,1329,12025,11789,0.98037422,-236,17.64673597,,,23.52898129,
115,96150,102.6666667,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,100.6517533,,,,
117,96150,,449.6666667,CA,6.666666667,126.3333333,,1.140056908,1329,12025,11789,0.98037422,-236,,440.8416078,6.535828136,123.8539431,
118,96150,71.33333333,157,CA,52.33333333,357,,1.140056908,1329,12025,11789,0.98037422,-236,69.93336105,153.9187526,51.30625086,349.9935967,
119,96150,62.83333333,57.33333333,CA,30.33333333,179.6666667,,1.140056908,1329,12025,11789,0.98037422,-236,61.60018018,56.20812196,29.73801801,176.1405683,
120,96150,236,16,CA,,123.6666667,,1.140056908,1329,12025,11789,0.98037422,-236,231.368316,15.68598753,,121.239612,
121,96150,3,,CA,,8.666666667,,1.140056908,1329,12025,11789,0.98037422,-236,2.941122661,,,8.496576577,
123,96150,19,,CA,,1.666666667,,1.140056908,1329,12025,11789,0.98037422,-236,18.62711019,,,1.633957034,
124,96150,57.66666667,5.666666667,CA,12,87,,1.140056908,1329,12025,11789,0.98037422,-236,56.53491338,5.555453916,11.76449064,85.29255717,
125,96150,2.666666667,,CA,,4,,1.140056908,1329,12025,11789,0.98037422,-236,2.614331255,,,3.921496881,
126,96150,63.33333333,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,62.09036729,,,,
127,96150,211,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,206.8589605,,,,
128,96150,108.6666667,,CA,65.33333333,,,1.140056908,1329,12025,11789,0.98037422,-236,106.5339986,,64.05111573,,
130,96150,8,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,7.842993763,,,,
131,96150,383,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,375.4833264,,,,
133,96150,4.666666667,,CA,,,,1.140056908,1329,12025,11789,0.98037422,-236,4.575079695,,,,
137,96150,6,,CA,,14,,1.140056908,1329,12025,11789,0.98037422,-236,5.882245322,,,13.72523909,
138,96150,53,12.66666667,CA,7.333333333,144.1666667,,1.140056908,1329,12025,11789,0.98037422,-236,51.95983368,12.41807346,7.189410949,141.3372835,
139,96150,103.6666667,,CA,3,22,,1.140056908,1329,12025,11789,0.98037422,-236,101.6321275,,2.941122661,21.56823285,
140,96150,16.33333333,5.666666667,CA,15.33333333,43,,1.140056908,1329,12025,11789,0.98037422,-236,16.01277893,5.555453916,15.03240471,42.15609148,
141,96150,54.66666667,,CA,25.66666667,58.66666667,,1.140056908,1329,12025,11789,0.98037422,-236,53.59379072,,25.16293833,57.5152876,
142,96150,63.33333333,1,CA,26.33333333,62.33333333,,1.140056908,1329,12025,11789,0.98037422,-236,62.09036729,0.98037422,25.81652113,61.10999307,
143,96150,64,4,CA,13.5,92.66666667,,1.140056908,1329,12025,11789,0.98037422,-236,62.7439501,3.921496881,13.23505198,90.84801109,
144,96150,67.33333333,43.83333333,CA,1,1,,1.140056908,1329,12025,11789,0.98037422,-236,66.01186417,42.97306999,0.98037422,0.98037422,
