Zone_ID,RoomType,Temporal_Scale,RoomsRentedPerDay,Report_RoomsAvailable,Report_RoomsRented,Report_OccRate,TRPA_OccRate
CSLT_ALL,VHR,Monthly,169,28695,15457,0.5382725733333333,0.5257997635
CSLT_Zone1,HotelMotel,Monthly,1386,320069,126244,0.39428110666666666,0.387592054
CSLT_Zone2,HotelMotel,Monthly,433,110877,39481,0.35705706666666664,0.347694323
CSLT_Zone3,HotelMotel,Monthly,205,48412,18705,0.3857722233333334,0.369245995
CSLT_Zone4,HotelMotel,Monthly,62,35887,5746,0.16012046666666666,0.16099033899999998
CSLT_Zone5,HotelMotel,Monthly,49,22113,4545,0.20553122000000001,0.2037853455
Rest of Douglas County,HotelMotel,Monthly,481,189918,44173,0.78815247,0.780477494
Rest of Douglas County,VHR,Monthly,82,21485,7586,0.4468551566666667,0.4292390095
Rest of El Dorado County,VHR,Monthly,379,64246,34601,0.5382725733333333,0.5257997635
Stateline Casino Core,Casino,Monthly,1731,199937,157602,0.78815247,0.780477494
Washoe County,HotelMotel,Monthly,388,91091,35447,0.388859527569205,0.38154522896458387
Washoe County,VHR,Monthly,376,59059,34281,0.5799382562641174,0.5637996421293305
Carnelian Bay,HotelMotel,Quarterly,5,1281,1110,0.86615248,0.8792573880000001
Carnelian Bay,VHR,Quarterly,118,54065,21805,0.3982439,0.41489193199999996
Kings Beach,HotelMotel,Quarterly,42,10774,7804,0.7023074,0.748392854
Kings Beach,VHR,Quarterly,76,33579,14117,0.41678796,0.426533816
Kings Beach O.P.A.,VHR,Quarterly,77,38551,14321,0.37067416,0.385057694
Tahoe City,HotelMotel,Quarterly,71,18254,13162,0.72182777,0.741076488
Tahoe City,VHR,Quarterly,73,29445,13520,0.45631091,0.47117812
Tahoe City O.P.A.,HotelMotel,Quarterly,10,3659,2034,0.5575317,0.564904078
Tahoe City O.P.A.,VHR,Quarterly,94,46166,17331,0.36890205,0.38529222
Tahoe Miscellaneous,VHR,Quarterly,7,3966,1407,0.348799535,0.37269957
Tahoe Vista,HotelMotel,Quarterly,115,33596,21074,0.64691523,0.685770594
Tahoe Vista,VHR,Quarterly,87,40090,16033,0.395916685,0.411518638
Tahoe Vista O.P.A.,VHR,Quarterly,13,5744,2482,0.42679142999999997,0.44153057799999995
West Shore,HotelMotel,Quarterly,26,9505,4902,0.535665705,0.560486414
West Shore,VHR,Quarterly,201,91806,36967,0.39987426,0.41239961599999997
