APN,List
1319-30-639-000,TAU
027-082-025,TAU
097-130-042,TAU
097-130-040,TAU
029-052-003,TAU
029-351-001,TAU
1318-15-816-000,TAU
029-053-008,TAU
097-130-039,TAU
097-130-037,TAU
1319-30-542-011,TAU
122-060-07,VHR
122-081-12,VHR
122-082-07,VHR
122-090-21,VHR
122-460-30,VHR
122-510-05,VHR
122-510-42,VHR
122-510-45,VHR
123-145-08,VHR
123-281-02,VHR
123-282-08,VHR
123-294-05,VHR
123-295-02,VHR
123-295-04,VHR
124-400-01,VHR
124-400-09,VHR
124-860-07,VHR
125-152-12,VHR
125-185-04,VHR
125-254-05,VHR
125-361-12,VHR
125-522-16,VHR
126-083-18,VHR
126-083-43,VHR
126-090-04,VHR
126-090-07,VHR
126-090-18,VHR
126-101-01,VHR
126-102-12,VHR
126-102-15,VHR
126-110-07,VHR
126-110-13,VHR
126-110-21,VHR
126-120-16,VHR
126-130-17,VHR
126-130-20,VHR
126-141-01,VHR
126-141-09,VHR
126-142-06,VHR
126-142-12,VHR
126-142-14,VHR
126-151-06,VHR
126-151-09,VHR
126-151-14,VHR
126-151-17,VHR
126-151-35,VHR
126-152-10,VHR
126-153-01,VHR
126-161-12,VHR
126-280-08,VHR
126-280-14,VHR
126-292-03,VHR
126-292-11,VHR
126-293-06,VHR
126-293-29,VHR
126-294-05,VHR
126-450-02,VHR
126-450-23,VHR
126-510-03,VHR
126-522-08,VHR
126-580-06,VHR
126-580-17,VHR
127-060-06,VHR
127-071-02,VHR
127-072-17,VHR
127-073-01,VHR
127-073-18,VHR
127-073-21,VHR
127-074-16,VHR
127-074-25,VHR
127-075-03,VHR
127-075-06,VHR
127-075-12,VHR
127-075-32,VHR
127-076-23,VHR
127-076-24,VHR
127-077-08,VHR
127-077-11,VHR
127-077-28,VHR
127-077-31,VHR
127-078-11,VHR
127-078-28,VHR
127-100-29,VHR
127-120-16,VHR
127-250-12,VHR
127-250-14,VHR
127-290-11,VHR
127-290-16,VHR
127-290-19,VHR
127-290-39,VHR
127-300-25,VHR
127-300-30,VHR
127-300-45,VHR
127-300-48,VHR
127-300-56,VHR
127-300-65,VHR
127-300-70,VHR
127-300-73,VHR
127-300-79,VHR
127-300-82,VHR
127-300-91,VHR
127-310-07,VHR
127-310-10,VHR
127-310-15,VHR
127-320-08,VHR
127-320-22,VHR
127-320-36,VHR
127-320-39,VHR
127-320-45,VHR
127-361-17,VHR
127-362-11,VHR
127-362-20,VHR
127-362-23,VHR
127-362-31,VHR
127-363-06,VHR
127-363-32,VHR
127-363-38,VHR
127-480-04,VHR
127-480-07,VHR
127-490-05,VHR
127-490-08,VHR
128-041-18,VHR
128-120-19,VHR
128-270-02,VHR
129-252-02,VHR
129-252-04,VHR
129-252-19,VHR
129-270-10,VHR
129-270-25,VHR
129-292-11,VHR
129-340-04,VHR
129-640-02,VHR
130-061-17,VHR
130-083-15,VHR
130-180-57,VHR
130-191-10,VHR
130-192-06,VHR
130-192-09,VHR
130-222-03,VHR
130-222-17,VHR
130-222-29,VHR
131-021-14,VHR
131-022-06,VHR
131-022-12,VHR
131-040-05,VHR
131-121-34,VHR
131-140-36,VHR
131-160-03,VHR
131-170-17,VHR
131-170-18,VHR
131-180-14,VHR
131-290-10,VHR
132-030-10,VHR
132-030-27,VHR
132-030-44,VHR
132-030-53,VHR
132-030-61,VHR
132-043-10,VHR
132-052-08,VHR
132-053-19,VHR
132-053-22,VHR
132-054-03,VHR
132-054-09,VHR
132-054-12,VHR
132-252-22,VHR
132-252-30,VHR
132-270-03,VHR
132-380-04,VHR
132-410-12,VHR
1418-10-501-010,VHR
1418-34-111-025,VHR
1418-34-110-054,VHR
1418-34-110-030,VHR
1318-22-002-021,VHR
1318-22-002-099,VHR
1318-23-310-004,VHR
1318-23-310-041,VHR
1318-23-310-005,VHR
1318-23-210-002,VHR
1318-23-215-011,VHR
1318-23-215-015,VHR
1318-23-210-009,VHR
1318-23-210-014,VHR
