APN,Forecast_Year,Future_Units,Unit_Pool
1318-27-001-016,2035,40,General
097-130-034,2035,50,Tourist Bonus Units
097-130-034,2035,23,General
123-052-02,2050,40,Tourist Bonus Units
123-052-02,2050,-1,General
094-070-001,2035,48,Tourist Bonus Units
094-070-001,2035,70,General
123-031-01,2035,52,General
029-641-002,2035,269,General
029-641-002,2050,208,General
1318-22-002-113,2035,-124,General
127-280-02,2035,-26,General
117-071-053,2035,-1,General
029-602-013,2035,14,General
027-170-002,2050,26,General
090-133-021,2050,153,General
031-290-039,2035,-143,General
