,APN
0,084-074-004
1,132-064-01
2,1318-03-210-014
3,083-085-008
4,090-233-034
5,080-083-004
6,023-743-009
7,085-030-014
8,1319-30-633-002
9,131-140-18
10,034-824-008
11,131-140-26
12,034-704-026
13,032-110-013
14,095-490-036
15,029-375-004
16,092-110-003
17,124-830-03
18,1318-15-814-004
19,016-543-003
20,131-110-02
21,093-220-036
22,095-130-003
23,085-410-040
24,125-382-03
25,1318-00-002-001
26,132-251-20
27,116-080-025
28,131-212-15
29,1318-10-315-002
30,130-302-26
31,031-184-003
32,125-531-17
33,122-202-07
34,025-271-046
35,027-621-009
36,125-243-34
37,034-824-010
38,112-080-040
39,1318-22-313-000
40,023-152-009
41,123-041-28
42,033-563-003
43,125-382-07
44,033-720-027
45,083-201-003
46,1318-23-602-006
47,128-120-12
48,022-311-007
49,126-570-06
50,092-083-018
51,090-231-051
52,085-121-002
53,081-042-001
54,098-060-023
55,026-244-002
56,084-033-015
57,027-631-017
58,026-144-011
59,027-204-033
60,083-360-006
61,022-195-002
62,016-501-010
63,1418-15-101-001
64,025-612-010
65,098-360-005
66,027-251-023
67,122-090-20
68,026-048-018
69,016-583-004
70,093-414-017
71,014-332-003
72,034-253-016
73,036-431-007
74,131-261-05
75,023-655-003
76,033-681-003
77,093-350-010
78,028-083-002
79,1318-23-212-043
80,022-071-011
81,036-622-001
82,098-272-016
83,081-082-005
84,132-063-10
85,090-262-012
86,033-581-001
87,031-215-006
88,031-076-015
89,090-154-014
90,032-274-004
91,028-252-008
92,034-092-017
93,033-422-002
94,026-084-014
95,085-124-012
96,130-180-53
97,116-080-036
98,034-231-016
99,034-632-003
100,098-114-002
101,091-210-016
102,032-252-016
103,090-133-005
104,031-078-010
105,033-791-003
106,1418-27-210-018
107,129-292-23
108,097-091-006
109,033-415-006
110,015-370-025
111,022-123-001
112,127-420-00
113,093-271-007
114,090-056-038
115,090-321-026
116,1418-10-802-011
117,116-080-060
118,127-074-05
119,033-342-017
120,081-131-004
121,032-291-036
122,025-312-002
123,111-140-006
124,016-261-013
125,117-190-049
126,132-053-21
127,034-214-001
