APN,TAU_Type,Name
1318-27-002-002,Casino,Harvey's Casino
1318-27-002-005,Casino,Harrah's Casino
1318-27-001-009,Casino,Golden Nugget Casino
1318-27-001-021,Casino,Bally's Casino
123-031-01,Casino,Cal Neva Casino
123-042-01,Casino,Crystal Bay Motel
123-052-04,Casino,Tahoe Biltmore Hotel Casino
123-042-15,Casino,Crystal Bay Casino
127-280-02,Resort,Hyatt Resort
127-010-09,Resort,Hyatt Resort
029-480-004,Resort,Marriot Timber Lodge
027-090-025,Resort,Beach Retreat
027-690-004,Resort,Hilton Resort
029-441-018,Resort,Forest Suites Resort
029-602-013,Resort,The Landing Resort
027-020-017,Resort,Tahoe Lakeshore Lodge 
117-140-006,Resort,Edgelake Beach Club
090-072-009,Resort,Ferrari's Crown Resort
117-072-003,Resort,Tahoe Sands Resorts
117-071-012,Resort,Tahoe Sands Resorts
117-071-005,Resort,Tahoe Sands Resorts
117-072-004,Resort,Tahoe Sands Resorts
117-071-028,Resort,Tahoe Vista Lodge & Cabins
029-053-13,Resort,Bluelake Inn
1318-27-001-016,Resort,Edgewood
